,date,measurements,ok,anomalies,ratio
0,2021-01-01,611131,609664,1467,0.0024004673302450703
1,2021-01-04,9354,9329,25,0.0026726534103057517
2,2021-01-05,606155,605118,1037,0.001710783545462794
3,2021-01-07,12221,12190,31,0.002536617298093446
4,2021-01-08,586988,585711,1277,0.002175512957675455
5,2021-01-11,12782,12732,50,0.003911750899702707
6,2021-01-12,994,994,0,0.0
7,2021-01-14,9047,9032,15,0.001658008179507019
8,2021-01-15,566484,565494,990,0.0017476221746774842
9,2021-01-18,11018,10998,20,0.0018152114721365039
10,2021-01-19,574301,573053,1248,0.002173076487765127
11,2021-01-21,17522,17477,45,0.0025681999771715557
12,2021-01-22,532429,531278,1151,0.002161790586162662
13,2021-01-25,17019,16969,50,0.0029378929431811505
14,2021-01-26,148284,147912,372,0.002508699522537833
15,2021-01-27,400956,399480,1476,0.0036812019273935294
16,2021-01-28,16955,16905,50,0.002948982601002654
17,2021-01-29,155259,154946,313,0.0020159861908166355
18,2021-01-30,395277,394414,863,0.0021832790675905757
19,2021-02-01,11956,11831,125,0.010455001672800267
20,2021-02-02,535137,533920,1217,0.0022741839940052734
21,2021-02-04,3469,3451,18,0.0051888152205246466
22,2021-02-05,592360,590857,1503,0.0025373083935444664
23,2021-02-08,4630,4600,30,0.0064794816414686825
24,2021-02-09,580988,579934,1054,0.0018141510668034451
25,2021-02-11,4713,4686,27,0.005728835136855506
26,2021-02-12,561641,560413,1228,0.002186450063296661
27,2021-02-15,16300,16247,53,0.0032515337423312885
28,2021-02-16,551497,550131,1366,0.002476894706589519
29,2021-02-18,21503,21478,25,0.0011626284704459842
30,2021-02-19,555240,554041,1199,0.0021594265542828326
31,2021-02-22,8428,8425,3,0.0003559563360227812
32,2021-02-23,545409,544109,1300,0.0023835323582852503
33,2021-02-25,30927,30883,44,0.0014227050797038187
34,2021-02-26,513485,512546,939,0.0018286804872586345
35,2021-03-01,6156,6141,15,0.0024366471734892786
36,2021-03-02,567336,566020,1316,0.0023196130687987366
37,2021-03-18,4450,4450,0,0.0
38,2021-03-19,583052,581754,1298,0.0022262165295719766
39,2021-03-22,11160,11159,1,8.960573476702509e-05
40,2021-03-23,560864,559906,958,0.0017080789638842927
