,date,measurements,ok,anomalies,ratio
0,2021-01-01,79743,58875,20868,0.2616906813137203
1,2021-01-04,2441,1958,483,0.19786972552232693
2,2021-01-05,65653,48930,16723,0.25471798699221665
3,2021-01-07,3868,3090,778,0.20113753877973112
4,2021-01-08,72522,53480,19042,0.26256859987314196
5,2021-01-14,3540,2818,722,0.20395480225988702
6,2021-01-15,67073,49400,17673,0.26348903433572374
7,2021-01-18,3258,2622,636,0.19521178637200737
8,2021-01-19,67203,49809,17394,0.2588277309048703
9,2021-01-21,5862,4673,1189,0.2028317980211532
10,2021-01-22,61568,45582,15986,0.259647869022869
11,2021-01-26,30866,24074,6792,0.22004794919976672
12,2021-01-27,14626,10190,4436,0.3032955011623137
13,2021-01-29,35877,27468,8409,0.23438414583159128
14,2021-01-30,23457,16378,7079,0.30178624717568314
15,2021-02-01,4242,3402,840,0.19801980198019803
16,2021-02-02,56215,41624,14591,0.25955705772480653
17,2021-02-04,92,74,18,0.1956521739130435
18,2021-02-05,65356,48251,17105,0.26172042352653163
19,2021-02-09,71017,52667,18350,0.25838883647577343
20,2021-02-12,73077,54424,18653,0.25525131026177866
21,2021-02-15,5381,4382,999,0.1856532243077495
22,2021-02-16,67118,49668,17450,0.25998986858964807
23,2021-02-18,7351,5852,1499,0.20391783430825738
24,2021-02-19,59489,43840,15649,0.2630570357545092
25,2021-02-22,888,714,174,0.19594594594594594
26,2021-02-23,62908,47106,15802,0.2511922172060787
27,2021-02-25,11111,9077,2034,0.1830618306183062
28,2021-02-26,50159,36655,13504,0.26922386809944376
29,2021-03-01,644,527,117,0.18167701863354038
30,2021-03-02,57104,43183,13921,0.24378327262538527
31,2021-03-18,41055,31089,9966,0.24274753379612715
32,2021-03-19,21617,15199,6418,0.29689596151177317
33,2021-03-23,58464,43529,14935,0.2554563492063492
34,2021-03-25,1293,1028,265,0.20494972931167826
35,2021-03-26,55280,41267,14013,0.2534913169319826
36,2021-03-30,54808,40983,13825,0.2522441979273099
37,2021-04-02,50091,37597,12494,0.24942604459883014
38,2021-04-06,49986,37821,12165,0.2433681430800624
39,2021-04-08,229,182,47,0.2052401746724891
40,2021-04-09,48046,35907,12139,0.2526537068642551
41,2021-04-12,2989,2432,557,0.18634994981599198
42,2021-04-13,41974,31710,10264,0.24453232953733264
43,2021-04-15,3572,2902,670,0.1875699888017917
44,2021-04-16,40170,30224,9946,0.24759770973363207
45,2021-04-19,4129,3343,786,0.1903608621942359
46,2021-04-20,52263,38697,13566,0.25957178118362895
47,2021-04-22,4842,3919,923,0.1906237092110698
48,2021-04-23,49520,36699,12821,0.25890549273021
49,2021-04-26,49778,38471,11307,0.22714853951544858
50,2021-04-27,28922,19173,9749,0.3370790401770279
51,2021-04-29,44421,34444,9977,0.2246009770153756
52,2021-04-30,26660,17540,9120,0.3420855213803451
53,2021-05-03,26628,21877,4751,0.1784212107555956
54,2021-05-04,1426,1027,399,0.27980364656381485
55,2021-05-06,20765,16506,4259,0.2051047435588731
56,2021-05-07,1390,901,489,0.35179856115107916
57,2021-05-10,20856,16274,4582,0.2196969696969697
58,2021-05-11,1701,1058,643,0.37801293356848914
59,2021-05-13,23650,18312,5338,0.22570824524312896
60,2021-05-14,450,290,160,0.35555555555555557
61,2021-05-17,23149,18776,4373,0.18890664823534495
62,2021-05-18,2255,1481,774,0.34323725055432375
63,2021-05-20,43879,33694,10185,0.23211559060142664
64,2021-05-21,26529,17469,9060,0.34151306117833313
65,2021-05-24,4356,3200,1156,0.26538108356290174
66,2021-05-25,16223,13508,2715,0.16735498982925476
67,2021-05-27,9400,6782,2618,0.2785106382978723
68,2021-05-28,21620,17101,4519,0.20901942645698426
69,2021-06-04,42315,32119,10196,0.24095474418055063
70,2021-06-07,20894,15281,5613,0.26864171532497366
71,2021-06-08,44348,34030,10318,0.23265987192207088
72,2021-06-10,22154,16405,5749,0.2595016701272908
73,2021-06-11,46322,35367,10955,0.23649669703380682
74,2021-06-14,17989,13400,4589,0.2551003390961143
75,2021-06-15,42337,31772,10565,0.2495453149727189
76,2021-06-17,13689,10119,3570,0.26079333771641466
77,2021-06-18,44352,33731,10621,0.23947059884559885
78,2021-06-21,16107,12172,3935,0.24430371887999006
79,2021-06-22,37293,29261,8032,0.21537553964550987
80,2021-06-24,18111,13336,4775,0.263651924244934
81,2021-06-25,40353,31615,8738,0.21653904294600154
82,2021-06-28,14105,10742,3363,0.23842609003899326
83,2021-06-29,42292,33007,9285,0.21954506762508275
84,2021-07-01,22127,16356,5771,0.2608125819134993
85,2021-07-02,42289,32442,9847,0.2328501501572513
86,2021-07-05,18116,13357,4759,0.26269595937293
87,2021-07-06,41387,32212,9175,0.22168796965230628
88,2021-07-07,1095,833,262,0.23926940639269406
89,2021-07-08,15597,11521,4076,0.2613323074950311
90,2021-07-09,41413,32413,9000,0.21732306280636515
91,2021-07-12,14091,10529,3562,0.25278546590022
92,2021-07-13,36347,27624,8723,0.2399922964756376
93,2021-07-15,16088,11856,4232,0.26305320735952264
94,2021-07-16,38209,30105,8104,0.21209662644926588
95,2021-07-19,18050,13282,4768,0.26415512465373964
96,2021-07-20,67,38,29,0.43283582089552236
97,2021-07-22,17376,12745,4631,0.2665170349907919
98,2021-07-23,35570,28231,7339,0.20632555524318247
99,2021-07-26,14076,9858,4218,0.29965899403239554
100,2021-07-27,34267,26794,7473,0.21808153617182713
101,2021-07-29,20125,14748,5377,0.2671801242236025
102,2021-07-30,42309,32457,9852,0.23285825710841665
103,2021-08-02,12096,8503,3593,0.2970403439153439
104,2021-08-03,36252,28455,7797,0.21507778881165177
105,2021-08-05,20113,14652,5461,0.271515934967434
106,2021-08-06,42321,32894,9427,0.22274993502043902
107,2021-08-09,18143,13318,4825,0.26594278785206416
108,2021-08-10,24217,19345,4872,0.20118098856175415
109,2021-08-12,16120,11797,4323,0.2681761786600496
110,2021-08-13,34330,26047,8283,0.24127585202446838
111,2021-08-16,14126,10510,3616,0.2559818773892114
112,2021-08-20,44973,35594,9379,0.2085473506326018
113,2021-08-21,7505,4998,2507,0.33404397068620917
114,2021-08-23,12086,8452,3634,0.3006784709581334
115,2021-08-24,38345,30172,8173,0.21314382579215022
116,2021-08-26,16136,11971,4165,0.2581184928111056
117,2021-08-27,33861,27021,6840,0.2020023035350403
118,2021-08-28,428,281,147,0.34345794392523366
119,2021-08-30,12098,9037,3061,0.2530170276078691
120,2021-08-31,33125,26615,6510,0.19652830188679246
121,2021-09-01,1157,751,406,0.3509075194468453
122,2021-09-03,32256,25340,6916,0.2144097222222222
123,2021-09-06,16092,11338,4754,0.2954262987820035
124,2021-09-07,44,26,18,0.4090909090909091
125,2021-09-10,36216,28689,7527,0.2078363154406892
126,2021-09-13,16111,11306,4805,0.2982434361616287
127,2021-09-14,39310,30713,8597,0.21869753243449505
128,2021-09-15,81,49,32,0.3950617283950617
129,2021-09-16,14760,11011,3749,0.2539972899728997
130,2021-09-17,37364,29556,7808,0.20897120222674231
131,2021-09-18,973,595,378,0.38848920863309355
132,2021-09-20,14112,10529,3583,0.25389739229024944
133,2021-09-21,33492,26140,7352,0.21951510808551297
134,2021-09-23,15498,11529,3969,0.25609756097560976
135,2021-09-24,39080,30642,8438,0.21591606960081883
136,2021-09-25,45,26,19,0.4222222222222222
137,2021-09-27,9817,7530,2287,0.2329632270551085
138,2021-09-28,38572,30217,8355,0.216607902105154
139,2021-09-30,14112,10458,3654,0.25892857142857145
140,2021-10-01,42336,32923,9413,0.22234032501889645
141,2021-10-04,15296,11362,3934,0.25719142259414224
142,2021-10-05,38285,30256,8029,0.2097165991902834
143,2021-10-07,14072,10521,3551,0.2523450824332007
144,2021-10-08,29686,22446,7240,0.24388600687192616
145,2021-10-11,16110,11927,4183,0.25965238981998756
146,2021-10-12,26,16,10,0.38461538461538464
147,2021-10-14,16128,11971,4157,0.25775049603174605
148,2021-10-15,46368,36224,10144,0.21877156659765357
149,2021-10-18,12114,8648,3466,0.2861152385669473
150,2021-10-19,41509,32419,9090,0.21898865306319112
151,2021-10-20,1404,882,522,0.3717948717948718
152,2021-10-21,18135,13292,4843,0.2670526606010477
153,2021-10-22,38285,29526,8759,0.22878411910669974
154,2021-10-25,16136,11986,4150,0.2571888943976202
155,2021-10-26,42670,33460,9210,0.21584251230372628
156,2021-10-27,16,10,6,0.375
157,2021-10-28,14258,10705,3553,0.24919343526441295
158,2021-10-29,32272,25446,6826,0.2115146256817055
159,2021-11-01,4036,2868,1168,0.2893954410307235
160,2021-11-02,31339,25376,5963,0.19027409936500844
161,2021-11-03,901,587,314,0.34850166481687017
162,2021-11-04,11306,8591,2715,0.2401379798337166
163,2021-11-05,22606,17963,4643,0.2053879501017429
164,2021-11-06,343,209,134,0.39067055393586003
165,2021-11-08,14084,10550,3534,0.25092303322919624
166,2021-11-11,16101,11943,4158,0.2582448295136948
167,2021-11-12,11,6,5,0.45454545454545453
168,2021-11-15,18126,13394,4732,0.2610614586781419
169,2021-11-18,18131,13395,4736,0.2612100821796922
170,2021-11-19,4,2,2,0.5
171,2021-11-22,17095,12722,4373,0.2558057911670079
172,2021-11-23,1040,656,384,0.36923076923076925
173,2021-11-25,17433,12910,4523,0.2594504675041588
174,2021-12-03,8163,6541,1622,0.1987014577973784
175,2021-12-04,7957,5879,2078,0.2611537011436471
176,2021-12-06,18135,15094,3041,0.1676867934932451
177,2021-12-07,30180,24343,5837,0.19340622929092113
178,2021-12-09,18106,15055,3051,0.1685076770131448
179,2021-12-10,28170,22991,5179,0.1838480653177139
180,2021-12-13,18126,15086,3040,0.16771488469601678
181,2021-12-14,36794,26289,10505,0.28550850682176443
182,2021-12-15,404,328,76,0.18811881188118812
183,2021-12-16,14246,10823,3423,0.24027797276428473
184,2021-12-17,32345,23109,9236,0.28554645231102177
185,2021-12-19,1037,872,165,0.15911282545805208
186,2021-12-20,13408,10567,2841,0.2118884248210024
187,2021-12-21,30926,22136,8790,0.28422686412727155
188,2021-12-22,713,619,94,0.13183730715287517
189,2021-12-23,11574,9268,2306,0.19923967513392085
