,date,measurements,ok,anomalies,ratio
0,2021-01-01,60139,59806,333,0.005537172217695671
1,2021-01-04,5019,4994,25,0.004981071926678621
2,2021-01-05,67521,67091,430,0.006368389093763422
3,2021-01-07,7574,7533,41,0.005413255875363085
4,2021-01-08,64858,64446,412,0.00635233895587283
5,2021-01-14,8012,7970,42,0.005242136794807789
6,2021-01-15,60532,60150,382,0.006310711689684795
7,2021-01-18,6662,6622,40,0.006004202942059442
8,2021-01-19,58717,58309,408,0.00694858388541649
9,2021-01-21,12370,12305,65,0.005254648342764754
10,2021-01-22,58190,57813,377,0.006478776422065647
11,2021-01-26,70077,69618,459,0.00654993792542489
12,2021-01-29,68511,68085,426,0.006217979594517669
13,2021-02-01,9335,9261,74,0.007927155865024103
14,2021-02-02,50045,49638,407,0.008132680587471276
15,2021-02-04,159,158,1,0.006289308176100629
16,2021-02-05,57912,57357,555,0.009583506009117282
17,2021-02-09,54378,53196,1182,0.021736731766523226
18,2021-02-12,64379,63770,609,0.009459606393389148
19,2021-02-15,9615,9559,56,0.005824232969318773
20,2021-02-16,42853,42528,325,0.0075840664597577765
21,2021-02-18,12207,12091,116,0.009502744327025477
22,2021-02-19,34726,34144,582,0.01675977653631285
23,2021-02-22,1535,1524,11,0.0071661237785016286
24,2021-02-23,3911,3907,4,0.0010227563283047815
25,2021-02-25,2913,2909,4,0.0013731548232063166
26,2021-02-26,26769,26496,273,0.010198363778998095
27,2021-03-01,995,976,19,0.019095477386934675
28,2021-03-02,43357,42419,938,0.02163433816915377
29,2021-03-19,39547,39437,110,0.002781500493084178
30,2021-03-23,44352,44134,218,0.004915223665223665
31,2021-03-25,2555,2545,10,0.003913894324853229
32,2021-03-26,39739,39524,215,0.005410302221998541
33,2021-03-30,34238,34119,119,0.003475670307845084
34,2021-04-02,36270,36146,124,0.003418803418803419
35,2021-04-06,46391,45970,421,0.009075036106141278
36,2021-04-08,424,419,5,0.01179245283018868
37,2021-04-09,45898,45349,549,0.011961305503507777
38,2021-04-12,6429,6402,27,0.004199720018665422
39,2021-04-13,33851,33657,194,0.005730997607160793
40,2021-04-15,2867,2851,16,0.0055807464248343215
41,2021-04-16,31900,31714,186,0.005830721003134796
42,2021-04-19,8720,8660,60,0.006880733944954129
43,2021-04-20,37602,37351,251,0.006675176852295091
44,2021-04-22,9957,9900,57,0.005724615848147032
45,2021-04-23,34351,34073,278,0.008092923059008472
46,2021-04-29,34183,33877,306,0.008951818155223357
47,2021-05-03,30186,29990,196,0.006493076260518121
48,2021-05-06,42300,41990,310,0.007328605200945627
49,2021-05-10,48069,47687,382,0.007946909650710437
50,2021-05-13,46602,46164,438,0.009398738251577185
51,2021-05-17,41531,41373,158,0.0038043870843466328
52,2021-05-20,54993,54567,426,0.007746440456058044
53,2021-05-24,29548,29337,211,0.007140923243535942
54,2021-05-25,15270,15048,222,0.014538310412573674
55,2021-05-27,35057,34831,226,0.006446644036854266
56,2021-05-28,14760,14546,214,0.014498644986449864
57,2021-06-04,935,855,80,0.0855614973262032
58,2021-06-07,36270,36012,258,0.007113316790736146
59,2021-06-08,15289,15010,279,0.018248413892340897
60,2021-06-10,38266,37997,269,0.007029739194062614
61,2021-06-11,13292,13129,163,0.01226301534757749
62,2021-06-14,26208,26173,35,0.0013354700854700855
63,2021-06-15,12096,11921,175,0.014467592592592593
64,2021-06-17,26208,26135,73,0.0027854090354090355
65,2021-06-18,10080,9966,114,0.01130952380952381
66,2021-06-21,38285,38116,169,0.004414261460101867
67,2021-06-22,10080,9968,112,0.011111111111111112
68,2021-06-24,34272,34127,145,0.004230859010270775
69,2021-06-25,14112,13992,120,0.008503401360544218
70,2021-06-28,32256,32105,151,0.004681299603174603
71,2021-06-29,16104,15995,109,0.0067685047193243916
72,2021-07-01,32208,32180,28,0.0008693492300049677
73,2021-07-02,14091,13977,114,0.008090270385352353
74,2021-07-05,30240,30095,145,0.004794973544973545
75,2021-07-06,16087,15948,139,0.008640517187791385
76,2021-07-07,3385,3374,11,0.0032496307237813884
77,2021-07-08,34900,34784,116,0.00332378223495702
78,2021-07-09,16120,15991,129,0.008002481389578164
79,2021-07-12,34221,34075,146,0.004266386137167236
80,2021-07-13,14077,13961,116,0.00824039212900476
81,2021-07-15,36198,36049,149,0.004116249516547875
82,2021-07-16,10055,10010,45,0.0044753853804077575
83,2021-07-19,28182,27808,374,0.01327088212334114
84,2021-07-22,24156,24108,48,0.001987083954297069
85,2021-07-23,14091,13818,273,0.019374068554396422
86,2021-07-26,20150,20120,30,0.001488833746898263
87,2021-07-27,12084,11963,121,0.01001324064879179
88,2021-07-29,34238,34084,154,0.004497926280740697
89,2021-07-30,14098,13846,252,0.01787487586891758
90,2021-08-02,32256,32109,147,0.004557291666666667
91,2021-08-03,14744,14532,212,0.014378730330982095
92,2021-08-05,32224,32055,169,0.005244538232373386
93,2021-08-06,12583,12380,203,0.016132877692124296
94,2021-08-09,31844,31671,173,0.005432734581082779
95,2021-08-10,10090,10073,17,0.0016848364717542122
96,2021-08-12,26234,26050,184,0.007013798886940611
97,2021-08-13,12108,11926,182,0.01503138420878758
98,2021-08-16,26234,26065,169,0.006442021803766105
99,2021-08-20,39342,39208,134,0.003406029180011184
100,2021-08-21,4395,4392,3,0.0006825938566552901
101,2021-08-23,35056,34889,167,0.004763806481058877
102,2021-08-24,16136,16013,123,0.007622706990580069
103,2021-08-26,26221,26075,146,0.005568056138209832
104,2021-08-27,14119,14004,115,0.008145052765776614
105,2021-08-30,30270,30123,147,0.0048562933597621405
106,2021-08-31,15657,15536,121,0.007728172702305678
107,2021-09-03,14112,14001,111,0.007865646258503401
108,2021-09-06,24204,24172,32,0.0013220955214014213
109,2021-09-10,16096,15967,129,0.00801441351888668
110,2021-09-13,28196,27905,291,0.010320612852886935
111,2021-09-14,16120,16004,116,0.007196029776674938
112,2021-09-16,34255,34044,211,0.00615968471755948
113,2021-09-17,14105,13993,112,0.00794044665012407
114,2021-09-20,28224,28165,59,0.002090419501133787
115,2021-09-21,16120,16003,117,0.007258064516129033
116,2021-09-23,28989,28906,83,0.002863154989823726
117,2021-09-24,15751,15649,102,0.00647577931559901
118,2021-09-27,20170,20114,56,0.0027764005949429847
119,2021-09-28,16128,16005,123,0.007626488095238095
120,2021-09-30,21587,21410,177,0.008199379256033723
121,2021-10-01,12096,11983,113,0.009341931216931217
122,2021-10-04,30255,30112,143,0.004726491489010081
123,2021-10-05,16120,16007,113,0.007009925558312655
124,2021-10-07,34255,34107,148,0.004320537147861626
125,2021-10-08,16120,16005,115,0.007133995037220843
126,2021-10-11,32272,32001,271,0.008397372335151214
127,2021-10-14,34272,34125,147,0.00428921568627451
128,2021-10-15,14242,14115,127,0.008917286897907597
129,2021-10-18,28266,28158,108,0.00382084483124602
130,2021-10-19,16120,15981,139,0.008622828784119107
131,2021-10-21,24180,24059,121,0.00500413564929694
132,2021-10-22,14105,13982,123,0.008720311946118399
133,2021-10-25,28238,28081,157,0.005559883844464906
134,2021-10-26,16136,16009,127,0.007870599900842835
135,2021-10-28,36306,36111,195,0.005371013055693274
136,2021-10-29,16136,16005,131,0.008118492811105603
137,2021-11-01,32288,32144,144,0.0044598612487611496
138,2021-11-02,16120,16005,115,0.007133995037220843
139,2021-11-04,30225,30084,141,0.004665012406947891
140,2021-11-05,12090,12086,4,0.00033085194375516956
141,2021-11-08,33019,32839,180,0.005451406765801508
142,2021-11-11,26182,26047,135,0.005156214192956993
143,2021-11-15,30751,30700,51,0.0016584826509707
144,2021-11-18,34255,34213,42,0.0012260983797985694
145,2021-11-22,38285,38067,218,0.005694136084628445
146,2021-11-25,36957,36774,183,0.004951700625050735
147,2021-12-03,23258,23148,110,0.004729555421790352
148,2021-12-04,8937,8903,34,0.0038044086382454964
149,2021-12-06,34255,34104,151,0.0044081156035615235
150,2021-12-07,14084,13970,114,0.008094291394490201
151,2021-12-09,32192,32046,146,0.004535288270377733
152,2021-12-10,14084,13960,124,0.008804316955410394
153,2021-12-13,34238,34098,140,0.004089023891582453
154,2021-12-14,20150,20026,124,0.006153846153846154
155,2021-12-15,1008,1008,0,0.0
156,2021-12-16,25501,25469,32,0.0012548527508725149
157,2021-12-17,16063,15925,138,0.008591172259229285
158,2021-12-19,2955,2950,5,0.001692047377326565
159,2021-12-20,25617,25565,52,0.002029902018191045
160,2021-12-21,19764,19547,217,0.010979558793766444
161,2021-12-22,2334,2331,3,0.0012853470437017994
162,2021-12-23,26266,26159,107,0.004073707454503922
163,2021-12-24,21619,20871,748,0.03459919515241223
164,2021-12-26,1259,1258,1,0.0007942811755361397
165,2021-12-27,14887,14866,21,0.0014106267213004635
166,2021-12-28,20124,19885,239,0.011876366527529318
167,2021-12-29,1437,1434,3,0.0020876826722338203
168,2021-12-30,16038,16006,32,0.001995261254520514
169,2021-12-31,18741,18506,235,0.012539352222400085
170,2022-01-03,27306,27230,76,0.002783271075954003
171,2022-01-04,21030,20453,577,0.02743699476937708
172,2022-01-05,2338,2336,2,0.000855431993156544
173,2022-01-06,18873,18849,24,0.001271657924018439
174,2022-01-07,19049,18805,244,0.012809071342327682
175,2022-01-10,14105,14078,27,0.0019142148174406239
176,2022-01-12,651,643,8,0.01228878648233487
177,2022-01-13,9839,9777,62,0.006301453399735746
178,2022-01-14,18135,17883,252,0.013895781637717122
179,2022-01-16,2079,2077,2,0.000962000962000962
180,2022-01-17,16847,16785,62,0.0036801804475574285
181,2022-01-18,17362,17205,157,0.009042737011864992
182,2022-01-19,1949,1942,7,0.0035915854284248334
183,2022-01-20,21270,21202,68,0.0031969910672308417
184,2022-01-21,19057,18795,262,0.01374822899721887
185,2022-01-23,2592,2588,4,0.0015432098765432098
186,2022-01-24,20465,20412,53,0.002589787441974102
187,2022-01-25,19258,19026,232,0.012046941530792398
188,2022-01-26,2324,2319,5,0.0021514629948364886
189,2022-01-27,22663,22611,52,0.00229448881436703
190,2022-01-28,17349,17107,242,0.013948930774108017
191,2022-01-30,3023,3015,8,0.0026463777704267286
192,2022-01-31,22242,22180,62,0.0027875191079938856
193,2022-02-01,18308,18059,249,0.013600611754424296
194,2022-02-02,3163,3156,7,0.002213088839709137
195,2022-02-03,25742,25690,52,0.0020200450625437027
196,2022-02-04,19407,19163,244,0.012572783016437368
197,2022-02-06,2108,2099,9,0.004269449715370019
198,2022-02-07,20413,20370,43,0.002106500759320041
199,2022-02-08,17859,17635,224,0.012542695559661796
200,2022-02-09,1160,1160,0,0.0
201,2022-02-10,21202,21156,46,0.0021696066408829354
202,2022-02-11,19953,19731,222,0.011126146444143737
203,2022-02-13,2600,2599,1,0.0003846153846153846
204,2022-02-14,20120,20094,26,0.0012922465208747515
205,2022-02-15,19574,19352,222,0.011341575559415552
206,2022-02-16,3161,3154,7,0.002214489085732363
