,date,measurements,ok,anomalies,ratio
0,2021-01-01,4404,4404,0,0.0
1,2021-01-04,88551,87781,770,0.008695553974545743
2,2021-01-05,4548,4547,1,0.00021987686895338611
3,2021-01-07,88132,87722,410,0.0046521127399809376
4,2021-01-08,4409,4409,0,0.0
5,2021-01-11,87022,86453,569,0.006538576451931695
6,2021-01-14,1150,1129,21,0.018260869565217393
7,2021-01-15,6914,6778,136,0.019670234307202775
8,2021-01-18,99793,98808,985,0.009870431793813193
9,2021-01-19,677411,665737,11674,0.017233260162589626
10,2021-01-21,103259,102551,708,0.006856545192186638
11,2021-01-22,676979,665722,11257,0.016628285367788365
12,2021-01-25,687810,678700,9110,0.013244936828484611
13,2021-01-26,16435,16197,238,0.014481289930027381
14,2021-01-28,673025,663960,9065,0.013469039040154526
15,2021-01-29,16462,16145,317,0.01925646944478192
16,2021-02-01,289474,285451,4023,0.013897621202595052
17,2021-02-02,396169,390295,5874,0.014827005646580122
18,2021-02-04,298112,294296,3816,0.01280055817947617
19,2021-02-05,409313,403445,5868,0.014336217027067305
20,2021-02-08,323648,319102,4546,0.014046124184298991
21,2021-02-09,382201,376875,5326,0.013935076046373505
22,2021-02-11,330239,325401,4838,0.014649995912051576
23,2021-02-12,366953,361289,5664,0.015435219224260327
24,2021-02-15,79745,79374,371,0.00465232929964261
25,2021-02-16,2656,2656,0,0.0
26,2021-02-18,79304,78853,451,0.005686976697266216
27,2021-02-19,2656,2656,0,0.0
28,2021-02-22,82091,81538,553,0.006736426648475472
29,2021-02-23,6381,6379,2,0.0003134304967873374
30,2021-02-25,81219,80833,386,0.004752582523793693
31,2021-02-26,4392,4391,1,0.00022768670309653916
32,2021-03-01,79237,78839,398,0.005022905965647362
33,2021-03-02,35926,35169,757,0.021071090575070978
34,2021-03-18,234330,231337,2993,0.01277258566978193
35,2021-03-19,474378,468236,6142,0.012947480701044315
36,2021-03-22,168004,166123,1881,0.011196161996142949
37,2021-03-23,534015,527719,6296,0.011789930994447721
38,2021-03-25,191219,189017,2202,0.011515592069825697
39,2021-03-26,504553,498349,6204,0.012296032329606603
40,2021-03-29,177013,174888,2125,0.012004768011388995
41,2021-03-30,511899,505559,6340,0.012385255685203527
42,2021-04-02,18136,17865,271,0.014942655491839435
43,2021-04-05,170076,168109,1967,0.011565417813212917
44,2021-04-06,530118,524063,6055,0.01142198529384024
45,2021-04-08,177266,174909,2357,0.013296402017307323
46,2021-04-09,497115,490206,6909,0.013898192571135452
47,2021-04-12,168859,166742,2117,0.012537087155555819
48,2021-04-13,525599,518252,7347,0.013978337097292803
49,2021-04-15,187250,184906,2344,0.012518024032042724
50,2021-04-16,488184,481397,6787,0.013902544942071023
51,2021-04-19,96494,95825,669,0.0069330735589777604
52,2021-04-22,96848,96358,490,0.0050594746406740455
53,2021-04-26,731518,722543,8975,0.0122690077346012
54,2021-04-27,902,820,82,0.09090909090909091
55,2021-04-29,714727,706255,8472,0.011853476921957614
56,2021-04-30,992,912,80,0.08064516129032258
57,2021-05-03,653129,646140,6989,0.010700795708045425
58,2021-05-06,675302,668219,7083,0.010488640637818339
59,2021-05-09,35642,35588,54,0.00151506649458504
60,2021-05-10,41260,41202,58,0.0014057198254968492
61,2021-05-13,71984,71867,117,0.0016253611913758612
62,2021-05-17,766439,758499,7940,0.010359598089345662
63,2021-05-18,1486,1357,129,0.08681022880215343
64,2021-05-20,713651,705106,8545,0.011973639776305224
65,2021-05-21,1028,947,81,0.07879377431906615
66,2021-05-24,383318,380148,3170,0.008269896013231833
67,2021-05-25,314481,309868,4613,0.014668612730180837
68,2021-05-27,375345,372627,2718,0.007241337969068457
69,2021-05-28,308922,304393,4529,0.014660658677594992
70,2021-06-04,308024,303339,4685,0.015209853777627718
71,2021-06-07,351489,347966,3523,0.010023073268295737
72,2021-06-08,331900,326416,5484,0.016523049111178065
73,2021-06-10,346203,342478,3725,0.01075958325028957
74,2021-06-11,302642,297779,4863,0.016068490163295247
75,2021-06-14,314947,312246,2701,0.008576046128396205
76,2021-06-15,286342,282388,3954,0.0138086623687758
77,2021-06-17,329851,327088,2763,0.008376509393635307
78,2021-06-18,252661,248985,3676,0.01454913896485805
79,2021-06-21,296346,293231,3115,0.010511361719071625
80,2021-06-22,293866,289456,4410,0.015006839852177522
81,2021-06-24,320742,317891,2851,0.00888876417806212
82,2021-06-25,279786,275544,4242,0.015161587784949925
83,2021-06-28,341987,338634,3353,0.009804466251641145
84,2021-06-29,302518,297820,4698,0.015529654433785758
85,2021-07-01,335228,332148,3080,0.009187776677365853
86,2021-07-02,303146,298167,4979,0.016424429152949404
87,2021-07-05,315837,312967,2870,0.009086965744988712
88,2021-07-06,319184,314005,5179,0.016225750664193694
89,2021-07-07,32362,32044,318,0.009826339534021383
90,2021-07-08,332891,329499,3392,0.010189521495023897
91,2021-07-09,290297,285464,4833,0.01664846691491817
92,2021-07-12,290649,288105,2544,0.008752825573113961
93,2021-07-13,317001,311847,5154,0.016258623789830316
94,2021-07-15,345783,342661,3122,0.009028783948314405
95,2021-07-16,270242,266380,3862,0.014290894827598967
96,2021-07-19,309830,306358,3472,0.011206145305490108
97,2021-07-22,358485,354779,3706,0.010337949983960277
98,2021-07-23,331886,326476,5410,0.01630077797798039
99,2021-07-26,294256,291306,2950,0.01002528410635637
100,2021-07-27,302382,297838,4544,0.015027349511545
101,2021-07-29,347115,343375,3740,0.010774527173991329
102,2021-07-30,281256,276629,4627,0.016451204596524164
103,2021-08-02,336400,332868,3532,0.010499405469678954
104,2021-08-03,297534,292274,5260,0.0176786518515531
105,2021-08-05,363707,359621,4086,0.011234317733780213
106,2021-08-06,343933,338145,5788,0.016828859109186963
107,2021-08-09,341685,338009,3676,0.010758447107716172
108,2021-08-10,275897,271588,4309,0.01561814735209154
109,2021-08-12,325243,322110,3133,0.009632797631309514
110,2021-08-13,318177,313182,4995,0.015698809153395752
111,2021-08-16,299607,296679,2928,0.00977280237110615
112,2021-08-20,586199,579034,7165,0.012222811707287116
113,2021-08-21,54231,53263,968,0.017849569434456307
114,2021-08-23,299133,296203,2930,0.009794974141936865
115,2021-08-24,336784,331359,5425,0.01610824742268041
116,2021-08-26,322623,319058,3565,0.011050049128549422
117,2021-08-27,314619,309622,4997,0.01588270257041056
118,2021-08-30,335027,331673,3354,0.0100111334310369
119,2021-08-31,269127,264984,4143,0.01539421908615635
120,2021-09-03,301103,296409,4694,0.015589349823814443
121,2021-09-06,304211,300826,3385,0.011127145303752988
122,2021-09-10,286311,281674,4637,0.016195675332068973
123,2021-09-13,315148,311841,3307,0.010493482427303996
124,2021-09-14,299658,294587,5071,0.016922625125976948
125,2021-09-16,346439,342134,4305,0.012426430049734585
126,2021-09-17,289088,284047,5041,0.017437596856320566
127,2021-09-20,355059,351155,3904,0.010995355701446802
128,2021-09-21,300164,295455,4709,0.015688090510520915
129,2021-09-23,317686,314453,3233,0.010176715373041306
130,2021-09-24,319524,314077,5447,0.01704723275872861
131,2021-09-27,304355,301435,2920,0.009594059568595882
132,2021-09-28,328236,322613,5623,0.017130966743440695
133,2021-09-30,314634,311016,3618,0.01149907511584889
134,2021-10-01,317316,311584,5732,0.018064011899809652
135,2021-10-04,341682,338169,3513,0.010281489806311132
136,2021-10-05,310296,304773,5523,0.01779913373037358
137,2021-10-07,318199,314497,3702,0.01163422889449684
138,2021-10-08,286097,281553,4544,0.01588272508974229
139,2021-10-11,325623,321954,3669,0.011267631586220876
140,2021-10-14,327595,324074,3521,0.0107480272897938
141,2021-10-15,321566,316017,5549,0.01725617758096316
142,2021-10-18,296432,293330,3102,0.010464457278566416
143,2021-10-19,328792,323264,5528,0.016813061145040026
144,2021-10-21,312479,309280,3199,0.010237487959190857
145,2021-10-22,278901,274103,4798,0.01720323699090358
146,2021-10-25,323289,320251,3038,0.009397164765890581
147,2021-10-26,320668,315209,5459,0.01702383773872042
148,2021-10-28,328389,325425,2964,0.00902588089126006
149,2021-10-29,304760,299797,4963,0.01628494553090957
150,2021-11-01,334925,331448,3477,0.010381428678062252
151,2021-11-02,313533,308427,5106,0.016285367090545493
152,2021-11-04,283687,280254,3433,0.012101365237039413
153,2021-11-05,304078,299086,4992,0.016416840415945908
154,2021-11-08,306359,302935,3424,0.011176430266452103
155,2021-11-11,290370,286793,3577,0.012318765712711368
156,2021-11-15,308069,304915,3154,0.01023796616991648
157,2021-11-18,308573,305133,3440,0.011148091375460589
158,2021-11-22,312273,308872,3401,0.010891111303250682
159,2021-11-25,327731,324882,2849,0.008693105016003979
160,2021-12-03,253793,252194,1599,0.006300410176797626
161,2021-12-04,106892,105884,1008,0.009430078958200801
162,2021-12-06,336567,333435,3132,0.009305725160220699
163,2021-12-07,336728,331158,5570,0.016541540946995795
164,2021-12-09,340813,338041,2772,0.008133492560436368
165,2021-12-10,326062,321303,4759,0.01459538370003251
166,2021-12-13,364356,361297,3059,0.008395635038259285
167,2021-12-14,308279,306653,1626,0.005274442955893849
168,2021-12-15,14984,14826,158,0.010544580886278698
169,2021-12-16,378147,374691,3456,0.009139302969480123
170,2021-12-17,268220,266659,1561,0.00581984937737678
171,2021-12-19,41355,41008,347,0.008390762906540927
172,2021-12-20,353648,350516,3132,0.008856263855585215
173,2021-12-21,273922,272160,1762,0.006432488080548478
174,2021-12-22,31004,30757,247,0.00796671397239066
175,2021-12-23,336536,333581,2955,0.008780635652649344
176,2021-12-24,261901,260463,1438,0.005490624319876594
177,2021-12-26,20845,20696,149,0.007147997121611897
178,2021-12-27,233869,231962,1907,0.008154137572743716
179,2021-12-28,272739,271233,1506,0.005521762564209739
180,2021-12-29,24867,24666,201,0.008083001568343589
181,2021-12-30,271910,269533,2377,0.008741863116472362
182,2021-12-31,278304,276663,1641,0.005896429803380476
183,2022-01-03,400415,396725,3690,0.009215438982056116
184,2022-01-04,258565,257029,1536,0.005940479183184112
185,2022-01-05,41490,41030,460,0.01108700891781152
186,2022-01-06,318269,315160,3109,0.009768466297377376
187,2022-01-07,251154,249886,1268,0.005048695222851319
188,2022-01-10,263934,261282,2652,0.010047966537088818
189,2022-01-12,14746,14691,55,0.0037298250372982504
190,2022-01-13,280661,278141,2520,0.008978803610049133
191,2022-01-14,294312,292632,1680,0.0057082280029356605
192,2022-01-16,38765,38419,346,0.008925577195924158
193,2022-01-17,296828,294447,2381,0.008021480453326506
194,2022-01-18,259698,258244,1454,0.005598810926537748
195,2022-01-19,29955,29711,244,0.00814555166082457
196,2022-01-20,316733,314266,2467,0.007788894747310826
197,2022-01-21,261277,259846,1431,0.0054769459232921385
198,2022-01-23,35624,35268,356,0.009993262968785088
199,2022-01-24,278709,276430,2279,0.00817698746721491
200,2022-01-25,259175,257206,1969,0.007597183370309637
201,2022-01-26,36149,35871,278,0.007690392541979031
202,2022-01-27,345847,342961,2886,0.008344730473301778
203,2022-01-28,256420,254916,1504,0.005865377115669605
204,2022-01-30,43089,42727,362,0.008401216087632574
205,2022-01-31,302828,300233,2595,0.008569220811813967
206,2022-02-01,254480,253103,1377,0.005411034265954103
207,2022-02-02,39132,38838,294,0.007513032812020853
208,2022-02-03,309632,307427,2205,0.007121356965688301
209,2022-02-04,253224,251963,1261,0.004979780747480491
210,2022-02-06,35321,35092,229,0.006483395147362759
211,2022-02-07,332186,329992,2194,0.006604733492681811
212,2022-02-08,260176,258852,1324,0.005088862923559437
213,2022-02-09,19101,19016,85,0.004450028794303963
214,2022-02-10,333607,331013,2594,0.007775616219084132
215,2022-02-11,243057,241842,1215,0.004998827435539812
216,2022-02-13,42264,41950,314,0.00742949081961007
217,2022-02-14,313709,311392,2317,0.007385825717464274
218,2022-02-15,239387,238152,1235,0.005159010305488602
219,2022-02-16,44401,44024,377,0.008490799756762235
220,2022-02-17,321405,318749,2656,0.008263717117033028
221,2022-02-18,225619,224604,1015,0.004498734592388053
222,2022-02-19,35588,35352,236,0.006631448802967292
223,2022-02-20,28950,28748,202,0.00697754749568221
224,2022-02-21,284285,282232,2053,0.007221626184990415
225,2022-02-22,254260,253143,1117,0.004393140879414772
226,2022-02-23,17696,17509,187,0.01056735985533454
227,2022-02-24,315511,312621,2890,0.009159744034280897
228,2022-02-25,257437,256195,1242,0.004824481329412633
229,2022-02-28,337782,334600,3182,0.009420276983379813
230,2022-03-01,282322,280777,1545,0.005472474692018334
231,2022-03-02,9195,9128,67,0.007286568787384448
232,2022-03-03,362463,358591,3872,0.010682469658972089
233,2022-03-04,251957,250480,1477,0.005862111392023242
234,2022-03-06,3179,3152,27,0.008493236866939289
235,2022-03-07,327807,324370,3437,0.01048482796279518
236,2022-03-08,252466,251054,1412,0.0055928323021713815
237,2022-03-09,8757,8712,45,0.0051387461459403904
238,2022-03-10,334627,331531,3096,0.009252092628508757
239,2022-03-11,273453,271582,1871,0.0068421264348900905
240,2022-03-14,308079,304809,3270,0.01061416065359859
241,2022-03-15,272896,271536,1360,0.004983583489681051
242,2022-03-16,32735,32348,387,0.011822208645181
243,2022-03-17,275874,273152,2722,0.00986682325989401
244,2022-03-20,15600,15490,110,0.007051282051282051
245,2022-03-21,317316,313840,3476,0.01095437986108485
246,2022-03-22,238167,236629,1538,0.006457653663185916
247,2022-03-23,15919,15815,104,0.006533073685533011
248,2022-03-24,321834,318407,3427,0.010648346663186611
249,2022-03-25,247683,246051,1632,0.0065890674773803615
250,2022-03-28,14040,13961,79,0.005626780626780627
251,2022-03-29,252671,250834,1837,0.007270323859881031
252,2022-03-30,20026,19890,136,0.006791171477079796
253,2022-03-31,313290,310472,2818,0.008994860991413707
254,2022-04-01,257603,256037,1566,0.006079121749358509
255,2022-04-03,18936,18771,165,0.008713561470215462
256,2022-04-04,319275,316018,3257,0.010201237177981364
257,2022-04-05,254322,252672,1650,0.006487838252294336
258,2022-04-06,9845,9781,64,0.006500761808024378
259,2022-04-07,281257,278329,2928,0.010410407563189538
260,2022-04-08,264515,262927,1588,0.00600344025858647
261,2022-04-10,19335,19105,230,0.011895526247737265
262,2022-04-11,326727,323046,3681,0.011266286532793433
263,2022-04-12,254713,253102,1611,0.006324765520409245
264,2022-04-13,10048,9979,69,0.00686703821656051
265,2022-04-14,339471,336210,3261,0.009606122467014856
266,2022-04-15,239045,237772,1273,0.0053253571503273445
267,2022-04-17,37891,37461,430,0.011348341294766567
268,2022-04-18,298462,295044,3418,0.011452044146323484
269,2022-04-19,252616,250987,1629,0.006448522658897299
270,2022-04-20,30176,29833,343,0.011366648992576882
271,2022-04-21,353359,349802,3557,0.01006624990448807
272,2022-04-22,246263,244793,1470,0.005969228020449682
273,2022-04-24,6264,6210,54,0.008620689655172414
274,2022-04-25,108534,107698,836,0.007702655389094662
275,2022-04-26,54153,52990,1163,0.021476187838162245
276,2022-04-27,52045,51263,782,0.015025458737630896
277,2022-04-28,279874,276421,3453,0.012337694819811772
278,2022-04-29,228359,227303,1056,0.004624297706681147
279,2022-04-30,52869,52622,247,0.004671924946566041
280,2022-05-02,366110,362578,3532,0.009647373740132748
281,2022-05-03,253388,252203,1185,0.004676622413058234
282,2022-05-04,23358,23132,226,0.009675485914889974
283,2022-05-05,329474,326309,3165,0.009606220824708476
284,2022-05-06,205508,204331,1177,0.005727270957821593
285,2022-05-09,126882,126158,724,0.00570608912217651
286,2022-05-10,93201,92225,976,0.010471990643877212
287,2022-05-12,138802,138008,794,0.005720378668895261
