,date,count
0,2021-12-06,440742
1,2021-03-29,505156
2,2022-07-06,649736
3,2021-01-01,291965
4,2022-02-11,442958
5,2021-02-17,325301
6,2021-01-18,279750
7,2021-09-21,352400
8,2022-07-14,645623
9,2022-03-08,456429
10,2021-09-03,354167
11,2021-11-14,427479
12,2021-04-21,510084
13,2021-04-06,508171
14,2021-09-06,353038
15,2021-03-11,337796
16,2022-01-03,451568
17,2021-11-16,428637
18,2021-01-12,296642
19,2021-03-10,337292
20,2022-12-11,576535
21,2022-01-01,445329
22,2021-12-14,439598
23,2023-01-22,584476
24,2022-03-30,476732
25,2022-04-24,488260
26,2022-09-12,456635
27,2022-03-02,458344
28,2021-11-15,426772
29,2021-05-16,551256
30,2021-05-19,552909
31,2022-08-23,464926
32,2022-09-16,448034
33,2021-01-05,293211
34,2021-07-24,548599
35,2021-10-22,375855
36,2022-06-28,644931
37,2021-07-20,549687
38,2021-12-22,442411
39,2022-05-16,587500
40,2021-04-03,507555
41,2022-07-18,648204
42,2022-11-18,375059
43,2021-08-10,385659
44,2022-04-10,478063
45,2022-09-29,408639
46,2022-11-09,389478
47,2021-07-19,546109
48,2022-09-30,409146
49,2022-01-15,478927
50,2022-05-18,588116
51,2023-01-03,582778
52,2023-01-29,584909
53,2022-09-02,451099
54,2021-10-12,355266
55,2021-08-31,353827
56,2021-01-21,301758
57,2022-08-16,479823
58,2021-06-08,535334
59,2021-11-07,374560
60,2022-06-20,626390
61,2022-11-03,406415
62,2021-10-16,358910
63,2021-11-09,381186
64,2022-02-21,441195
65,2023-02-11,586498
66,2022-04-01,477211
67,2023-02-04,584275
68,2022-04-29,582991
69,2021-05-27,558236
70,2021-06-09,531862
71,2021-10-27,376865
72,2023-01-18,581598
73,2022-10-02,377512
74,2023-01-16,582277
75,2022-03-19,457186
76,2022-03-09,475736
77,2022-08-27,460298
78,2023-02-02,585593
79,2021-08-22,350755
80,2021-06-22,533793
81,2022-07-17,647160
82,2021-05-20,553039
83,2021-09-08,353178
84,2022-12-14,575841
85,2021-03-27,504600
86,2022-04-25,488530
87,2021-12-05,438609
88,2022-09-08,451640
89,2021-09-10,351581
90,2022-06-27,631929
91,2021-07-29,550745
92,2021-01-31,307756
93,2021-02-24,329540
94,2022-05-05,586754
95,2023-02-22,592962
96,2022-08-13,452909
97,2023-02-10,586214
98,2023-01-30,585274
99,2021-05-11,535005
100,2021-06-21,536423
101,2023-03-20,604110
102,2022-02-25,453956
103,2021-07-11,536463
104,2022-11-29,575108
105,2022-04-21,480753
106,2021-11-03,377253
107,2021-01-19,300771
108,2023-03-26,610936
109,2021-03-18,5676336
110,2021-01-13,296854
111,2022-12-20,577865
112,2021-05-05,533451
113,2022-07-04,646498
114,2023-03-04,606831
115,2022-07-31,436171
116,2022-03-26,451189
117,2022-07-27,646992
118,2022-08-06,438578
119,2022-02-17,440729
120,2023-02-24,604211
121,2022-05-30,599908
122,2023-02-25,604587
123,2023-01-15,581265
124,2021-10-13,355113
125,2022-11-30,573859
126,2022-09-11,455266
127,2021-02-25,330117
128,2021-08-08,377720
129,2021-07-05,542593
130,2021-01-17,299673
131,2023-01-13,579618
132,2021-11-12,376311
133,2021-06-24,528605
134,2022-08-22,457160
135,2021-07-13,543128
136,2021-09-23,352625
137,2021-05-09,534179
138,2022-12-09,577452
139,2023-03-14,607488
140,2022-02-04,481943
141,2023-03-06,606998
142,2021-06-29,537421
143,2021-04-25,509950
144,2021-12-27,465524
145,2023-03-23,611496
146,2022-04-09,478767
147,2022-10-04,553220
148,2021-10-01,353889
149,2022-12-29,582148
150,2022-10-28,405998
151,2021-02-13,323313
152,2022-12-22,578133
153,2021-09-26,352876
154,2022-06-09,620009
155,2021-02-07,311427
156,2021-01-25,304418
157,2023-03-05,607300
158,2021-07-25,548671
159,2022-06-21,629466
160,2021-02-01,308234
161,2022-10-10,385411
162,2022-10-11,398903
163,2023-03-29,611436
164,2021-10-19,359248
165,2023-01-20,580632
166,2021-07-15,545544
167,2022-01-16,479274
168,2023-03-10,602817
169,2022-10-19,404785
170,2021-10-30,377163
171,2023-01-14,579577
172,2022-07-21,648165
173,2022-06-04,604041
174,2022-08-25,477378
175,2021-08-18,366565
176,2021-07-14,546637
177,2022-11-04,406240
178,2021-02-23,328851
179,2022-11-07,391748
180,2023-02-19,592398
181,2022-07-23,646843
182,2022-01-20,480477
183,2022-01-11,486326
184,2022-03-18,448114
185,2022-02-20,438108
186,2022-09-22,414040
187,2021-10-23,375757
188,2022-04-22,480876
189,2022-07-02,646177
190,2023-03-12,606125
191,2022-12-04,575388
192,2022-04-11,478800
193,2023-01-12,579649
194,2022-10-07,557021
195,2022-06-22,629745
196,2021-12-15,441066
197,2022-05-01,585083
198,2021-02-27,331239
199,2022-09-05,444807
200,2022-12-23,579105
201,2022-05-29,600465
202,2022-01-18,479901
203,2022-03-16,448830
204,2021-10-15,358808
205,2021-04-05,507830
206,2022-02-19,439627
207,2022-12-28,582187
208,2022-10-25,407653
209,2022-03-05,455898
210,2021-05-29,557303
211,2023-01-23,584267
212,2021-06-05,527018
213,2021-04-22,510052
214,2021-03-03,333396
215,2021-11-25,427858
216,2021-08-15,387489
217,2022-08-03,439452
218,2021-07-23,547277
219,2022-09-03,458299
220,2022-05-19,588037
221,2022-12-08,576850
222,2021-01-23,302947
223,2021-05-15,550603
224,2021-06-02,528216
225,2023-02-09,586467
226,2021-08-29,353541
227,2022-09-28,408394
228,2022-10-22,404667
229,2022-05-22,593138
230,2023-03-27,611539
231,2022-05-12,586542
232,2021-06-26,532582
233,2022-08-26,469112
234,2021-08-03,549817
235,2022-02-26,455042
236,2021-05-22,554165
237,2021-10-02,353948
238,2022-09-17,447497
239,2021-08-20,345147
240,2022-06-24,627038
241,2021-01-29,306686
242,2022-12-27,581914
243,2021-02-12,321155
244,2021-11-11,376394
245,2021-03-26,504209
246,2022-04-15,479589
247,2021-11-29,433790
248,2022-11-21,374691
249,2022-01-21,480787
250,2022-01-04,506395
251,2022-04-13,479213
252,2023-03-01,606603
253,2022-03-23,448696
254,2021-04-18,509965
255,2021-05-30,527375
256,2022-05-14,587740
257,2022-02-16,439647
258,2021-03-30,505012
259,2022-11-08,391477
260,2021-07-27,546974
261,2022-06-16,624213
262,2022-10-20,405664
263,2022-09-10,455769
264,2022-03-28,451225
265,2021-02-18,325878
266,2022-08-28,455850
267,2021-05-17,554959
268,2022-11-26,572866
269,2022-08-10,458341
270,2022-09-13,451707
271,2021-12-11,441087
272,2021-06-01,525744
273,2021-10-25,375922
274,2022-06-11,616995
275,2022-03-06,456560
276,2022-11-23,374909
277,2022-10-31,405070
278,2022-03-24,449463
279,2021-12-09,437149
280,2021-11-27,433463
281,2022-08-11,447376
282,2021-11-17,427947
283,2022-03-22,448368
284,2021-08-12,385307
285,2021-04-09,508014
286,2022-03-31,477332
287,2022-03-03,439467
288,2022-10-14,406524
289,2022-09-20,433364
290,2022-01-12,480020
