,date,measurements,ok,anomalies,ratio
0,2021-01-03,3936,3758,178,0.04522357723577236
1,2021-01-04,494206,493431,775,0.0015681719768679458
2,2021-01-06,3936,3758,178,0.04522357723577236
3,2021-01-07,452133,451319,814,0.0018003552052161642
4,2021-01-10,3936,3756,180,0.04573170731707317
5,2021-01-11,474199,473398,801,0.0016891642538259255
6,2021-01-13,3936,3757,179,0.045477642276422765
7,2021-01-14,462198,461381,817,0.0017676407080947992
8,2021-01-17,3936,3758,178,0.04522357723577236
9,2021-01-18,481663,480846,817,0.0016962066839263136
10,2021-01-20,3936,3757,179,0.045477642276422765
11,2021-01-21,479005,478147,858,0.001791213035354537
12,2021-01-24,5904,5726,178,0.030149051490514906
13,2021-01-25,472731,471979,752,0.0015907566882645734
14,2021-01-27,5904,5726,178,0.030149051490514906
15,2021-01-28,434261,433484,777,0.0017892465590969486
16,2021-01-31,3936,3758,178,0.04522357723577236
17,2021-02-01,420223,419368,855,0.0020346339919518923
18,2021-02-03,3544,3387,157,0.04430022573363431
19,2021-02-04,475728,474835,893,0.0018771230619177345
20,2021-02-07,5904,5633,271,0.04590108401084011
21,2021-02-08,466916,466132,784,0.0016791028793187639
22,2021-02-10,5904,5633,271,0.04590108401084011
23,2021-02-11,443864,443073,791,0.0017820773930753565
24,2021-02-14,5904,5636,268,0.04539295392953929
25,2021-02-15,461104,460354,750,0.0016265311079496165
26,2021-02-17,5904,5639,265,0.044884823848238484
27,2021-02-18,455195,454375,820,0.0018014257625852657
28,2021-02-21,7872,7603,269,0.034171747967479675
29,2021-02-22,449699,448916,783,0.001741164645685225
30,2021-02-24,7872,7600,272,0.034552845528455285
31,2021-02-25,429257,428471,786,0.0018310708969218907
32,2021-02-28,5904,5635,269,0.04556233062330623
33,2021-03-01,473943,473045,898,0.001894742616728172
34,2021-03-17,2014,2011,3,0.0014895729890764648
35,2021-03-18,462307,461021,1286,0.002781701336990355
36,2021-03-21,10080,9598,482,0.047817460317460314
37,2021-03-22,461845,461023,822,0.0017798179042752438
38,2021-03-24,10070,9589,481,0.0477656405163853
39,2021-03-25,433489,432605,884,0.0020392674323915947
40,2021-03-28,10070,9574,496,0.04925521350546177
41,2021-03-29,462433,461659,774,0.0016737559819476552
42,2021-04-01,443954,443121,833,0.0018763205196934817
43,2021-04-04,10085,9584,501,0.049677739216658405
44,2021-04-05,471402,470539,863,0.0018307092460362918
45,2021-04-06,2329,2320,9,0.0038643194504079004
46,2021-04-07,10070,9569,501,0.04975173783515392
47,2021-04-08,440080,439188,892,0.0020269041992365022
48,2021-04-11,10070,9599,471,0.04677259185700099
49,2021-04-12,473411,472454,957,0.0020214992892011382
50,2021-04-14,10065,9595,470,0.04669647292598112
51,2021-04-15,443214,442256,958,0.002161484068644041
52,2021-04-18,12084,11488,596,0.04932141674942072
53,2021-04-19,465199,464218,981,0.0021087749543743646
54,2021-04-21,12084,11496,588,0.04865938430983118
55,2021-04-22,467309,466433,876,0.0018745626555448321
56,2021-04-25,12102,11522,580,0.04792596265080152
57,2021-04-26,458735,457976,759,0.0016545500125344698
58,2021-04-28,12072,11530,542,0.04489728296885354
59,2021-04-29,467157,466393,764,0.001635424493264577
60,2021-05-02,12078,11514,564,0.04669647292598112
61,2021-05-03,477103,476146,957,0.0020058561778064695
62,2021-05-05,12096,11545,551,0.04555224867724868
63,2021-05-06,472185,471257,928,0.0019653313849444603
64,2021-05-09,16128,15375,753,0.046688988095238096
65,2021-05-10,473802,472939,863,0.0018214359584805468
66,2021-05-12,16104,15408,696,0.043219076005961254
67,2021-05-13,475419,474580,839,0.0017647590861955454
68,2021-05-17,488893,487206,1687,0.0034506528013287163
69,2021-05-20,475931,474361,1570,0.003298797514765796
70,2021-05-23,260634,259809,825,0.003165358318561661
71,2021-05-24,225674,224865,809,0.0035848170369648254
72,2021-05-26,256242,255463,779,0.0030400949102801257
73,2021-05-27,224224,223403,821,0.0036615170543741974
74,2021-05-30,76492,72896,3596,0.04701145217800554
75,2021-06-03,224067,223223,844,0.0037667304868633043
76,2021-06-06,261950,261128,822,0.003138003435770185
77,2021-06-07,222009,221156,853,0.003842186578021612
78,2021-06-09,261035,259903,1132,0.004336583216810006
79,2021-06-10,221698,220853,845,0.0038114913079955615
80,2021-06-13,257838,256980,858,0.003327670863100086
81,2021-06-14,222090,221243,847,0.0038137691926696383
82,2021-06-16,251484,250639,845,0.0033600547152105105
83,2021-06-17,219744,218944,800,0.0036405999708752
84,2021-06-20,253890,253035,855,0.00336760014179369
85,2021-06-21,219635,218799,836,0.0038063150226512166
86,2021-06-23,254016,253126,890,0.003503716301335349
87,2021-06-24,217728,216850,878,0.004032554379776602
88,2021-06-27,254006,253123,883,0.0034762958355314443
89,2021-06-28,215712,214871,841,0.0038987168075953122
90,2021-06-30,251625,250806,819,0.003254843517138599
91,2021-07-01,213443,212632,811,0.0037996092633630525
92,2021-07-04,252000,251143,857,0.003400793650793651
93,2021-07-05,213696,212822,874,0.004089922132374963
94,2021-07-07,249860,249029,831,0.0033258624829904746
95,2021-07-08,213590,212738,852,0.003988950793576479
96,2021-07-11,243593,242715,878,0.0036043728678574506
97,2021-07-12,213378,212556,822,0.0038523184208306385
98,2021-07-14,245342,244525,817,0.0033300454060046793
99,2021-07-15,211155,210329,826,0.003911818332504559
100,2021-07-18,241560,240697,863,0.0035726113594966055
101,2021-07-19,213378,212544,834,0.003908556645952254
102,2021-07-21,243573,242740,833,0.0034199192849782203
103,2021-07-22,213378,212552,826,0.003871064495871177
104,2021-07-25,241800,240946,854,0.0035318444995864353
105,2021-07-26,212817,211987,830,0.0039000643745565437
106,2021-07-28,243694,242846,848,0.0034797738147020443
107,2021-07-29,207442,206631,811,0.003909526518255705
108,2021-08-01,233856,233498,358,0.0015308565955117679
109,2021-08-02,207648,207102,546,0.0026294498381877023
110,2021-08-04,233624,233237,387,0.0016565078930246893
111,2021-08-05,205428,204861,567,0.0027600911268181555
112,2021-08-08,230069,229657,412,0.0017907671176907796
113,2021-08-09,207648,207075,573,0.0027594775774387424
114,2021-08-11,235050,234639,411,0.0017485641352903637
115,2021-08-12,203846,203260,586,0.0028747191507314347
116,2021-08-15,234088,233688,400,0.001708759099142203
117,2021-08-16,207854,207308,546,0.0026268438423123924
118,2021-08-19,439052,438075,977,0.002225248945455208
119,2021-08-22,228405,227986,419,0.001834460716709354
120,2021-08-23,207854,207310,544,0.0026172217036958636
121,2021-08-25,231955,231528,427,0.001840874307516544
122,2021-08-26,207751,207041,710,0.003417552743428431
123,2021-08-29,230052,229563,489,0.002125606384643472
124,2021-08-30,207854,207236,618,0.002973240832507433
125,2021-09-02,205605,205031,574,0.0027917609007563045
126,2021-09-05,229938,229548,390,0.0016961093860084022
127,2021-09-06,205734,205187,547,0.0026587729787006524
128,2021-09-08,227356,226997,359,0.001579021446541987
129,2021-09-09,205224,204687,537,0.002616653023038241
130,2021-09-12,227582,227227,355,0.0015598773189443806
131,2021-09-13,205428,204852,576,0.00280390209708511
132,2021-09-15,223665,223305,360,0.0016095499966467708
133,2021-09-16,199631,199057,574,0.0028753049376098903
134,2021-09-19,221760,221396,364,0.0016414141414141414
135,2021-09-20,205632,205093,539,0.0026211873638344227
136,2021-09-22,221650,221290,360,0.0016241822693435597
137,2021-09-23,204615,204043,572,0.002795493976492437
138,2021-09-26,218207,217820,387,0.0017735453033129094
139,2021-09-27,203717,203159,558,0.0027390939391410633
140,2021-09-29,218520,218104,416,0.0019037159070107999
141,2021-09-30,203616,203077,539,0.002647139713971397
142,2021-10-03,219853,219472,381,0.0017329761249562207
143,2021-10-04,202533,201948,585,0.0028884181837033965
144,2021-10-06,215605,215205,400,0.0018552445444215116
145,2021-10-07,201500,200913,587,0.002913151364764268
146,2021-10-10,217836,217452,384,0.0017627940285352283
147,2021-10-11,198914,198356,558,0.0028052324119971447
148,2021-10-13,215712,214545,1167,0.005409991099243436
149,2021-10-14,183852,183158,694,0.0037747753627918107
150,2021-10-17,218052,217647,405,0.0018573551263001485
151,2021-10-18,195843,195296,547,0.0027930536194809108
152,2021-10-20,217620,217227,393,0.0018059001929969672
153,2021-10-21,191794,191250,544,0.0028363765289842226
154,2021-10-24,213802,213369,433,0.002025238304599583
155,2021-10-25,191615,191072,543,0.0028338073741617305
156,2021-10-27,216774,216320,454,0.002094347108048013
157,2021-10-28,191553,190932,621,0.0032419226010555824
158,2021-10-31,209872,209449,423,0.0020155142181901347
159,2021-11-01,187674,187136,538,0.002866673060732973
160,2021-11-03,207545,207184,361,0.0017393818208099449
161,2021-11-04,187395,186851,544,0.0029029589903679393
162,2021-11-07,209248,208875,373,0.0017825737880409849
163,2021-11-08,184882,184279,603,0.0032615397929490163
164,2021-11-10,208465,208082,383,0.0018372388650372965
165,2021-11-14,213484,213116,368,0.0017237825785538963
166,2021-11-17,211575,211164,411,0.0019425735554767813
167,2021-11-21,215605,215267,338,0.0015676816400361773
168,2021-11-24,213590,213180,410,0.0019195655227304648
169,2021-12-02,395045,393925,1120,0.002835120049614601
170,2021-12-05,211575,211255,320,0.0015124660285950609
171,2021-12-06,183365,182836,529,0.002884956234832165
