,date,measurements,ok,anomalies,ratio
0,2021-01-04,84261,59326,24935,0.29592575450089603
1,2021-01-07,79762,55938,23824,0.2986885985807778
2,2021-01-11,63952,45146,18806,0.29406429822366775
3,2021-01-14,76608,53724,22884,0.29871553884711777
4,2021-01-18,71775,50887,20888,0.29102055033089513
5,2021-01-21,64518,45746,18772,0.2909575622306953
6,2021-01-25,69400,48817,20583,0.2965850144092219
7,2021-01-28,72540,50625,21915,0.3021091811414392
8,2021-02-01,76546,53972,22574,0.2949076372377394
9,2021-02-04,73220,51414,21806,0.2978148046981699
10,2021-02-08,71941,50447,21494,0.2987726053293671
11,2021-02-11,70940,50067,20873,0.29423456442063717
12,2021-02-15,66441,46998,19443,0.2926355714092202
13,2021-02-18,61929,43787,18142,0.2929483763664842
14,2021-02-22,66128,46658,19470,0.2944289862085652
15,2021-02-25,63581,44953,18628,0.2929806074141646
16,2021-03-01,59055,41905,17150,0.29040724748116165
17,2021-03-17,63304,44658,18646,0.2945469480601542
18,2021-03-22,55183,39101,16082,0.2914303318050849
19,2021-03-25,56289,39942,16347,0.2904119810264883
20,2021-03-29,58025,40963,17062,0.2940456699698406
21,2021-04-01,54718,38759,15959,0.2916590518659308
22,2021-04-05,56062,40006,16056,0.28639720309657163
23,2021-04-06,288,122,166,0.5763888888888888
24,2021-04-08,53477,37550,15927,0.29782897320343327
25,2021-04-12,49025,34893,14132,0.2882610912799592
26,2021-04-15,51166,36211,14955,0.2922839385529453
27,2021-04-19,54176,38310,15866,0.29286030714707617
28,2021-04-22,53307,37717,15590,0.2924569005946686
29,2021-04-26,52632,37408,15224,0.2892536859705122
30,2021-04-29,55187,39259,15928,0.28861869643213073
31,2021-05-03,48961,35345,13616,0.2780988950389085
32,2021-05-06,33404,24102,9302,0.2784696443539696
33,2021-05-10,34138,24634,9504,0.2783994375768938
34,2021-05-13,45985,33011,12974,0.2821354789605306
35,2021-05-17,34593,25011,9582,0.27699245512097825
36,2021-05-20,46236,32814,13422,0.2902932779652219
37,2021-05-23,11430,7997,3433,0.30034995625546806
38,2021-05-24,22985,16615,6370,0.2771372634326735
39,2021-05-26,10639,7439,3200,0.30078014851019835
40,2021-05-27,23922,17301,6621,0.27677451718083773
41,2021-06-03,30225,21596,8629,0.2854921422663358
42,2021-06-06,14105,9813,4292,0.3042892591279688
43,2021-06-07,29697,21247,8450,0.2845405259790551
44,2021-06-09,14098,9754,4344,0.30812881259753155
45,2021-06-10,28196,20337,7859,0.2787274790750461
46,2021-06-13,14112,9823,4289,0.30392573696145125
47,2021-06-14,30240,21735,8505,0.28125
48,2021-06-16,14041,9793,4248,0.3025425539491489
49,2021-06-17,30240,21773,8467,0.27999338624338627
50,2021-06-20,14105,9784,4321,0.3063452676355902
51,2021-06-21,30225,21689,8536,0.28241521918941276
52,2021-06-23,16128,11172,4956,0.3072916666666667
53,2021-06-24,28224,19890,8334,0.29528061224489793
54,2021-06-27,16128,11197,4931,0.30574156746031744
55,2021-06-28,29815,21411,8404,0.28187154117055174
56,2021-06-30,16104,11179,4925,0.3058246398410333
57,2021-07-01,30195,21679,8516,0.282033449246564
58,2021-07-04,16128,11254,4874,0.3022073412698413
59,2021-07-05,30240,21765,8475,0.2802579365079365
60,2021-07-07,14105,9724,4381,0.3105990783410138
61,2021-07-08,28210,20275,7935,0.2812832328961361
62,2021-07-11,16104,11209,4895,0.30396174863387976
63,2021-07-12,30195,21650,8545,0.2829938731578076
64,2021-07-14,16088,11143,4945,0.3073719542516161
65,2021-07-15,28154,20263,7891,0.28027988918093344
66,2021-07-18,15295,10662,4633,0.30290944753187315
67,2021-07-19,28182,20238,7944,0.28188205237385566
68,2021-07-21,14091,9728,4363,0.3096302604499326
69,2021-07-22,26169,18829,7340,0.28048454277962476
70,2021-07-25,16120,11148,4972,0.3084367245657568
71,2021-07-26,26195,18885,7310,0.2790608894827257
72,2021-07-28,14098,9855,4243,0.30096467584054476
73,2021-07-29,26182,18933,7249,0.276869605072187
74,2021-08-01,16128,11158,4970,0.3081597222222222
75,2021-08-02,27198,19516,7682,0.28244723876755645
76,2021-08-04,14098,9673,4425,0.31387430841254077
77,2021-08-05,26182,18794,7388,0.28217859598197237
78,2021-08-08,12096,8333,3763,0.31109457671957674
79,2021-08-09,17386,12809,4577,0.26325779362705626
80,2021-08-11,12108,8277,3831,0.316402378592666
81,2021-08-12,24216,17413,6803,0.2809299636603898
82,2021-08-15,12108,8368,3740,0.3088866864882722
83,2021-08-16,24216,17540,6676,0.2756854971919392
84,2021-08-19,34238,24325,9913,0.28953209883754893
85,2021-08-22,12108,8333,3775,0.31177733729765444
86,2021-08-23,24216,17375,6841,0.28249917409976877
87,2021-08-25,12102,8342,3760,0.310692447529334
88,2021-08-26,24204,17472,6732,0.278135845314824
89,2021-08-29,12108,8324,3784,0.3125206475057813
90,2021-08-30,24216,17402,6814,0.28138420878757847
91,2021-09-02,24192,17485,6707,0.27724041005291006
92,2021-09-05,11332,7872,3460,0.30533003882809745
93,2021-09-06,22187,16140,6047,0.27254698697435437
94,2021-09-08,12072,8326,3746,0.31030483764082173
95,2021-09-09,24144,17439,6705,0.27770874751491054
96,2021-09-12,12084,8355,3729,0.3085898709036743
97,2021-09-13,21880,15854,6026,0.27541133455210237
98,2021-09-15,12090,8343,3747,0.3099255583126551
99,2021-09-16,25856,18492,7364,0.2848081683168317
100,2021-09-19,12096,8380,3716,0.3072089947089947
101,2021-09-20,24750,18034,6716,0.27135353535353535
102,2021-09-22,12090,8361,3729,0.3084367245657568
103,2021-09-23,24194,17487,6707,0.27721749194015044
104,2021-09-26,12102,8345,3757,0.3104445546190712
105,2021-09-27,26221,18920,7301,0.27844094428130123
106,2021-09-29,12096,8297,3799,0.3140707671957672
107,2021-09-30,22988,16379,6609,0.28749782495214893
108,2021-10-03,12102,8346,3756,0.31036192364898363
109,2021-10-04,26221,18731,7490,0.2856489073643263
110,2021-10-06,12090,8393,3697,0.30578990901571546
111,2021-10-07,26195,18944,7251,0.2768085512502386
112,2021-10-10,12102,8375,3727,0.3079656255164436
113,2021-10-11,26221,18809,7412,0.2826741924411731
114,2021-10-13,12096,8397,3699,0.30580357142857145
115,2021-10-14,24418,17631,6787,0.2779506921123761
116,2021-10-17,10095,7086,3009,0.29806835066864784
117,2021-10-18,24228,17592,6636,0.2738979692917286
118,2021-10-20,12090,8310,3780,0.31265508684863524
119,2021-10-21,24180,17366,6814,0.28180314309346566
120,2021-10-24,12102,8411,3691,0.30499091059329037
121,2021-10-25,24635,17846,6789,0.2755835193829917
122,2021-10-27,10085,7029,3056,0.30302429350520577
123,2021-10-28,22187,16130,6057,0.2729977013566503
124,2021-10-31,6054,4221,1833,0.30277502477700696
125,2021-11-01,22198,15942,6256,0.28182719163888637
126,2021-11-03,10075,6990,3085,0.3062034739454094
127,2021-11-04,22165,16131,6034,0.27223099481164
128,2021-11-07,10060,7002,3058,0.30397614314115307
129,2021-11-08,24144,17509,6635,0.2748094764744864
130,2021-11-10,10075,6974,3101,0.3077915632754342
131,2021-11-14,10070,6957,3113,0.3091360476663356
132,2021-11-17,10075,6982,3093,0.30699751861042185
133,2021-11-21,8060,5634,2426,0.3009925558312655
134,2021-11-24,10075,6972,3103,0.30799007444168736
135,2021-12-02,26994,19507,7487,0.2773579313921612
136,2021-12-03,1221,728,493,0.4037674037674038
137,2021-12-05,10075,8793,1282,0.12724565756823822
138,2021-12-06,18135,13289,4846,0.2672180865729253
139,2021-12-08,10060,8755,1305,0.12972166998011928
140,2021-12-09,20120,14615,5505,0.2736083499005964
141,2021-12-12,10070,8769,1301,0.1291956305858987
142,2021-12-13,20140,14590,5550,0.275571002979146
143,2021-12-15,4030,2810,1220,0.3027295285359802
144,2021-12-16,24180,16913,7267,0.30053763440860215
