,date,measurements,ok,anomalies,ratio
0,2021-01-04,42315,42106,209,0.004939146874630746
1,2021-01-07,42252,42025,227,0.005372526744296128
2,2021-01-11,38745,38546,199,0.005136146599561233
3,2021-01-14,40320,40114,206,0.005109126984126984
4,2021-01-18,42357,42162,195,0.004603725476308521
5,2021-01-21,42336,42138,198,0.00467687074829932
6,2021-01-25,40340,40138,202,0.005007436787307883
7,2021-01-28,42315,42106,209,0.004939146874630746
8,2021-02-01,38342,38087,255,0.0066506702832403106
9,2021-02-04,36022,35914,108,0.0029981677863527845
10,2021-02-08,42294,41977,317,0.007495152976781576
11,2021-02-11,40280,39931,349,0.008664349553128104
12,2021-02-15,28252,28021,231,0.00817641228939544
13,2021-02-18,30240,30225,15,0.000496031746031746
14,2021-02-22,38304,38092,212,0.005534670008354219
15,2021-02-25,10075,10073,2,0.00019851116625310174
16,2021-03-01,28224,28124,100,0.0035430839002267575
17,2021-03-18,28196,28196,0,0.0
18,2021-03-22,22176,22176,0,0.0
19,2021-03-25,22154,22154,0,0.0
20,2021-03-29,25064,25037,27,0.001077242259814874
21,2021-04-01,26195,26102,93,0.0035502958579881655
22,2021-04-05,18153,18153,0,0.0
23,2021-04-06,90,90,0,0.0
24,2021-04-08,18126,18126,0,0.0
25,2021-04-12,26182,26178,4,0.00015277671682835536
26,2021-04-15,14091,14085,6,0.0004258037044922291
27,2021-04-19,28196,28188,8,0.0002837281883955171
28,2021-04-22,28196,28172,24,0.0008511845651865513
29,2021-04-26,19304,19301,3,0.0001554082055532532
30,2021-04-29,23268,23268,0,0.0
31,2021-05-03,24569,24569,0,0.0
32,2021-05-06,24153,24153,0,0.0
33,2021-05-10,34683,34682,1,2.8832569270247672e-05
34,2021-05-13,35757,35755,2,5.5933104007606904e-05
35,2021-05-17,33634,33631,3,8.919545697805792e-05
36,2021-05-20,34267,34267,0,0.0
37,2021-05-23,22784,22781,3,0.00013167134831460674
38,2021-05-24,6572,6572,0,0.0
39,2021-05-26,22017,22003,14,0.0006358722805105146
40,2021-05-27,8055,8051,4,0.0004965859714463067
41,2021-06-03,8060,8047,13,0.0016129032258064516
42,2021-06-06,22165,22140,25,0.0011279043537108053
43,2021-06-07,6037,6025,12,0.0019877422560874605
44,2021-06-09,24168,24146,22,0.0009102946044356173
45,2021-06-10,8041,8026,15,0.00186543962193757
46,2021-06-13,24192,24191,1,4.1335978835978834e-05
47,2021-06-14,6048,6046,2,0.00033068783068783067
48,2021-06-16,24192,24176,16,0.0006613756613756613
49,2021-06-17,6048,6044,4,0.0006613756613756613
50,2021-06-20,24180,24178,2,8.271298593879239e-05
51,2021-06-21,6045,6044,1,0.00016542597187758478
52,2021-06-23,24192,24187,5,0.00020667989417989417
53,2021-06-24,7141,7126,15,0.002100546141996919
54,2021-06-27,24192,24187,5,0.00020667989417989417
55,2021-06-28,8064,8063,1,0.0001240079365079365
56,2021-06-30,24156,24152,4,0.00016559032952475575
57,2021-07-01,8052,8050,2,0.00024838549428713363
58,2021-07-04,24192,24037,155,0.00640707671957672
59,2021-07-05,6110,6091,19,0.003109656301145663
60,2021-07-07,24180,24158,22,0.0009098428453267163
61,2021-07-08,8060,8048,12,0.001488833746898263
62,2021-07-11,24156,24154,2,8.279516476237788e-05
63,2021-07-12,8052,8045,7,0.0008693492300049677
64,2021-07-14,24132,24125,7,0.00029007127465605835
65,2021-07-15,8044,8044,0,0.0
66,2021-07-18,24156,24154,2,8.279516476237788e-05
67,2021-07-19,8052,8042,10,0.0012419274714356682
68,2021-07-21,24156,24148,8,0.0003311806590495115
