,date,measurements,ok,anomalies,ratio
0,2021-01-03,72816,68174,4642,0.06374972533509118
1,2021-01-04,10734,10077,657,0.061207378423700394
2,2021-01-06,77991,73195,4796,0.06149427498044646
3,2021-01-07,10060,9431,629,0.06252485089463221
4,2021-01-10,77009,72115,4894,0.0635510135179005
5,2021-01-11,14112,13250,862,0.0610827664399093
6,2021-01-13,73098,68462,4636,0.06342170784426386
7,2021-01-14,14112,13232,880,0.06235827664399093
8,2021-01-17,82017,76742,5275,0.06431593450138386
9,2021-01-18,10085,9483,602,0.05969261279127417
10,2021-01-20,83420,78215,5205,0.06239510908654999
11,2021-01-21,10080,9492,588,0.058333333333333334
12,2021-01-24,88560,82861,5699,0.06435185185185185
13,2021-01-25,2017,1895,122,0.06048587010411502
14,2021-01-27,81217,75876,5341,0.06576209414285186
15,2021-01-28,2015,1892,123,0.06104218362282878
16,2021-01-31,73162,68362,4800,0.06560782920095132
17,2021-02-01,12108,11398,710,0.0586389164188966
18,2021-02-03,67189,62784,4405,0.06556132700293203
19,2021-02-04,12084,11347,737,0.06098973849718636
20,2021-02-07,67779,63447,4332,0.0639136015580047
21,2021-02-08,14098,13137,961,0.06816569726202298
22,2021-02-10,67395,63014,4381,0.06500482231619556
23,2021-02-11,14098,13135,963,0.06830756135622074
24,2021-02-14,74784,70337,4447,0.05946459135643988
25,2021-02-15,8072,7585,487,0.06033201189296333
26,2021-02-17,69181,64468,4713,0.06812564143334153
27,2021-02-18,8064,7577,487,0.06039186507936508
28,2021-02-21,68995,64455,4540,0.06580186970070295
29,2021-02-22,10080,9470,610,0.060515873015873016
30,2021-02-24,70848,66175,4673,0.06595810749774164
31,2021-02-25,55,48,7,0.12727272727272726
32,2021-02-28,68880,64357,4523,0.06566492450638792
33,2021-03-01,4032,3787,245,0.06076388888888889
34,2021-03-17,64448,60388,4060,0.06299652432969216
35,2021-03-18,8875,8341,534,0.06016901408450704
36,2021-03-21,73061,68567,4494,0.06151024486388087
37,2021-03-22,4032,3794,238,0.059027777777777776
38,2021-03-24,68541,64360,4181,0.06099998541019244
39,2021-03-25,4028,3790,238,0.05908639523336644
