,date,measurements,ok,anomalies,ratio
0,2021-01-03,1189190,1183826,5364,0.0045106332882045765
1,2021-01-04,26195,26094,101,0.003855697652223707
2,2021-01-06,1197862,1192071,5791,0.004834446705880978
3,2021-01-07,26156,26058,98,0.003746750267625019
4,2021-01-10,1204436,1198449,5987,0.004970791308130942
5,2021-01-11,37272,37203,69,0.0018512556342562781
6,2021-01-13,1181295,1175656,5639,0.004773574763289441
7,2021-01-14,36569,36533,36,0.0009844403729935192
8,2021-01-17,1208582,1202182,6400,0.005295461954588104
9,2021-01-18,20170,20053,117,0.005800694100148736
10,2021-01-20,1194745,1187523,7222,0.006044804539880895
11,2021-01-21,16129,16078,51,0.003162006324012648
12,2021-01-24,1220865,1214795,6070,0.004971884688315252
13,2021-01-25,26221,26094,127,0.004843446092826361
14,2021-01-27,1194450,1189032,5418,0.00453597890242371
15,2021-01-28,24180,24052,128,0.005293631100082713
16,2021-01-31,1209880,1203836,6044,0.004995536747446028
17,2021-02-01,22198,21864,334,0.015046400576628526
18,2021-02-03,1201258,1195882,5376,0.004475308385043013
19,2021-02-04,22154,21804,350,0.01579850139929584
20,2021-02-07,1220005,1214229,5776,0.004734406826201532
21,2021-02-08,18126,18061,65,0.0035860090477766744
22,2021-02-10,1199592,1193473,6119,0.005100900972997486
23,2021-02-11,18126,18062,64,0.0035308396778108795
24,2021-02-14,1233248,1227074,6174,0.005006292327252913
25,2021-02-15,6054,6006,48,0.007928642220019821
26,2021-02-17,1224253,1216775,7478,0.006108214560225705
27,2021-02-18,6048,6002,46,0.007605820105820105
28,2021-02-21,1229007,1223401,5606,0.004561406078240401
29,2021-02-22,24192,24080,112,0.004629629629629629
30,2021-02-24,1212607,1207069,5538,0.00456701965269869
31,2021-02-25,24180,24066,114,0.004714640198511167
32,2021-02-28,1233623,1228263,5360,0.004344925475611269
33,2021-03-01,12096,12039,57,0.004712301587301587
34,2021-03-17,1226956,1219666,7290,0.005941533355719357
35,2021-03-18,16112,15980,132,0.008192651439920555
36,2021-03-21,1244826,1237734,7092,0.005697181774802261
37,2021-03-22,8064,8062,2,0.000248015873015873
38,2021-03-24,1232399,1225089,7310,0.005931520554625572
39,2021-03-25,8056,8054,2,0.00024826216484607745
40,2021-03-28,1234973,1229640,5333,0.004318313031944828
41,2021-03-29,16112,16005,107,0.006641012909632572
42,2021-04-01,16120,16011,109,0.006761786600496278
43,2021-04-04,1217331,1212313,5018,0.004122132764219428
44,2021-04-05,31786,31690,96,0.0030201975712577864
45,2021-04-06,160,158,2,0.0125
46,2021-04-07,1183994,1178954,5040,0.004256778328268556
47,2021-04-08,31082,30998,84,0.0027025287948008493
48,2021-04-11,1234157,1228740,5417,0.0043892308677097
49,2021-04-12,22154,22030,124,0.005597183352893382
50,2021-04-14,1174872,1170100,4772,0.0040617190638639784
51,2021-04-15,20145,20072,73,0.0036237279722015387
52,2021-04-18,1195175,1189468,5707,0.004775032944966218
53,2021-04-19,23024,22950,74,0.0032140375260597638
54,2021-04-21,1198805,1193271,5534,0.004616263695930531
55,2021-04-22,22228,22162,66,0.0029692280007198126
56,2021-04-25,1234424,1228928,5496,0.004452278957635302
57,2021-04-26,13886,13765,121,0.008713812472994383
58,2021-04-28,1223806,1218503,5303,0.004333203138405924
59,2021-04-29,14082,13952,130,0.009231643232495384
60,2021-05-02,1213696,1208603,5093,0.0041962732018561485
61,2021-05-03,16103,16047,56,0.0034776128671676087
62,2021-05-05,1223793,1218579,5214,0.004260524451439092
63,2021-05-06,16125,16068,57,0.0035348837209302326
64,2021-05-09,1214841,1209533,5308,0.004369296064258615
65,2021-05-10,18144,18076,68,0.003747795414462081
66,2021-05-12,1196955,1191809,5146,0.004299242661587111
67,2021-05-13,18117,18053,64,0.0035325936965281226
68,2021-05-16,1226743,1221357,5386,0.0043904876571539435
69,2021-05-17,20150,20099,51,0.002531017369727047
70,2021-05-19,1206488,1201283,5205,0.004314174695479772
71,2021-05-20,20160,20111,49,0.0024305555555555556
72,2021-05-23,630696,627916,2780,0.004407828811344927
73,2021-05-24,624925,621924,3001,0.004802176261151338
74,2021-05-26,630304,627397,2907,0.004612060212215058
75,2021-05-27,625952,622515,3437,0.005490836358059404
76,2021-05-30,805279,801195,4084,0.005071534213607954
77,2021-06-03,613288,609873,3415,0.005568346356035011
78,2021-06-06,636740,633847,2893,0.004543455727612527
79,2021-06-07,624763,621574,3189,0.005104335564045886
80,2021-06-09,636424,633234,3190,0.005012381682651817
81,2021-06-10,622812,619553,3259,0.005232718701630668
82,2021-06-13,626518,623532,2986,0.004766024280228182
83,2021-06-14,613959,610496,3463,0.005640441788458187
84,2021-06-16,627669,624915,2754,0.00438766292424829
85,2021-06-17,606376,603412,2964,0.004888056255524625
86,2021-06-20,578305,574827,3478,0.006014127493277769
87,2021-06-21,574343,571439,2904,0.005056212054469193
88,2021-06-23,580147,577342,2805,0.004834981478832089
89,2021-06-24,577188,574381,2807,0.004863233469857308
90,2021-06-27,582390,579479,2911,0.0049983687906729165
91,2021-06-28,567600,564640,2960,0.0052149400986610285
92,2021-06-30,573622,570769,2853,0.0049736586114200645
93,2021-07-01,579679,576674,3005,0.005183903505215818
94,2021-07-04,577670,575020,2650,0.004587394186992573
95,2021-07-05,579973,577048,2925,0.005043338224365617
96,2021-07-07,571005,568319,2686,0.004703986830237914
97,2021-07-08,579444,575757,3687,0.0063629962515791
98,2021-07-11,581757,578643,3114,0.005352750375156637
99,2021-07-12,578451,575043,3408,0.005891596695312135
100,2021-07-14,583151,580485,2666,0.00457171470168104
101,2021-07-15,576565,573782,2783,0.004826862539349423
102,2021-07-18,585783,582553,3230,0.005513987261494444
103,2021-07-19,577025,573868,3157,0.005471166760538972
104,2021-07-21,583220,579901,3319,0.005690819930729399
105,2021-07-22,577361,573945,3416,0.005916575591354456
106,2021-07-25,578305,574783,3522,0.0060902119123991665
107,2021-07-26,579674,576309,3365,0.0058049869409357675
108,2021-07-28,572698,569313,3385,0.005910619558650458
109,2021-07-29,576704,573248,3456,0.00599267561868827
110,2021-08-01,580651,577485,3166,0.005452500727631572
111,2021-08-02,571881,568376,3505,0.006128897445447567
112,2021-08-04,578061,574682,3379,0.00584540385876231
113,2021-08-05,573982,570652,3330,0.005801575659167012
114,2021-08-08,578635,575667,2968,0.005129312952033665
115,2021-08-09,570879,567423,3456,0.006053822263561981
116,2021-08-11,575185,572261,2924,0.005083581804115197
117,2021-08-12,567254,564104,3150,0.005553067937819742
118,2021-08-15,577191,574495,2696,0.0046708975018668
119,2021-08-16,561612,558692,2920,0.005199319102868172
120,2021-08-19,1148904,1142522,6382,0.005554859239762417
121,2021-08-22,574063,571329,2734,0.004762543483903334
122,2021-08-23,570988,567830,3158,0.005530764219213013
123,2021-08-25,570468,567021,3447,0.006042407286648857
124,2021-08-26,571478,568103,3375,0.005905739153563217
125,2021-08-29,565632,562552,3080,0.005445236478841367
126,2021-08-30,570422,567185,3237,0.005674746065193839
127,2021-09-02,572996,569885,3111,0.005429357273000161
128,2021-09-05,568837,566457,2380,0.004183975374316368
129,2021-09-06,567003,564087,2916,0.005142829932116761
130,2021-09-08,561956,559182,2774,0.004936329534696667
131,2021-09-09,567966,564992,2974,0.005236228929196466
132,2021-09-12,567991,564935,3056,0.005380366942433947
133,2021-09-13,571341,568029,3312,0.005796888373143184
134,2021-09-15,568273,565059,3214,0.005655732368069572
135,2021-09-16,566453,563511,2942,0.005193723044983432
136,2021-09-19,564584,561978,2606,0.004615787907556714
137,2021-09-20,578016,575112,2904,0.005024082378342468
138,2021-09-22,564333,561613,2720,0.004819849273390002
139,2021-09-23,580295,577272,3023,0.005209419347056239
140,2021-09-26,564803,562463,2340,0.004143037483866056
141,2021-09-27,574788,571410,3378,0.005876949414392785
142,2021-09-29,564523,561977,2546,0.004510002249686904
143,2021-09-30,582855,579770,3085,0.005292911616096628
144,2021-10-03,559572,556897,2675,0.004780439335778059
145,2021-10-04,580956,577930,3026,0.005208656077224437
146,2021-10-06,564243,561210,3033,0.0053753436019587306
147,2021-10-07,581365,578106,3259,0.005605772621330833
148,2021-10-10,560769,557797,2972,0.005299865006803158
149,2021-10-11,578509,575902,2607,0.0045064121733629035
150,2021-10-13,559551,549347,10204,0.018236049975784156
151,2021-10-14,557524,552747,4777,0.008568241008458828
152,2021-10-17,559306,556777,2529,0.00452167507589763
153,2021-10-18,567822,565057,2765,0.004869483746667089
154,2021-10-20,552161,549527,2634,0.004770347778999241
155,2021-10-21,569582,566671,2911,0.0051107654385145595
156,2021-10-24,554336,552048,2288,0.00412746060151244
157,2021-10-25,565498,562918,2580,0.004562350353140064
158,2021-10-27,546285,543923,2362,0.004323750423313838
159,2021-10-28,571809,569060,2749,0.004807549374004257
160,2021-10-31,548939,546605,2334,0.00425183854672377
161,2021-11-01,573814,570577,3237,0.005641200807230217
162,2021-11-03,545474,542920,2554,0.004682166336067347
163,2021-11-04,574361,571734,2627,0.004573778512120426
164,2021-11-07,541234,538913,2321,0.00428834847773791
165,2021-11-08,570293,566965,3328,0.005835596789720372
166,2021-11-10,538898,536477,2421,0.004492501363894466
167,2021-11-14,549865,547214,2651,0.004821183381375428
168,2021-11-17,542115,539456,2659,0.004904863359250344
169,2021-11-21,546205,543927,2278,0.004170595289314452
170,2021-11-24,544093,541764,2329,0.004280518220230733
171,2021-12-02,1104948,1099985,4963,0.004491614085006715
172,2021-12-03,44,44,0,0.0
173,2021-12-05,542112,539882,2230,0.004113541113275485
174,2021-12-06,562801,559933,2868,0.005095939772672756
175,2021-12-08,546131,543589,2542,0.004654560902054635
176,2021-12-09,552184,549482,2702,0.004893296437419411
177,2021-12-12,547066,544244,2822,0.005158426953968991
178,2021-12-13,551438,548372,3066,0.005560008559439139
179,2021-12-15,465307,462829,2478,0.005325516272052645
180,2021-12-16,382110,379384,2726,0.007134071340713407
181,2021-12-19,469262,466830,2432,0.0051826058790185444
182,2021-12-20,380646,378164,2482,0.006520494107385865
183,2021-12-22,457556,455084,2472,0.005402617384538723
184,2021-12-23,379838,377292,2546,0.0067028575340013375
185,2021-12-26,466188,463835,2353,0.0050473199653358735
186,2021-12-27,379848,377392,2456,0.006465744192413808
187,2021-12-29,461905,459637,2268,0.004910100561803834
188,2021-12-30,382323,379622,2701,0.007064707067061098
189,2022-01-02,463553,461341,2212,0.004771838387412011
190,2022-01-03,379436,376486,2950,0.0077746971821334825
191,2022-01-05,407462,405068,2394,0.005875394515316766
192,2022-01-06,372405,370001,2404,0.006455337602878587
193,2022-01-09,465465,463150,2315,0.004973521102553361
194,2022-01-10,376001,373453,2548,0.006776577721867761
195,2022-01-12,461287,459097,2190,0.004747586643456243
196,2022-01-13,382264,379369,2895,0.007573300127660465
197,2022-01-16,468477,466056,2421,0.005167809732388143
198,2022-01-17,383040,380403,2637,0.0068843984962406015
199,2022-01-19,466139,463818,2321,0.004979201482819502
200,2022-01-20,381358,378654,2704,0.007090450442890932
201,2022-01-23,469438,467113,2325,0.0049527307120429106
202,2022-01-24,382850,380150,2700,0.007052370380044404
203,2022-01-26,463936,461746,2190,0.004720478686715409
204,2022-01-27,381039,378337,2702,0.007091137652576246
205,2022-01-30,461893,459858,2035,0.0044057822915696924
206,2022-01-31,379196,376713,2483,0.006548064853004779
207,2022-02-02,463980,461771,2209,0.00476098107677055
208,2022-02-03,379200,376635,2565,0.0067642405063291135
209,2022-02-06,464370,462300,2070,0.004457652303120356
210,2022-02-07,381591,378929,2662,0.0069760555149361485
211,2022-02-09,460837,458647,2190,0.004752222586294069
212,2022-02-10,379433,376732,2701,0.007118516312497858
213,2022-02-13,463816,461611,2205,0.004754040395329182
214,2022-02-14,375466,372808,2658,0.007079202910516532
215,2022-02-16,462517,460149,2368,0.005119811812322574
216,2022-02-17,256989,255304,1685,0.006556700870465273
217,2022-02-18,122019,120900,1119,0.009170702923315222
218,2022-02-20,462122,460006,2116,0.004578877439290923
219,2022-02-21,351230,343733,7497,0.021344987614953164
220,2022-02-23,462122,459751,2371,0.005130679777201691
221,2022-02-24,370263,365653,4610,0.012450609431674243
222,2022-02-27,454157,451750,2407,0.005299929319596527
223,2022-02-28,363901,360829,3072,0.008441856438976535
224,2022-03-02,422229,420065,2164,0.00512518088525421
225,2022-03-03,347100,344499,2601,0.00749351771823682
226,2022-03-06,403691,401222,2469,0.006116064019262258
227,2022-03-07,339264,335650,3614,0.010652471231843048
228,2022-03-09,384197,382001,2196,0.005715817666457573
229,2022-03-10,330666,327329,3337,0.010091754217246406
230,2022-03-13,396609,394460,2149,0.005418434780854696
231,2022-03-14,317787,315304,2483,0.007813409610839966
232,2022-03-16,399817,397542,2275,0.005690103222224167
233,2022-03-17,312389,309873,2516,0.008054060802397012
234,2022-03-20,401925,399376,2549,0.006341979224979785
235,2022-03-21,306910,304465,2445,0.007966504838552019
236,2022-03-23,309969,307744,2225,0.007178137168555566
237,2022-03-24,313439,311346,2093,0.006677535341804945
238,2022-03-27,395158,392764,2394,0.006058336159207203
239,2022-03-28,305965,303983,1982,0.0064778651152909645
240,2022-03-30,376272,373861,2411,0.006407598758345027
241,2022-03-31,302540,300401,2139,0.007070139485687843
242,2022-04-03,375395,373178,2217,0.005905779245861027
243,2022-04-04,305292,303509,1783,0.005840310260340919
244,2022-04-06,375629,373389,2240,0.0059633308397381455
245,2022-04-07,310110,307832,2278,0.007345780529489536
246,2022-04-10,361678,359722,1956,0.005408125459663015
247,2022-04-11,311972,310078,1894,0.006071057659020681
248,2022-04-13,362000,360171,1829,0.005052486187845304
249,2022-04-14,305677,303819,1858,0.006078311420224616
250,2022-04-17,357705,355935,1770,0.004948211515075272
251,2022-04-18,306757,304742,2015,0.006568717258285874
252,2022-04-20,353596,351791,1805,0.005104695754476861
253,2022-04-21,309782,307548,2234,0.007211522941939816
254,2022-04-24,28196,27767,429,0.015214924102709604
255,2022-04-25,114798,114356,442,0.003850241293402324
256,2022-04-27,61076,60899,177,0.0028980286855720743
257,2022-04-28,177456,176195,1261,0.007105986836173474
258,2022-04-29,120214,119374,840,0.006987538888981316
259,2022-05-01,352706,350944,1762,0.004995662109518976
260,2022-05-02,304783,302522,2261,0.007418392758126274
261,2022-05-04,353756,351709,2047,0.005786474293015525
262,2022-05-05,301978,299241,2737,0.009063574167654598
263,2022-05-08,78546,77841,705,0.008975632113665878
264,2022-05-09,136975,136272,703,0.005132323416681876
265,2022-05-11,78390,77515,875,0.01116213802780967
