,date,measurements,ok,anomalies,ratio
0,2021-01-03,116133,115660,473,0.004072916397578639
1,2021-01-04,4030,4030,0,0.0
2,2021-01-06,118080,117520,560,0.0047425474254742545
3,2021-01-07,4024,4023,1,0.00024850894632206757
4,2021-01-10,114138,113378,760,0.006658606248576285
5,2021-01-11,22176,21943,233,0.010506854256854256
6,2021-01-13,114144,113584,560,0.004906083543594056
7,2021-01-14,21573,21329,244,0.011310434339220321
8,2021-01-17,131856,130969,887,0.0067270355539376285
9,2021-01-18,625206,616861,8345,0.013347600630832077
10,2021-01-20,127059,126129,930,0.007319434278563502
11,2021-01-21,606853,598651,8202,0.01351562899087588
12,2021-01-24,735996,727973,8023,0.010900874461274246
13,2021-01-25,20170,20058,112,0.005552801189885969
14,2021-01-27,723360,715083,8277,0.011442435301924353
15,2021-01-28,20150,20031,119,0.005905707196029777
16,2021-01-31,722455,713960,8495,0.011758517831560443
17,2021-02-01,22198,21176,1022,0.046040183800342374
18,2021-02-03,687702,679632,8070,0.01173473393999145
19,2021-02-04,22154,21133,1021,0.046086485510517285
20,2021-02-07,734347,725515,8832,0.01202701175329919
21,2021-02-08,22446,22287,159,0.007083667468591286
22,2021-02-10,719854,710646,9208,0.012791482717328792
23,2021-02-11,24168,24010,158,0.006537570340946706
24,2021-02-14,91316,90787,529,0.00579307021770555
25,2021-02-15,2018,2018,0,0.0
26,2021-02-17,91596,91207,389,0.004246910345429932
27,2021-02-18,2016,2013,3,0.001488095238095238
28,2021-02-21,94464,93787,677,0.0071667513550135505
29,2021-02-22,4032,4032,0,0.0
30,2021-02-24,92160,91631,529,0.0057400173611111115
31,2021-02-25,4030,4030,0,0.0
32,2021-02-28,96693,96010,683,0.007063593021211463
33,2021-03-01,18541,18338,203,0.01094870826816245
34,2021-03-17,751387,744045,7342,0.009771263010938438
35,2021-03-18,20140,19839,301,0.014945382323733863
36,2021-03-21,763022,756131,6891,0.0090311943823376
37,2021-03-22,16128,15968,160,0.00992063492063492
38,2021-03-24,742489,735495,6994,0.009419668170168177
39,2021-03-25,16112,15943,169,0.010489076464746772
40,2021-03-28,739471,732483,6988,0.009449998715297827
41,2021-03-29,17172,16925,247,0.014383880736081994
42,2021-04-01,14213,14012,201,0.01414198269190178
43,2021-04-04,754313,746229,8084,0.010717036561745589
44,2021-04-05,20170,20093,77,0.003817550818046604
45,2021-04-06,100,97,3,0.03
46,2021-04-07,729027,721753,7274,0.009977682582400926
47,2021-04-08,20140,20061,79,0.003922542204568024
48,2021-04-11,735567,727934,7633,0.010377028877043152
49,2021-04-12,40280,38746,1534,0.03808341608738828
50,2021-04-14,709465,702565,6900,0.009725638333110161
51,2021-04-15,38247,36839,1408,0.03681334483750359
52,2021-04-18,118826,118180,646,0.005436520626798848
53,2021-04-19,2014,2014,0,0.0
54,2021-04-21,117843,117178,665,0.005643101414593994
55,2021-04-22,2014,2014,0,0.0
56,2021-04-25,112234,111801,433,0.003858010941425949
57,2021-04-26,629130,622544,6586,0.010468424649913372
58,2021-04-28,110674,110262,412,0.0037226448849775017
59,2021-04-29,624183,617656,6527,0.010456869219443657
60,2021-05-02,705815,699687,6128,0.008682161756267577
61,2021-05-03,18110,17851,259,0.014301490889011595
62,2021-05-05,703088,697222,5866,0.008343194592995472
63,2021-05-06,18138,17892,246,0.013562686073436983
64,2021-05-09,82745,82643,102,0.0012327028823493867
65,2021-05-10,2015,2015,0,0.0
66,2021-05-12,83559,83455,104,0.0012446295431970224
67,2021-05-13,2013,2013,0,0.0
68,2021-05-16,82574,82448,126,0.001525904037590525
69,2021-05-17,612227,604847,7380,0.012054352388901502
70,2021-05-19,82639,82533,106,0.0012826873510086037
71,2021-05-20,598939,591605,7334,0.01224498655121807
72,2021-05-23,376827,373247,3580,0.00950038081135375
73,2021-05-24,307591,304150,3441,0.011186933297788297
74,2021-05-26,372225,368599,3626,0.009741419840150447
75,2021-05-27,300546,296972,3574,0.011891690456702136
76,2021-05-30,381927,378723,3204,0.008389037695685301
77,2021-06-03,305677,301832,3845,0.01257863692721402
78,2021-06-06,373250,369656,3594,0.009628935030140657
79,2021-06-07,315304,311018,4286,0.013593230659934539
80,2021-06-09,370143,366321,3822,0.010325738971154392
81,2021-06-10,315932,311403,4529,0.014335363306027879
82,2021-06-13,375076,371437,3639,0.009702033721165845
83,2021-06-14,308914,304690,4224,0.013673708540240973
84,2021-06-16,375081,370566,4515,0.012037399921616931
85,2021-06-17,301684,297589,4095,0.01357380570398165
86,2021-06-20,374901,371281,3620,0.00965588248630972
87,2021-06-21,310131,306204,3927,0.012662391054102943
88,2021-06-23,373593,369821,3772,0.010096548918207783
89,2021-06-24,305483,301520,3963,0.012972898655571668
90,2021-06-27,375357,370581,4776,0.012723886859709557
91,2021-06-28,301735,297746,3989,0.013220209786733392
92,2021-06-30,378444,374540,3904,0.010315925209542231
93,2021-07-01,305191,301101,4090,0.013401443686085108
94,2021-07-04,376992,373142,3850,0.010212418300653595
95,2021-07-05,307324,303337,3987,0.012973279014980932
96,2021-07-07,373266,369406,3860,0.010341150814700509
97,2021-07-08,309695,304319,5376,0.01735901451428018
98,2021-07-11,372823,369267,3556,0.009538038157517106
99,2021-07-12,311076,306847,4229,0.013594748550193521
100,2021-07-14,375042,371316,3726,0.009934887292623226
101,2021-07-15,306514,302374,4140,0.0135067239995563
102,2021-07-18,377907,374033,3874,0.010251199369156963
103,2021-07-19,311193,306683,4510,0.014492613908410536
104,2021-07-21,371926,368049,3877,0.010424116625350205
105,2021-07-22,308579,304055,4524,0.014660751379711517
106,2021-07-25,372775,368895,3880,0.010408423311649118
107,2021-07-26,306905,302447,4458,0.014525667551848292
108,2021-07-28,377995,374105,3890,0.010291141417214513
109,2021-07-29,304323,300348,3975,0.013061779753748485
110,2021-08-01,375922,372056,3866,0.010284048286612649
111,2021-08-02,308448,304053,4395,0.014248755057578588
112,2021-08-04,372144,368188,3956,0.010630293649769982
113,2021-08-05,306838,302271,4567,0.014884075636003363
114,2021-08-08,371236,367528,3708,0.009988255449363747
115,2021-08-09,304666,300318,4348,0.014271366020494574
116,2021-08-11,366054,362368,3686,0.010069552579674037
117,2021-08-12,306793,302143,4650,0.015156799535843386
118,2021-08-15,365258,361839,3419,0.009360506819836937
119,2021-08-16,304844,301181,3663,0.012015981944863603
120,2021-08-19,666863,658704,8159,0.012234896822885661
121,2021-08-22,360164,356609,3555,0.009870503437322996
122,2021-08-23,312612,308338,4274,0.01367189999104321
123,2021-08-25,356594,352664,3930,0.011020936975944631
124,2021-08-26,306584,302421,4163,0.01357866033452496
125,2021-08-29,351398,347660,3738,0.010637510742804456
126,2021-08-30,304718,300751,3967,0.013018594241232877
127,2021-09-02,300646,296624,4022,0.01337785967549876
128,2021-09-05,344510,340885,3625,0.010522190937853764
129,2021-09-06,300533,296131,4402,0.014647309945995947
130,2021-09-08,350579,347040,3539,0.010094729005445278
131,2021-09-09,300202,295993,4209,0.014020559489943438
132,2021-09-12,352735,349121,3614,0.010245651834946915
133,2021-09-13,297120,293116,4004,0.0134760366182014
134,2021-09-15,349203,345416,3787,0.010844694919574002
135,2021-09-16,298220,293855,4365,0.014636845282006572
136,2021-09-19,355107,351475,3632,0.010227903139053862
137,2021-09-20,302400,298398,4002,0.013234126984126984
138,2021-09-22,354567,350797,3770,0.010632687193111598
139,2021-09-23,303076,298591,4485,0.014798268421122095
140,2021-09-26,357114,353364,3750,0.01050084846855626
141,2021-09-27,299379,295030,4349,0.01452673701228209
142,2021-09-29,350965,346930,4035,0.011496872907554884
143,2021-09-30,302400,297767,4633,0.015320767195767197
144,2021-10-03,359026,355294,3732,0.010394790349445444
145,2021-10-04,300713,296144,4569,0.015193889190025041
146,2021-10-06,350644,346926,3718,0.010603346984405836
147,2021-10-07,298220,294115,4105,0.013765005700489571
148,2021-10-10,352975,349339,3636,0.010301012819604789
149,2021-10-11,302104,297038,5066,0.016769059661573497
150,2021-10-13,349766,342773,6993,0.019993366993933087
151,2021-10-14,258048,253846,4202,0.016283792162698412
152,2021-10-17,353300,349581,3719,0.010526464760826493
153,2021-10-18,304463,299969,4494,0.014760414237526399
154,2021-10-20,351656,347378,4278,0.012165297904770571
155,2021-10-21,301749,297292,4457,0.014770554334894234
156,2021-10-24,351047,347557,3490,0.00994168871974408
157,2021-10-25,302550,298175,4375,0.014460419765328044
158,2021-10-27,353374,348941,4433,0.012544782581627398
159,2021-10-28,296244,292395,3849,0.012992668205938349
160,2021-10-31,355817,351109,4708,0.013231520697437165
161,2021-11-01,300682,296749,3933,0.013080264199386727
162,2021-11-03,348645,345023,3622,0.010388790890447303
163,2021-11-04,299181,294530,4651,0.015545773294427119
164,2021-11-07,348839,345242,3597,0.010311347068418382
165,2021-11-08,304853,299407,5446,0.017864347734809893
166,2021-11-10,344944,341321,3623,0.01050315413516397
167,2021-11-14,338789,335243,3546,0.010466691657639415
168,2021-11-17,333192,329761,3431,0.010297366083219284
169,2021-11-21,334944,331484,3460,0.010330085029139199
170,2021-11-24,334531,331122,3409,0.010190385943305702
171,2021-12-02,649663,643329,6334,0.009749670213633838
172,2021-12-03,188,173,15,0.0797872340425532
173,2021-12-05,340535,337820,2715,0.007972748762975906
174,2021-12-06,294356,289950,4406,0.014968269714223593
175,2021-12-08,317896,314312,3584,0.011274127387573295
176,2021-12-09,307316,303695,3621,0.011782660193416549
177,2021-12-12,336338,333332,3006,0.00893743793445879
178,2021-12-13,306323,302517,3806,0.012424793436992978
179,2021-12-15,224087,222036,2051,0.009152695158576803
180,2021-12-16,222622,216619,6003,0.026964989983020545
181,2021-12-19,227595,225868,1727,0.0075880401590544605
182,2021-12-20,222561,216384,6177,0.027754188739266987
183,2021-12-22,228665,226843,1822,0.007967988104869568
184,2021-12-23,224322,218492,5830,0.025989425914533574
185,2021-12-26,229710,227906,1804,0.007853380349135866
186,2021-12-27,221650,215885,5765,0.02600947439657117
187,2021-12-29,224943,223150,1793,0.007970908185629249
188,2021-12-30,222624,216732,5892,0.026466149202242346
189,2022-01-02,229596,227699,1897,0.008262339065140508
190,2022-01-03,220292,214383,5909,0.02682348882392461
191,2022-01-05,222082,220206,1876,0.008447330265397466
192,2022-01-06,222274,216318,5956,0.02679575658871483
193,2022-01-09,227695,225928,1767,0.007760381211708646
194,2022-01-10,220639,214764,5875,0.026627205525768336
195,2022-01-12,216031,214279,1752,0.00810994718350607
196,2022-01-13,221650,215490,6160,0.027791563275434243
197,2022-01-16,225792,224004,1788,0.007918792517006803
198,2022-01-17,219313,213533,5780,0.026355026833794624
199,2022-01-19,215534,213809,1725,0.008003377657353363
200,2022-01-20,220803,214733,6070,0.027490568515826326
201,2022-01-23,217810,216302,1508,0.006923465405628759
202,2022-01-24,222643,216820,5823,0.026153977443710334
203,2022-01-26,218407,216840,1567,0.007174678467265243
204,2022-01-27,222976,217371,5605,0.025137234500574052
205,2022-01-30,218404,216917,1487,0.006808483361110602
206,2022-01-31,223887,218286,5601,0.025017084511382976
207,2022-02-02,214114,212409,1705,0.007963047722241422
208,2022-02-03,223443,217775,5668,0.025366648317467988
209,2022-02-06,220209,218379,1830,0.008310287045488604
210,2022-02-07,222618,216967,5651,0.025384290578479726
211,2022-02-09,218209,216466,1743,0.007987754858873831
212,2022-02-10,217620,212027,5593,0.02570076279753699
213,2022-02-13,214050,212454,1596,0.007456201822004204
214,2022-02-14,215743,210320,5423,0.0251363891296589
215,2022-02-16,217782,216093,1689,0.007755461883902251
216,2022-02-17,147299,144056,3243,0.02201644274570771
217,2022-02-18,74737,72402,2335,0.031242891740369563
218,2022-02-20,215220,213630,1590,0.007387789238918316
219,2022-02-21,219962,214606,5356,0.024349660395886562
220,2022-02-23,211985,210250,1735,0.008184541359058424
221,2022-02-24,218252,212802,5450,0.02497113428513828
222,2022-02-27,212452,210361,2091,0.009842223184531094
223,2022-02-28,220327,214880,5447,0.024722344515197864
224,2022-03-02,205343,203382,1961,0.009549875087049473
225,2022-03-03,223332,217152,6180,0.027671806995862663
226,2022-03-06,211365,209122,2243,0.010611974546400777
227,2022-03-07,221430,215280,6150,0.02777401436119767
228,2022-03-09,213571,211375,2196,0.010282294880859293
229,2022-03-10,218447,212258,6189,0.028331815039803705
230,2022-03-13,211890,209709,2181,0.01029307659634716
231,2022-03-14,215021,209382,5639,0.02622534543137647
232,2022-03-16,207545,205552,1993,0.009602736755884266
233,2022-03-17,219555,213433,6122,0.02788367379472114
234,2022-03-20,213590,211469,2121,0.009930240179783698
235,2022-03-21,215989,210194,5795,0.02683007004986365
236,2022-03-23,210054,208036,2018,0.009607053424357546
237,2022-03-24,217861,211707,6154,0.02824736873511092
238,2022-03-27,211575,209467,2108,0.009963369963369963
239,2022-03-28,218760,212517,6243,0.02853812397147559
240,2022-03-30,211993,209845,2148,0.01013241003240673
241,2022-03-31,217535,211635,5900,0.027122072310202954
242,2022-04-03,212718,210703,2015,0.009472635131958744
243,2022-04-04,217043,210967,6076,0.027994452712135385
244,2022-04-06,209541,207515,2026,0.009668752177378174
245,2022-04-07,211149,205429,5720,0.027089874922448128
246,2022-04-10,213484,211390,2094,0.009808697607314834
247,2022-04-11,213320,207021,6299,0.029528408025501593
248,2022-04-13,210071,208045,2026,0.009644358335991164
249,2022-04-14,215816,209703,6113,0.028325054676205656
250,2022-04-17,213696,211474,2222,0.01039794848757113
251,2022-04-18,215065,209030,6035,0.028061283797921558
252,2022-04-20,215391,213225,2166,0.010056130478989372
253,2022-04-21,217404,210993,6411,0.029488877849533586
254,2022-04-24,171190,163177,8013,0.046807640633214555
255,2022-04-25,36252,34550,1702,0.046949133840891534
256,2022-04-27,168924,161246,7678,0.045452392792024815
257,2022-04-28,129005,126006,2999,0.023247160962753383
258,2022-04-29,92022,88788,3234,0.03514376996805112
259,2022-05-01,211470,209262,2208,0.01044119733295503
260,2022-05-02,217512,211754,5758,0.026472102688587296
261,2022-05-04,207545,205619,1926,0.009279915199113446
262,2022-05-05,217642,211391,6251,0.02872147839111936
263,2022-05-08,195358,187727,7631,0.03906162020495706
264,2022-05-09,73582,72095,1487,0.020208746704357045
265,2022-05-11,196980,189347,7633,0.03875012691643822
266,2022-05-12,76380,74777,1603,0.020987169416077506
267,2022-05-15,198495,190573,7922,0.03991032519710824
268,2022-05-16,74928,73420,1508,0.020125987614776852
269,2022-05-18,196294,188490,7804,0.03975669149337219
270,2022-05-19,73222,71744,1478,0.02018519024336948
271,2022-05-22,196294,188394,7900,0.04024575381825221
272,2022-05-23,72108,70632,1476,0.020469296055916127
273,2022-05-25,196294,188498,7796,0.03971593629963219
274,2022-05-26,70105,68717,1388,0.019798873118893088
275,2022-05-29,194291,186290,8001,0.041180497295294174
276,2022-05-30,94063,92223,1840,0.019561357813380396
277,2022-06-01,168252,160974,7278,0.04325654375579488
278,2022-06-02,94141,92289,1852,0.019672618731477253
279,2022-06-05,168252,160783,7469,0.04439174571476119
280,2022-06-06,94141,92319,1822,0.0193539478017017
281,2022-06-08,168252,160913,7339,0.04361909516677365
282,2022-06-09,92138,90348,1790,0.01942738066812824
283,2022-06-12,168084,160615,7469,0.044436115275695486
284,2022-06-13,90616,88835,1781,0.019654365674935993
285,2022-06-15,168252,160903,7349,0.043678529824311155
286,2022-06-16,94141,92298,1843,0.019577017452544587
287,2022-06-19,168168,160670,7498,0.04458636601493744
288,2022-06-20,91330,89533,1797,0.01967590058031315
289,2022-06-22,168168,160914,7254,0.04313543599257885
290,2022-06-23,90090,88256,1834,0.02035742035742036
291,2022-06-26,169428,161897,7531,0.044449559694973675
292,2022-06-27,87354,85509,1845,0.021120956109622915
