,date,measurements,ok,anomalies,ratio
0,2021-01-01,6336,6138,198,0.03125
1,2021-01-04,124336,120884,3452,0.027763479603654613
2,2021-01-05,22560,21949,611,0.027083333333333334
3,2021-01-07,132171,128548,3623,0.027411459397295928
4,2021-01-08,21708,21083,625,0.02879122903998526
5,2021-01-11,125310,121929,3381,0.026981086904476898
6,2021-01-14,780,755,25,0.03205128205128205
7,2021-01-15,9300,8912,388,0.04172043010752688
8,2021-01-18,134759,131076,3683,0.02733027107651437
9,2021-01-19,21606,21013,593,0.02744607979265019
10,2021-01-21,132419,128771,3648,0.027548916696244496
11,2021-01-22,18254,17734,520,0.02848690697929221
12,2021-01-25,136760,133299,3461,0.025307107341327875
13,2021-01-26,8812,8487,325,0.03688152519291875
14,2021-01-28,133901,130366,3535,0.026400101567576044
15,2021-01-29,9145,8793,352,0.03849097867687261
16,2021-02-01,130305,127020,3285,0.025210084033613446
17,2021-02-04,132648,129322,3326,0.02507387974187323
18,2021-02-05,16086,15287,799,0.04967052094989432
19,2021-02-08,127925,124626,3299,0.02578854797733047
20,2021-02-09,14990,14219,771,0.0514342895263509
21,2021-02-10,1122,1063,59,0.05258467023172905
22,2021-02-11,131862,128444,3418,0.025921038661631098
23,2021-02-12,12253,11695,558,0.04553986778748062
24,2021-02-13,1845,1768,77,0.04173441734417344
25,2021-02-15,137964,134157,3807,0.02759415499695573
26,2021-02-16,11639,11127,512,0.043990033508033335
27,2021-02-18,145510,141279,4231,0.029077039378736857
28,2021-02-19,16278,15849,429,0.026354589015849614
29,2021-02-22,138276,134356,3920,0.02834909890364199
30,2021-02-23,8143,7689,454,0.05575340783495027
31,2021-02-24,21,21,0,0.0
32,2021-02-25,144045,139956,4089,0.028386962407580964
33,2021-02-26,8476,7998,478,0.056394525719679095
34,2021-03-01,137108,133129,3979,0.029020917816611723
35,2021-03-02,15181,14607,574,0.037810420920887954
36,2021-03-18,132928,129122,3806,0.028632041405873856
37,2021-03-19,20948,20250,698,0.03332060339889249
38,2021-03-20,659,622,37,0.05614567526555387
39,2021-03-22,142538,138514,4024,0.028231068206373038
40,2021-03-23,4032,3861,171,0.04241071428571429
41,2021-03-25,139342,135423,3919,0.02812504485366939
42,2021-03-26,4028,3855,173,0.0429493545183714
43,2021-03-29,116811,114085,2726,0.0233368432767462
44,2021-03-30,10104,9852,252,0.02494061757719715
45,2021-03-31,910,865,45,0.04945054945054945
46,2021-04-02,9910,9714,196,0.01977800201816347
47,2021-04-03,176,173,3,0.017045454545454544
48,2021-04-05,115955,113013,2942,0.025371911517398992
49,2021-04-06,19816,18859,957,0.04829430763019782
50,2021-04-07,354,337,17,0.0480225988700565
51,2021-04-08,115958,113027,2931,0.02527639317683989
52,2021-04-09,17899,17042,857,0.04787976981954299
53,2021-04-10,103,90,13,0.1262135922330097
54,2021-04-12,128478,124696,3782,0.02943694640327527
55,2021-04-13,15588,15102,486,0.03117782909930716
56,2021-04-15,133093,129061,4032,0.030294606027364324
57,2021-04-16,14973,14405,568,0.03793494957590329
58,2021-04-19,132588,128638,3950,0.029791534678854797
59,2021-04-20,6881,6746,135,0.019619241389332947
60,2021-04-22,136614,132047,4567,0.03342995593423807
61,2021-04-23,6698,6565,133,0.019856673633920574
62,2021-04-26,121336,118218,3118,0.025697237423353333
63,2021-04-27,397,337,60,0.15113350125944586
64,2021-04-29,112670,110046,2624,0.023289251797284104
65,2021-04-30,277,231,46,0.16606498194945848
66,2021-05-03,91473,89528,1945,0.021263104959933533
67,2021-05-06,123344,120180,3164,0.025651835516928265
68,2021-05-09,54549,53563,986,0.018075491759702286
69,2021-05-10,90307,87392,2915,0.03227878237567409
70,2021-05-13,142759,138402,4357,0.03051996721747841
71,2021-05-17,142961,138633,4328,0.030273990808682087
72,2021-05-18,135,112,23,0.17037037037037037
73,2021-05-20,134600,130210,4390,0.03261515601783061
74,2021-05-21,146,123,23,0.15753424657534246
75,2021-05-24,44018,42926,1092,0.024808033077377438
76,2021-05-25,88479,85488,2991,0.03380463160750009
77,2021-05-27,49333,48025,1308,0.02651369266008554
78,2021-05-28,88049,85221,2828,0.03211847948301514
79,2021-06-04,75526,72633,2893,0.03830468977570638
80,2021-06-07,48510,46866,1644,0.033889919604205315
81,2021-06-08,69508,67229,2279,0.03278759279507395
82,2021-06-10,50363,48780,1583,0.03143180509501023
83,2021-06-11,87995,85089,2906,0.03302460367066311
84,2021-06-14,47008,45477,1531,0.032568924438393466
85,2021-06-15,72600,70033,2567,0.03535812672176308
86,2021-06-17,46381,45039,1342,0.02893426187447446
87,2021-06-18,66528,64347,2181,0.03278318903318903
88,2021-06-21,31480,30523,957,0.030400254129606098
89,2021-06-22,86717,83772,2945,0.0339610457003817
90,2021-06-24,41298,39974,1324,0.03205966390624243
91,2021-06-25,83152,80425,2727,0.03279536270925534
92,2021-06-28,45581,44060,1521,0.03336916697746868
93,2021-06-29,87901,84898,3003,0.034163433863095984
94,2021-07-01,37637,36487,1150,0.03055503892446263
95,2021-07-02,88572,85311,3261,0.0368175044031974
96,2021-07-05,36301,34834,1467,0.04041210985923253
97,2021-07-06,91930,88539,3391,0.03688676166648537
98,2021-07-07,3668,3534,134,0.03653217011995638
99,2021-07-08,37711,36532,1179,0.031264087401553925
100,2021-07-09,76570,73751,2819,0.03681598537286143
101,2021-07-12,36247,35006,1241,0.03423731619168483
102,2021-07-13,80105,77193,2912,0.036352287622495476
103,2021-07-15,40788,39324,1464,0.03589290967931744
104,2021-07-16,62352,60277,2075,0.03327880420836541
105,2021-07-19,32221,31070,1151,0.03572204462927904
106,2021-07-22,34234,33162,1072,0.0313138984635158
107,2021-07-23,76679,73787,2892,0.03771567182670614
108,2021-07-26,23230,22326,904,0.03891519586741283
109,2021-07-27,66474,63848,2626,0.03950416704275356
110,2021-07-29,40609,39468,1141,0.02809721982811692
111,2021-07-30,67935,65440,2495,0.03672628247589608
