,date,measurements,ok,anomalies,ratio
0,2021-01-01,960399,955251,5148,0.005360272136893104
1,2021-01-04,284813,283409,1404,0.004929550266315091
2,2021-01-05,998475,993202,5273,0.005281053606750294
3,2021-01-07,295972,294132,1840,0.0062168042922979205
4,2021-01-08,993815,986930,6885,0.0069278487444846375
5,2021-01-11,960047,955568,4479,0.004665396589958616
6,2021-01-12,277836,276189,1647,0.005927957500107978
7,2021-01-14,4460,4451,9,0.002017937219730942
8,2021-01-15,27796,27742,54,0.0019427255720247517
9,2021-01-18,275714,274363,1351,0.004900005077725469
10,2021-01-19,956183,951229,4954,0.0051810166045620975
11,2021-01-21,290931,289508,1423,0.004891194131941938
12,2021-01-22,956844,951845,4999,0.005224467102265364
13,2021-01-25,856166,851628,4538,0.005300373992893901
14,2021-01-26,299543,297722,1821,0.006079260740528071
15,2021-01-28,852370,847295,5075,0.005953987118270235
16,2021-01-29,133225,132332,893,0.006702946143741791
17,2021-02-01,279470,278069,1401,0.005013060435824954
18,2021-02-02,864386,860075,4311,0.004987355186224673
19,2021-02-04,287589,286305,1284,0.0044647048391976045
20,2021-02-05,877153,872946,4207,0.004796198610732677
21,2021-02-08,309154,307559,1595,0.005159241025508323
22,2021-02-09,922151,916837,5314,0.005762613715107396
23,2021-02-11,315088,313299,1789,0.005677778906210329
24,2021-02-12,904073,899143,4930,0.0054530994731620125
25,2021-02-15,292854,291223,1631,0.005569328061081631
26,2021-02-16,858452,853757,4695,0.005469146789803041
27,2021-02-18,286499,284586,1913,0.006677161176827842
28,2021-02-19,931823,925851,5972,0.006408942470834053
29,2021-02-22,310975,309053,1922,0.006180561138355173
30,2021-02-23,953457,947524,5933,0.0062226193735008505
31,2021-02-25,332556,330272,2284,0.006868016213810607
32,2021-02-26,908857,902954,5903,0.006494971156078459
33,2021-03-01,285226,283391,1835,0.0064334948426861506
34,2021-03-02,935196,929399,5797,0.006198700593244625
35,2021-03-18,242339,241093,1246,0.005141557900296692
36,2021-03-19,1018968,1014416,4552,0.004467264919016102
37,2021-03-22,179848,179031,817,0.004542724967750545
38,2021-03-23,1017333,1012838,4495,0.004418415602364221
39,2021-03-25,205420,203839,1581,0.007696426832830299
40,2021-03-26,917015,901319,15696,0.017116404857063408
41,2021-03-29,188050,186720,1330,0.007072587077904813
