,ok,dns,http,tls,error,date,total
2,1,1,0,0,0,2021-01-01,2
3,9,2,0,0,1,2021-01-02,11
4,1,1,1,1,0,2021-01-03,4
5,3,1,0,0,0,2021-01-04,4
6,4,2,0,1,0,2021-01-05,7
7,1,3,0,0,2,2021-01-06,4
8,19,4,1,0,1,2021-01-07,24
9,6,0,3,1,2,2021-01-09,10
10,3,1,0,1,0,2021-01-10,5
11,15,0,0,5,1,2021-01-13,20
12,14,6,0,0,0,2021-01-18,20
13,46,21,7,3,0,2021-01-20,77
14,421,169,49,9,26,2021-01-21,648
15,20,14,0,0,0,2021-01-22,34
16,3,2,2,0,4,2021-01-23,7
17,39,5,1,0,4,2021-01-24,45
18,190,66,21,9,16,2021-01-25,286
19,142,77,17,5,8,2021-01-26,241
20,0,1,0,0,1,2021-01-27,1
21,18,1,0,0,1,2021-01-28,19
22,5,3,0,0,1,2021-02-01,8
23,13,2,1,0,0,2021-02-02,16
24,9,2,0,0,0,2021-02-03,11
25,6,3,0,0,1,2021-02-05,9
26,1002,456,102,33,63,2021-02-07,1593
27,16,11,2,1,1,2021-02-08,30
28,20,10,2,0,0,2021-02-09,32
29,29,20,5,1,1,2021-02-10,55
30,76,23,14,7,2,2021-02-11,120
31,38,16,6,1,2,2021-02-12,61
32,1219,586,112,46,75,2021-02-13,1963
33,35,17,7,3,1,2021-02-14,62
34,314,28,15,9,19,2021-02-15,366
35,69,27,7,6,11,2021-02-16,109
36,51,25,6,8,1,2021-02-17,90
37,31,15,4,3,3,2021-02-18,53
38,44,11,8,5,1,2021-02-19,68
39,24,14,3,1,0,2021-02-20,42
40,28,8,3,1,0,2021-02-21,40
41,12,3,1,1,0,2021-02-22,17
42,28,12,5,0,1,2021-02-23,45
43,21,2,4,0,2,2021-02-24,27
44,16,7,5,3,0,2021-02-25,31
45,16,3,3,4,2,2021-02-26,26
46,20,14,3,0,1,2021-02-27,37
47,6,0,0,2,0,2021-03-01,8
48,23,7,3,0,4,2021-03-02,33
49,6,7,1,1,0,2021-03-03,15
50,15,4,2,0,1,2021-03-04,21
51,53,14,6,5,2,2021-03-05,78
52,14,6,1,3,0,2021-03-06,24
53,25,9,3,3,2,2021-03-07,40
54,13,7,4,0,0,2021-03-08,24
55,43,16,4,4,4,2021-03-09,67
56,53,19,7,1,3,2021-03-10,80
57,37,7,3,1,3,2021-03-11,48
58,27,11,3,3,1,2021-03-12,44
59,51,6,2,5,1,2021-03-13,64
60,16,6,0,1,0,2021-03-14,23
