,ok,dns,http,tls,error,date,total
3,521,182,189,90,56,2021-01-01,982
4,150,25,39,9,14,2021-01-02,223
5,1135,270,257,83,110,2021-01-03,1745
6,673,139,188,31,73,2021-01-04,1031
7,494,148,58,53,37,2021-01-05,753
8,46,13,17,13,2,2021-01-06,89
9,51,14,7,2,3,2021-01-07,74
10,45,14,9,5,5,2021-01-08,73
11,58,28,16,10,5,2021-01-09,112
12,78,18,28,29,2,2021-01-10,153
13,90,11,3,27,1,2021-01-11,131
14,486,104,10,142,147,2021-01-12,742
15,70,27,6,22,1,2021-01-13,125
16,357,104,78,73,14,2021-01-14,612
17,193,55,36,32,53,2021-01-15,316
18,241,46,49,18,64,2021-01-16,354
19,1919,127,112,47,121,2021-01-17,2205
20,2993,159,70,25,211,2021-01-18,3247
21,1589,312,256,72,165,2021-01-19,2229
22,443,14,2,1,45,2021-01-20,460
23,134,21,22,4,17,2021-01-21,181
24,1273,322,305,110,144,2021-01-22,2010
25,247,40,53,27,62,2021-01-23,367
26,23,1,4,5,0,2021-01-24,33
27,75,165,6,24,102,2021-01-25,270
28,67,18,12,33,108,2021-01-26,130
29,1316,172,72,22,121,2021-01-27,1582
30,1588,203,201,61,209,2021-01-28,2053
31,670,91,37,19,257,2021-01-29,817
32,915,256,113,70,263,2021-01-30,1354
33,1204,292,187,29,130,2021-01-31,1712
34,9,3,2,1,2,2021-02-01,15
35,705,149,128,14,84,2021-02-02,996
36,727,161,119,26,116,2021-02-03,1033
37,358,92,37,10,60,2021-02-04,497
38,1128,245,248,81,102,2021-02-05,1702
39,20,4,6,2,1,2021-02-06,32
40,15,3,2,4,21,2021-02-07,24
41,856,177,224,40,85,2021-02-08,1297
42,1454,285,175,33,150,2021-02-09,1947
43,517,126,111,10,71,2021-02-10,764
44,210,87,54,14,111,2021-02-11,365
45,50,15,8,3,5,2021-02-12,76
46,1694,71,31,15,103,2021-02-13,1811
47,240,11,7,3,5,2021-02-14,261
48,1169,202,238,16,172,2021-02-15,1625
49,165,32,39,4,18,2021-02-16,240
50,2312,610,424,55,264,2021-02-17,3401
51,3680,456,252,82,1099,2021-02-18,4470
52,1157,281,212,18,157,2021-02-19,1668
53,967,205,207,16,122,2021-02-20,1395
54,371,185,103,30,627,2021-02-21,689
55,1373,274,333,148,446,2021-02-22,2128
56,601,147,101,17,78,2021-02-23,866
57,3228,253,174,28,270,2021-02-24,3683
58,227,267,98,63,926,2021-02-25,655
59,2421,453,295,72,241,2021-02-27,3241
60,4401,540,522,234,266,2021-02-28,5697
61,3517,696,657,297,197,2021-03-01,5167
62,3396,558,567,276,136,2021-03-02,4797
63,1762,109,100,27,61,2021-03-03,1998
64,24,8,15,3,5,2021-03-04,50
65,460,156,133,52,160,2021-03-05,801
66,1237,445,409,232,69,2021-03-06,2323
67,1166,388,383,216,66,2021-03-07,2153
68,329,129,98,67,39,2021-03-08,623
69,724,609,293,222,1329,2021-03-09,1848
70,3159,986,906,435,154,2021-03-10,5486
71,1890,507,488,197,135,2021-03-11,3082
72,14,8,4,2,2,2021-03-12,28
73,1149,409,374,217,66,2021-03-13,2149
74,1241,417,411,219,90,2021-03-14,2288
75,1465,451,476,241,104,2021-03-15,2633
76,1724,521,474,227,174,2021-03-16,2946
77,1246,418,405,215,71,2021-03-17,2284
78,1226,427,421,234,68,2021-03-18,2308
79,2918,973,903,412,341,2021-03-19,5206
80,259,199,148,92,376,2021-03-20,698
81,158,40,24,10,191,2021-03-21,232
82,959,283,234,98,114,2021-03-22,1574
83,1246,360,408,162,95,2021-03-23,2176
84,2914,740,568,166,295,2021-03-24,4388
85,83,12,5,17,5,2021-03-25,117
86,709,153,115,41,117,2021-03-26,1018
87,3436,1034,741,216,461,2021-03-27,5427
88,2500,850,795,449,236,2021-03-28,4594
89,784,222,298,132,43,2021-03-29,1436
90,691,219,182,106,69,2021-03-30,1198
91,966,295,218,165,63,2021-03-31,1644
92,812,284,250,124,84,2021-04-01,1470
93,2381,727,610,289,178,2021-04-02,4007
94,331,122,109,113,19,2021-04-03,675
95,276,40,72,19,15,2021-04-04,407
96,476,188,121,40,113,2021-04-05,825
97,380,71,113,49,33,2021-04-06,613
98,141,57,84,59,8,2021-04-07,341
99,251,89,78,99,16,2021-04-08,517
100,413,117,137,106,17,2021-04-09,773
101,1876,785,973,863,107,2021-04-10,4497
102,990,272,252,172,107,2021-04-11,1686
103,2834,836,475,114,324,2021-04-12,4259
104,251,35,39,66,3,2021-04-13,391
105,883,274,431,498,71,2021-04-14,2086
106,1875,329,996,1212,112,2021-04-15,4412
107,1396,299,731,932,83,2021-04-16,3358
108,2607,1013,1011,794,138,2021-04-17,5425
109,1612,297,611,549,88,2021-04-18,3069
110,3660,509,645,516,216,2021-04-19,5330
111,984,247,402,264,44,2021-04-20,1897
112,610,97,125,98,35,2021-04-21,930
113,1412,370,328,230,148,2021-04-22,2340
114,1362,180,397,398,76,2021-04-23,2337
115,2901,680,654,530,243,2021-04-24,4765
116,3135,684,693,630,213,2021-04-25,5142
117,1841,320,465,488,138,2021-04-26,3114
118,1611,180,425,385,85,2021-04-27,2601
119,2184,248,528,426,104,2021-04-28,3386
120,889,162,209,163,55,2021-04-29,1423
121,715,156,213,145,80,2021-04-30,1229
122,1482,275,337,283,129,2021-05-01,2377
123,1253,82,314,325,59,2021-05-02,1974
124,667,204,231,239,37,2021-05-03,1341
125,2416,437,438,336,274,2021-05-04,3627
126,2249,275,305,300,152,2021-05-05,3129
127,768,60,202,228,25,2021-05-06,1258
128,812,48,207,185,53,2021-05-07,1252
129,2944,694,685,446,294,2021-05-08,4769
130,841,74,236,255,63,2021-05-09,1406
131,852,84,233,277,44,2021-05-10,1446
132,741,133,304,346,40,2021-05-11,1524
133,607,35,185,205,40,2021-05-12,1032
134,1256,83,310,271,74,2021-05-13,1920
135,949,121,261,262,36,2021-05-14,1593
136,1298,163,363,342,79,2021-05-15,2166
137,821,61,205,172,45,2021-05-16,1259
138,484,88,147,114,42,2021-05-17,833
139,991,119,275,279,50,2021-05-18,1664
140,368,25,160,236,17,2021-05-19,789
141,3308,344,267,204,285,2021-05-20,4123
142,1289,1522,315,233,162,2021-05-21,3359
143,4046,210,277,302,298,2021-05-22,4835
144,749,36,162,148,33,2021-05-23,1095
145,985,41,223,255,50,2021-05-24,1504
146,1671,138,469,498,105,2021-05-25,2776
147,2236,211,641,764,127,2021-05-26,3852
148,2015,171,603,692,124,2021-05-27,3481
149,732,100,210,247,45,2021-05-28,1289
150,2010,225,272,193,165,2021-05-29,2700
151,1579,330,484,401,83,2021-05-30,2794
152,877,131,245,213,38,2021-05-31,1466
153,941,79,240,267,64,2021-06-01,1527
154,953,121,291,245,79,2021-06-02,1610
155,843,101,292,316,62,2021-06-03,1552
156,1051,156,240,335,52,2021-06-04,1782
157,48,35,16,11,1,2021-06-05,110
158,1306,369,428,306,96,2021-06-06,2409
159,1256,264,436,437,107,2021-06-07,2393
160,1754,476,531,485,95,2021-06-08,3246
161,1490,440,398,366,114,2021-06-09,2694
162,2106,920,443,246,225,2021-06-10,3715
163,1071,200,342,380,57,2021-06-11,1993
164,1190,252,317,306,53,2021-06-12,2065
165,1290,220,351,337,71,2021-06-13,2198
166,1399,271,420,379,95,2021-06-14,2469
167,576,96,171,211,54,2021-06-15,1054
168,1218,193,322,300,50,2021-06-16,2033
169,1235,198,303,271,90,2021-06-17,2007
170,769,83,234,184,59,2021-06-18,1270
171,1890,416,513,456,93,2021-06-19,3275
172,1479,464,356,335,79,2021-06-20,2634
173,1002,234,311,318,63,2021-06-21,1865
174,1374,245,341,294,92,2021-06-22,2254
175,1208,307,293,251,73,2021-06-23,2059
176,1339,245,349,324,56,2021-06-24,2257
177,1196,120,310,268,91,2021-06-25,1894
178,1707,564,544,560,112,2021-06-26,3375
179,1801,718,892,1071,136,2021-06-27,4482
180,767,368,302,325,53,2021-06-28,1762
181,2090,806,977,900,170,2021-06-29,4773
182,1756,673,1079,1058,154,2021-06-30,4566
183,1716,749,1302,1251,172,2021-07-01,5018
184,2688,1095,1599,1588,231,2021-07-02,6970
185,3611,1091,1445,1315,268,2021-07-03,7462
186,4749,1700,2168,1909,361,2021-07-04,10526
187,3225,1354,1727,1626,285,2021-07-05,7932
188,1714,495,555,503,89,2021-07-06,3267
189,4599,1427,1451,1104,298,2021-07-07,8581
190,694,102,272,268,50,2021-07-08,1336
191,1815,314,601,543,108,2021-07-09,3273
192,1715,303,624,526,117,2021-07-10,3168
193,3310,900,1204,974,251,2021-07-11,6388
194,3231,918,1045,791,206,2021-07-12,5985
195,4422,1281,1407,1098,286,2021-07-13,8208
196,3203,902,1016,862,189,2021-07-14,5983
197,2719,885,901,763,196,2021-07-15,5268
198,2801,940,763,515,177,2021-07-16,5019
199,4468,1835,1574,1258,315,2021-07-17,9135
200,2142,936,626,425,143,2021-07-18,4129
201,1716,706,545,342,134,2021-07-19,3309
202,2073,666,707,552,132,2021-07-20,3998
203,3819,1135,1220,967,253,2021-07-21,7141
204,4023,1205,1307,1041,253,2021-07-22,7576
205,3569,1254,1162,973,236,2021-07-23,6958
206,4366,1470,1405,1170,266,2021-07-24,8411
207,4275,1275,1386,1141,303,2021-07-25,8077
208,4660,1689,1458,1183,299,2021-07-26,8990
209,3245,952,1114,835,222,2021-07-27,6146
210,2531,668,821,592,160,2021-07-28,4612
211,3797,1279,1060,817,255,2021-07-29,6953
212,1557,518,574,488,98,2021-07-30,3137
213,2848,832,993,806,181,2021-07-31,5479
214,3682,1081,1192,960,218,2021-08-01,6915
215,3820,1348,1298,1032,282,2021-08-02,7498
216,4642,1452,1557,1202,293,2021-08-03,8853
217,4905,1289,1632,1290,350,2021-08-04,9116
218,3482,890,1133,963,228,2021-08-05,6468
219,2236,436,692,572,144,2021-08-06,3936
220,3410,831,1089,951,209,2021-08-07,6281
221,3093,823,1060,869,193,2021-08-08,5845
222,3454,858,1202,980,218,2021-08-09,6494
223,3447,1118,1127,941,240,2021-08-10,6633
224,2856,699,1073,850,198,2021-08-11,5478
225,3558,1223,1494,989,274,2021-08-12,7264
226,3294,794,1129,1027,226,2021-08-13,6244
227,3678,758,1214,1084,248,2021-08-14,6734
228,4128,1018,1359,1134,289,2021-08-15,7639
229,2653,683,856,797,162,2021-08-16,4989
230,3480,1000,1174,984,264,2021-08-17,6638
231,3345,807,1033,887,234,2021-08-18,6072
232,2054,470,667,563,156,2021-08-19,3754
233,3395,896,1197,887,255,2021-08-20,6375
234,5212,1664,1736,1278,375,2021-08-21,9890
235,4135,1333,1215,1006,254,2021-08-22,7689
236,3669,1039,1227,961,250,2021-08-23,6896
237,4129,1203,1362,1091,269,2021-08-24,7785
238,2669,718,827,706,183,2021-08-25,4920
239,2902,721,937,722,203,2021-08-26,5282
240,1786,405,561,423,123,2021-08-27,3175
241,1215,238,380,314,89,2021-08-28,2147
242,1138,245,361,310,70,2021-08-29,2054
243,5846,1562,1968,1446,449,2021-08-30,10822
244,4799,1420,1715,1318,308,2021-08-31,9252
245,2700,652,814,650,174,2021-09-01,4816
246,3074,882,982,691,201,2021-09-02,5629
247,4191,703,1230,1142,308,2021-09-03,7266
248,5253,1104,1698,1447,410,2021-09-04,9502
249,6575,1504,2167,1755,499,2021-09-05,12001
250,4993,1026,1630,1410,385,2021-09-06,9059
251,4995,1239,1738,1365,432,2021-09-07,9337
252,5932,1514,2065,1674,410,2021-09-08,11185
253,4808,1272,1432,1113,312,2021-09-09,8625
254,4210,1373,1341,1062,316,2021-09-10,7986
255,4980,1498,1390,1053,354,2021-09-11,8921
256,5530,1169,1442,1258,424,2021-09-12,9399
257,5463,1364,1802,1426,436,2021-09-13,10055
258,4227,1221,1391,1114,379,2021-09-14,7953
259,4647,1378,1503,1181,399,2021-09-15,8709
260,3890,760,1409,1280,274,2021-09-16,7339
261,3975,743,1215,1056,291,2021-09-17,6989
262,3957,941,1264,1057,287,2021-09-18,7219
263,4870,1041,1401,1255,347,2021-09-19,8567
264,4823,844,1380,1132,375,2021-09-20,8179
265,4099,801,1377,1153,298,2021-09-21,7430
266,3758,627,1339,1194,328,2021-09-22,6918
267,3267,625,1140,1142,277,2021-09-23,6174
268,3162,1036,1170,972,253,2021-09-24,6340
269,3990,966,1248,1146,256,2021-09-25,7350
270,3100,753,1068,895,247,2021-09-26,5816
271,3505,665,916,962,262,2021-09-27,6048
272,4009,807,993,964,329,2021-09-28,6773
273,3235,806,1045,794,254,2021-09-29,5880
274,3748,1102,1280,873,380,2021-09-30,7003
275,2891,633,887,831,257,2021-10-01,5242
276,4122,744,1307,1218,326,2021-10-02,7391
277,3474,500,1111,1108,259,2021-10-03,6193
278,4117,776,1145,990,329,2021-10-04,7028
279,3720,646,1048,1041,301,2021-10-05,6455
280,3928,530,1124,1076,316,2021-10-06,6658
281,4020,648,1371,1208,335,2021-10-07,7247
282,2975,686,1129,912,297,2021-10-08,5702
283,3809,651,1110,1013,304,2021-10-09,6583
284,3169,704,1038,978,224,2021-10-10,5889
285,2763,655,853,778,180,2021-10-11,5049
286,2810,650,1027,921,263,2021-10-12,5408
287,2815,678,762,616,199,2021-10-13,4871
288,2822,803,719,520,225,2021-10-14,4864
289,2543,625,762,532,188,2021-10-15,4462
290,2386,642,860,631,260,2021-10-16,4519
291,2818,687,867,744,223,2021-10-17,5116
292,2417,684,914,630,165,2021-10-18,4645
293,2379,564,659,644,153,2021-10-19,4246
294,1904,552,643,471,135,2021-10-20,3570
295,2402,554,686,612,149,2021-10-21,4254
296,2501,375,653,673,154,2021-10-22,4202
297,2289,492,745,539,164,2021-10-23,4065
298,2767,506,985,753,246,2021-10-24,5011
299,2786,756,880,806,212,2021-10-25,5228
300,4364,910,1251,838,334,2021-10-26,7363
301,3775,1175,1110,845,251,2021-10-27,6905
302,6997,1513,1893,1422,590,2021-10-28,11825
303,4910,3128,1331,1165,582,2021-10-29,10534
304,3976,1070,1115,884,294,2021-10-30,7045
305,4886,1520,1904,983,385,2021-10-31,9293
306,5916,1087,1648,1241,425,2021-11-01,9892
307,4376,1182,1453,1314,304,2021-11-02,8325
308,4046,1023,1489,970,313,2021-11-03,7528
309,5288,1215,1589,1217,411,2021-11-04,9309
310,5273,1386,1523,1258,401,2021-11-05,9440
311,4204,1067,1249,1080,297,2021-11-06,7600
312,5296,1220,1649,1107,365,2021-11-07,9272
313,3957,891,1349,909,295,2021-11-08,7106
314,4321,1059,1492,963,332,2021-11-09,7835
315,6648,1270,1748,1363,605,2021-11-10,11029
316,4697,1245,1642,1087,343,2021-11-11,8671
317,4136,1174,1274,997,323,2021-11-12,7581
318,4241,1213,1246,979,299,2021-11-13,7679
319,3846,1029,1016,737,250,2021-11-14,6628
320,4749,955,1450,1156,307,2021-11-15,8310
321,4075,1088,1439,896,328,2021-11-16,7498
322,4621,1070,1362,1006,318,2021-11-17,8059
323,4458,1232,1329,1142,309,2021-11-18,8161
324,3194,881,1189,802,242,2021-11-19,6066
325,5417,1290,1796,1192,382,2021-11-20,9695
326,4548,1226,1390,1195,338,2021-11-21,8359
327,4505,1217,1268,1030,321,2021-11-22,8020
328,4339,1272,1261,914,268,2021-11-23,7786
329,3349,1087,1168,652,257,2021-11-24,6256
330,4654,1143,1729,1127,344,2021-11-25,8653
331,3356,915,983,886,216,2021-11-26,6140
332,6855,1864,2413,1494,596,2021-11-27,12626
333,3876,1081,1250,969,265,2021-11-28,7176
334,5443,1547,1626,1270,401,2021-11-29,9886
335,3434,1226,998,749,234,2021-11-30,6407
336,4412,940,1258,963,288,2021-12-01,7573
337,4406,1111,1445,1006,340,2021-12-02,7968
338,4616,1020,1347,947,371,2021-12-03,7930
339,4096,1177,1273,1131,290,2021-12-04,7677
340,2981,564,1194,941,235,2021-12-05,5680
341,3883,864,1332,1132,304,2021-12-06,7211
342,4182,1179,1272,1124,321,2021-12-07,7757
343,4342,1259,1492,1252,361,2021-12-08,8345
344,6647,981,1940,1681,575,2021-12-09,11249
345,4798,1102,1794,1379,393,2021-12-10,9073
346,6729,1103,1995,1460,761,2021-12-11,11287
347,4034,1080,1427,1494,323,2021-12-12,8035
348,4419,1227,1469,1026,322,2021-12-13,8141
349,4672,1281,1742,1443,386,2021-12-14,9138
350,6027,1339,1923,1590,460,2021-12-15,10879
351,5113,1526,1867,1415,381,2021-12-16,9921
352,5177,1029,1548,1315,381,2021-12-17,9069
353,5542,1108,1850,1406,461,2021-12-18,9906
354,4926,1098,1749,1186,385,2021-12-19,8959
355,4827,1173,1460,1381,301,2021-12-20,8841
356,5258,1368,1865,1199,441,2021-12-21,9690
357,4338,1334,1565,1097,288,2021-12-22,8334
358,5746,1354,1754,1370,435,2021-12-23,10224
359,6169,1652,2213,1728,435,2021-12-24,11762
360,5726,1597,1940,1376,412,2021-12-25,10639
