,ok,dns,http,tls,error,date,total
0,3,0,0,0,0,2021-01-01,3
1,7,1,0,0,1,2021-01-10,8
2,0,1,0,0,0,2021-01-11,1
3,0,1,0,0,0,2021-01-12,1
4,5,0,0,0,0,2021-01-17,5
5,1,0,0,0,0,2021-01-23,1
6,5,2,0,0,0,2021-01-31,7
7,37,4,3,0,3,2021-02-01,44
8,1,0,0,0,0,2021-02-02,1
9,53,0,1,0,3,2021-02-03,54
10,95,13,5,0,4,2021-02-04,113
11,68,15,1,1,2,2021-02-05,85
12,23,2,1,0,0,2021-02-06,26
13,46,2,3,0,4,2021-02-07,51
14,46,4,4,0,5,2021-02-08,54
15,9,3,2,0,0,2021-02-09,14
16,996,274,65,3,68,2021-02-10,1338
17,9382,1613,653,95,623,2021-02-11,11743
18,7701,835,604,107,442,2021-02-12,9247
19,5999,491,401,75,349,2021-02-13,6966
20,4128,490,270,42,255,2021-02-14,4930
21,2017,163,134,21,97,2021-02-15,2335
22,3718,289,271,52,216,2021-02-16,4330
23,2446,261,212,38,156,2021-02-17,2957
24,3394,316,291,74,215,2021-02-18,4075
25,3306,266,211,71,215,2021-02-19,3854
26,3762,457,313,32,215,2021-02-20,4564
27,1514,123,97,11,99,2021-02-21,1745
28,150,22,9,2,47,2021-02-22,183
29,6439,588,464,66,438,2021-02-23,7557
33,5783,348,321,34,219,2021-02-27,6486
34,253,160,18,3,8,2021-02-28,434
35,406,41,37,16,12,2021-03-01,500
36,6719,393,395,21,236,2021-03-02,7528
37,4962,193,372,42,162,2021-03-03,5569
38,5306,356,351,44,196,2021-03-04,6057
39,758,42,37,2,38,2021-03-05,839
40,4066,333,358,43,162,2021-03-06,4800
41,4873,295,352,31,200,2021-03-07,5551
42,2093,139,147,15,97,2021-03-08,2394
43,4898,529,316,28,202,2021-03-09,5771
44,3948,391,245,16,150,2021-03-10,4600
45,5327,299,305,15,193,2021-03-11,5946
46,2138,118,121,9,84,2021-03-12,2386
47,1525,97,114,26,65,2021-03-13,1762
48,223,77,16,0,10,2021-03-14,316
49,2047,213,113,7,91,2021-03-15,2380
50,3882,392,254,30,153,2021-03-16,4558
51,5734,586,396,51,233,2021-03-17,6767
52,3693,524,222,16,156,2021-03-18,4455
53,3771,267,218,17,155,2021-03-19,4273
54,2845,124,182,8,121,2021-03-20,3159
55,1619,79,111,4,75,2021-03-21,1813
56,1660,78,99,4,59,2021-03-22,1841
57,2811,132,145,4,109,2021-03-23,3092
58,4945,452,276,13,210,2021-03-24,5686
59,2516,111,142,9,111,2021-03-25,2778
60,609,56,19,1,23,2021-03-26,685
61,711,27,31,3,24,2021-03-27,772
62,1696,91,140,21,69,2021-03-28,1948
63,287,51,36,8,17,2021-03-29,382
64,5042,853,386,87,237,2021-03-30,6368
65,180,11,9,2,7,2021-03-31,202
66,1857,77,103,7,68,2021-04-01,2044
67,248,43,19,0,12,2021-04-02,310
68,337,26,11,0,11,2021-04-03,374
69,409,39,12,3,14,2021-04-04,463
70,637,88,29,5,28,2021-04-05,759
71,2427,145,145,7,110,2021-04-06,2724
