,ok,dns,http,tls,error,date,total
0,46,10,0,0,3,2021-01-02,56
1,25,4,0,0,0,2021-01-03,29
2,55,3,3,1,4,2021-01-04,62
3,21,1,0,0,2,2021-01-05,22
4,18,11,4,0,2,2021-01-07,33
5,0,0,1,0,0,2021-01-08,1
6,27,4,0,0,1,2021-01-09,31
7,100,7,7,0,5,2021-01-12,114
8,5021,501,163,32,454,2021-01-13,5717
9,2533,264,85,16,229,2021-01-14,2898
10,2570,225,69,14,249,2021-01-15,2878
11,897,179,18,2,68,2021-01-16,1096
12,1036,92,72,9,100,2021-01-17,1209
13,79,3,1,1,4,2021-01-19,84
14,5,2,1,0,1,2021-01-21,8
15,3,1,0,0,0,2021-01-22,4
16,14,0,2,0,1,2021-01-23,16
17,7,2,0,0,0,2021-01-24,9
18,1272,91,40,2,55,2021-01-25,1405
19,298,58,5,0,31,2021-01-26,361
20,4739,572,117,26,442,2021-01-27,5454
21,2548,271,79,12,236,2021-01-28,2910
22,2549,312,65,15,223,2021-01-29,2941
23,2531,275,81,13,242,2021-01-30,2900
24,1974,305,41,10,149,2021-01-31,2330
25,3135,304,90,17,306,2021-02-01,3546
26,2566,226,88,14,230,2021-02-02,2894
27,2584,251,84,13,232,2021-02-03,2932
28,2547,245,83,13,234,2021-02-04,2888
29,119,8,6,3,4,2021-02-05,136
30,991,143,21,6,56,2021-02-06,1161
31,1226,94,41,4,123,2021-02-07,1365
32,2970,271,102,18,270,2021-02-08,3361
33,2960,264,81,19,286,2021-02-09,3324
34,2788,273,63,15,266,2021-02-10,3139
35,2620,250,93,14,230,2021-02-11,2977
36,2547,265,83,13,236,2021-02-12,2908
37,2650,248,79,12,243,2021-02-13,2989
38,2577,252,74,13,235,2021-02-14,2916
39,2572,229,121,18,199,2021-02-15,2940
40,2586,231,69,10,242,2021-02-16,2896
41,2267,188,32,11,237,2021-02-17,2498
42,385,40,4,1,42,2021-02-18,430
43,14,2,0,1,2,2021-02-19,17
44,21,1,0,0,0,2021-02-20,22
45,24,8,2,0,2,2021-02-21,34
46,1457,126,23,6,153,2021-02-22,1612
47,2613,224,65,9,246,2021-02-23,2911
48,17,0,0,0,3,2021-02-24,17
49,2520,268,60,10,255,2021-02-25,2858
50,2610,225,64,9,260,2021-02-26,2908
51,16,3,1,0,0,2021-02-28,20
52,11,1,0,0,0,2021-03-01,12
53,5182,439,144,16,474,2021-03-02,5781
54,2589,222,65,9,242,2021-03-03,2885
55,2602,217,73,11,237,2021-03-04,2903
56,2636,221,63,9,243,2021-03-05,2929
57,2521,278,150,19,206,2021-03-06,2968
58,786,70,57,10,67,2021-03-07,923
59,4353,371,123,17,430,2021-03-08,4864
60,2595,212,69,10,246,2021-03-09,2886
61,2595,214,70,9,243,2021-03-10,2888
62,2598,212,75,9,234,2021-03-11,2894
63,2588,219,71,8,243,2021-03-12,2886
64,2605,226,78,11,228,2021-03-13,2920
65,2603,216,66,11,251,2021-03-14,2896
66,1625,253,25,9,118,2021-03-15,1912
67,3538,300,92,10,343,2021-03-16,3940
68,670,98,13,4,53,2021-03-17,785
69,4351,347,349,38,368,2021-03-18,5085
70,1477,205,27,6,117,2021-03-19,1715
71,30,0,0,1,1,2021-03-21,31
72,16,3,0,0,1,2021-03-22,19
73,54,3,2,1,1,2021-03-23,60
74,55,5,1,1,1,2021-03-24,62
75,32,0,0,0,4,2021-03-25,32
76,19,0,1,0,1,2021-03-26,20
77,3,2,0,0,0,2021-03-27,5
78,29,6,4,0,2,2021-03-28,39
79,10,4,3,1,4,2021-03-30,18
80,9,1,0,0,2,2021-03-31,10
81,35,0,2,2,4,2021-04-03,39
82,57,8,5,1,3,2021-04-04,71
83,28,0,1,0,1,2021-04-05,29
84,6,0,0,0,1,2021-04-07,6
85,21,0,0,1,1,2021-04-08,22
86,33,0,2,0,3,2021-04-09,35
87,13,3,0,0,0,2021-04-10,16
88,1886,158,50,6,195,2021-04-13,2100
89,235,35,10,1,25,2021-04-14,281
90,2724,231,61,14,380,2021-04-15,3030
91,2834,257,85,32,297,2021-04-16,3208
92,23,3,0,0,1,2021-04-17,26
93,1552,76,209,20,112,2021-04-18,1857
94,99,8,5,3,14,2021-04-19,115
95,2566,306,64,14,205,2021-04-20,2950
96,12,0,0,1,2,2021-04-21,13
97,15,1,0,1,2,2021-04-22,17
98,2501,141,274,25,200,2021-04-24,2941
99,2588,244,57,11,229,2021-04-25,2900
100,2305,335,47,15,177,2021-04-26,2702
101,1592,142,109,16,115,2021-04-27,1859
102,38,2,1,1,0,2021-04-28,42
103,38,0,0,0,4,2021-04-29,38
104,16,0,2,0,5,2021-04-30,18
105,12,1,0,0,2,2021-05-01,13
106,17,0,2,1,2,2021-05-02,20
107,48,4,1,1,2,2021-05-03,54
108,9,1,0,0,0,2021-05-04,10
109,11,3,1,0,0,2021-05-06,15
110,0,1,0,0,0,2021-05-08,1
111,5,1,0,0,0,2021-05-09,6
112,33,5,0,1,1,2021-05-10,39
113,404,74,4,0,23,2021-05-11,482
114,10,0,0,0,0,2021-05-14,10
115,32,0,3,0,1,2021-05-15,35
116,11,0,0,0,1,2021-05-18,11
117,28,3,1,0,2,2021-05-19,32
118,33,1,0,1,1,2021-05-20,35
119,21,7,2,1,1,2021-05-21,31
120,29,3,0,1,2,2021-05-22,33
121,7,0,1,1,0,2021-05-23,9
122,36,3,0,0,0,2021-05-24,39
123,26,3,1,0,2,2021-05-25,30
124,15,0,0,0,0,2021-05-27,15
125,17,0,0,0,0,2021-05-28,17
126,16,3,0,0,1,2021-05-29,19
127,11,1,0,0,1,2021-05-30,12
128,52,11,2,2,3,2021-05-31,67
129,10,6,1,0,1,2021-06-01,17
130,0,0,0,0,1,2021-06-02,0
131,5,0,0,1,0,2021-06-03,6
132,3,0,0,0,0,2021-06-05,3
133,31,2,1,0,0,2021-06-07,34
134,23,0,0,0,0,2021-06-08,23
135,21,4,3,0,2,2021-06-09,28
136,22,1,2,0,1,2021-06-10,25
137,0,1,0,0,0,2021-06-11,1
138,63,2,6,2,0,2021-06-12,73
139,12,1,1,0,1,2021-06-13,14
140,0,0,0,0,1,2021-06-14,0
141,23,2,0,1,0,2021-06-15,26
142,6,3,0,0,0,2021-06-17,9
143,0,0,1,0,0,2021-06-19,1
144,26,2,1,2,1,2021-06-20,31
145,14,0,2,0,0,2021-06-21,16
146,3,0,0,0,0,2021-06-22,3
147,7,0,1,0,1,2021-06-23,8
148,2566,279,59,8,230,2021-06-24,2912
149,2613,254,66,8,231,2021-06-28,2941
150,52,0,0,0,0,2021-06-29,52
