,ok,dns,http,tls,error,date,total
3,23,2,2,0,0,2021-01-01,27
4,39,3,0,1,3,2021-01-02,43
5,25,4,0,0,3,2021-01-03,29
6,45,7,3,1,4,2021-01-04,56
7,47,4,3,1,2,2021-01-05,55
8,20,8,0,0,0,2021-01-06,28
9,34,1,0,2,1,2021-01-07,37
10,5,1,1,0,0,2021-01-08,7
11,248,29,4,0,11,2021-01-09,281
12,124,25,5,2,11,2021-01-10,156
13,12,3,0,0,0,2021-01-11,15
14,40,7,1,1,2,2021-01-12,49
15,34,4,0,1,2,2021-01-13,39
16,39,6,2,0,3,2021-01-14,47
17,2,1,1,2,0,2021-01-15,6
18,97,9,3,1,7,2021-01-16,110
19,66,10,0,3,5,2021-01-17,79
20,13,6,0,0,1,2021-01-18,19
21,22,3,0,0,2,2021-01-19,25
22,3,4,1,0,1,2021-01-22,8
23,63,9,1,0,3,2021-01-23,73
24,22,5,0,1,0,2021-01-25,28
25,106,10,5,1,4,2021-01-26,122
26,85,10,3,3,9,2021-01-27,101
27,54,109,14,18,1628,2021-01-28,195
28,1348,254,41,30,1693,2021-01-29,1673
29,8,2,1,0,2,2021-01-30,11
30,24,3,5,6,3,2021-01-31,38
31,4,0,0,0,0,2021-02-01,4
32,22,5,2,1,2,2021-02-02,30
33,109,12,3,1,5,2021-02-03,125
34,109,12,1,2,3,2021-02-04,124
35,402,49,9,5,21,2021-02-05,465
36,912,143,30,3,48,2021-02-06,1088
37,615,72,12,12,23,2021-02-07,711
38,1039,121,15,7,51,2021-02-08,1182
39,1174,167,34,19,59,2021-02-09,1394
40,957,143,36,10,44,2021-02-10,1146
41,99,17,3,3,8,2021-02-11,122
42,119,17,2,4,13,2021-02-12,142
43,227,35,8,5,12,2021-02-13,275
44,120,23,2,1,7,2021-02-14,146
45,113,13,4,4,2,2021-02-15,134
46,144,12,3,2,5,2021-02-16,161
47,72,13,5,3,7,2021-02-17,93
48,151,17,4,1,5,2021-02-18,173
49,156,18,3,1,12,2021-02-19,178
50,274,105,15,7,20,2021-02-20,401
51,113,16,3,0,5,2021-02-21,132
52,1081,153,20,16,56,2021-02-22,1270
53,90,8,4,3,4,2021-02-23,105
54,169,9,6,1,6,2021-02-24,185
55,58,14,4,3,6,2021-02-25,79
56,111,15,5,1,2,2021-02-26,132
57,188,26,4,4,8,2021-02-27,222
58,123,27,7,3,7,2021-02-28,160
59,186,21,6,4,8,2021-03-01,217
60,131,11,6,2,7,2021-03-02,150
61,96,9,2,1,1,2021-03-03,108
62,46,1,0,0,2,2021-03-04,47
63,60,11,1,0,2,2021-03-05,72
64,96,13,3,0,2,2021-03-06,112
65,99,10,2,2,6,2021-03-07,113
66,51,3,0,0,1,2021-03-08,54
67,55,8,1,2,0,2021-03-09,66
68,20,3,1,0,1,2021-03-10,24
69,104,12,3,2,7,2021-03-11,121
70,84,10,4,1,1,2021-03-12,99
71,81,11,2,0,3,2021-03-13,94
72,205,20,2,0,6,2021-03-14,227
73,23,0,1,0,1,2021-03-15,24
74,48,4,1,2,4,2021-03-16,55
75,121,14,9,4,4,2021-03-17,148
76,48,7,2,0,4,2021-03-18,57
77,48,11,4,1,4,2021-03-19,64
78,33,6,0,0,0,2021-03-20,39
79,80,4,4,1,5,2021-03-21,89
80,14,1,1,0,0,2021-03-22,16
81,78,14,3,1,4,2021-03-23,96
82,84,13,0,2,5,2021-03-24,99
83,92,10,3,2,2,2021-03-25,107
84,76,4,0,1,2,2021-03-26,81
85,71,8,2,0,5,2021-03-27,81
86,243,13,5,1,10,2021-03-28,262
87,79,4,2,0,6,2021-03-29,85
88,336,17,6,1,12,2021-03-30,360
89,94,2,13,1,6,2021-03-31,110
90,224,26,8,4,9,2021-04-01,262
91,391,46,9,0,6,2021-04-02,446
92,271,17,3,4,8,2021-04-03,295
93,175,14,4,6,10,2021-04-04,199
94,115,13,7,3,3,2021-04-05,138
95,133,15,4,2,8,2021-04-06,154
96,155,18,5,1,6,2021-04-07,179
97,211,25,5,4,9,2021-04-08,245
98,331,62,12,8,16,2021-04-09,413
99,98,20,5,2,3,2021-04-10,125
100,172,15,4,3,4,2021-04-11,194
101,67,7,0,1,3,2021-04-12,75
102,173,15,4,0,5,2021-04-13,192
103,162,22,4,2,6,2021-04-14,190
104,614,52,17,17,29,2021-04-15,700
105,772,74,11,18,29,2021-04-16,875
106,696,79,16,17,29,2021-04-17,808
107,896,92,20,24,21,2021-04-18,1032
108,989,125,33,28,36,2021-04-19,1175
109,1024,96,21,25,36,2021-04-20,1166
110,848,73,13,23,33,2021-04-21,957
111,1465,140,28,22,56,2021-04-22,1655
112,1162,142,34,16,51,2021-04-23,1354
113,884,69,13,12,36,2021-04-24,978
114,730,91,15,16,27,2021-04-25,852
115,863,95,16,13,26,2021-04-26,987
116,848,104,29,14,38,2021-04-27,995
117,859,81,19,13,26,2021-04-28,972
118,845,77,15,17,25,2021-04-29,954
119,925,89,19,12,34,2021-04-30,1045
120,343,52,9,3,18,2021-05-01,407
121,50,8,3,3,4,2021-05-02,64
122,212,25,5,4,9,2021-05-03,246
123,4,2,0,0,0,2021-05-04,6
124,31,8,2,0,0,2021-05-05,41
125,144,14,13,0,5,2021-05-06,171
126,84,6,0,0,1,2021-05-07,90
127,419,42,10,4,17,2021-05-08,475
128,559,67,12,8,22,2021-05-09,646
129,544,84,7,8,22,2021-05-10,643
130,262,20,9,0,11,2021-05-11,291
131,1410,141,32,5,60,2021-05-12,1588
132,162,21,3,0,6,2021-05-13,186
133,728,96,17,2,26,2021-05-14,843
134,186,23,2,2,5,2021-05-15,213
135,1094,151,18,8,45,2021-05-16,1271
136,266,39,5,2,10,2021-05-17,312
137,811,122,12,10,34,2021-05-18,955
138,389,46,9,0,15,2021-05-19,444
139,366,48,18,0,12,2021-05-20,432
140,85,9,1,1,4,2021-05-21,96
141,1110,148,19,5,36,2021-05-22,1282
142,885,97,16,5,39,2021-05-23,1003
143,351,66,7,2,11,2021-05-24,426
144,611,77,6,3,25,2021-05-25,697
145,1017,156,16,15,55,2021-05-26,1204
146,351,36,9,5,11,2021-05-27,401
147,174,28,14,5,9,2021-05-28,221
148,105,12,7,6,2,2021-05-29,130
149,1492,177,25,7,48,2021-05-30,1701
150,13,3,0,0,1,2021-05-31,16
151,1256,187,42,9,45,2021-06-01,1494
152,313,48,4,2,11,2021-06-02,367
153,20,9,0,0,0,2021-06-03,29
154,45,16,3,0,2,2021-06-04,64
155,72,15,3,1,10,2021-06-05,91
156,343,39,2,3,9,2021-06-06,387
157,329,31,20,12,13,2021-06-07,392
158,217,28,3,2,7,2021-06-08,250
159,104,5,1,0,5,2021-06-09,110
160,37,6,10,1,0,2021-06-10,54
161,7,2,1,0,1,2021-06-11,10
162,97,6,6,4,0,2021-06-12,113
163,57,4,5,1,6,2021-06-13,67
164,8,2,0,0,0,2021-06-14,10
165,49,7,0,0,0,2021-06-15,56
166,609,30,12,3,77,2021-06-16,654
167,17,6,0,0,1,2021-06-17,23
168,73,10,1,0,8,2021-06-18,84
169,129,11,5,2,8,2021-06-19,147
170,8,1,0,1,0,2021-06-20,10
171,76,7,5,1,1,2021-06-21,89
172,34,4,1,2,3,2021-06-22,41
173,47,4,0,1,1,2021-06-23,52
174,247,9,10,0,7,2021-06-24,266
175,112,14,1,1,3,2021-06-25,128
176,41,4,1,1,1,2021-06-26,47
177,65,2,2,2,7,2021-06-27,71
178,41,4,1,2,0,2021-06-28,48
179,27,5,0,0,1,2021-06-29,32
180,126,14,4,0,4,2021-06-30,144
181,888,125,19,12,34,2021-07-01,1044
182,529,84,16,6,22,2021-07-02,635
183,770,51,12,11,28,2021-07-03,844
184,84,7,3,3,3,2021-07-04,97
185,444,53,7,7,23,2021-07-05,511
186,669,59,9,10,18,2021-07-06,747
187,858,129,23,12,36,2021-07-07,1022
188,1004,94,19,12,32,2021-07-08,1129
189,1039,141,34,16,47,2021-07-09,1230
190,789,106,35,6,54,2021-07-10,936
191,1670,146,43,19,93,2021-07-11,1878
192,1408,132,29,8,56,2021-07-12,1577
193,2309,225,39,23,84,2021-07-13,2596
194,3018,341,91,32,165,2021-07-14,3482
195,2621,293,59,27,103,2021-07-15,3000
196,2992,306,83,43,141,2021-07-16,3424
197,1728,207,37,35,74,2021-07-17,2007
198,2314,302,53,22,93,2021-07-18,2691
199,2843,295,62,30,143,2021-07-19,3230
200,2086,251,47,23,99,2021-07-20,2407
201,2084,249,83,27,133,2021-07-21,2443
202,2652,310,85,42,153,2021-07-22,3089
203,3042,296,96,52,152,2021-07-23,3486
204,2978,291,124,66,169,2021-07-24,3459
205,2997,272,126,94,155,2021-07-25,3489
206,3473,353,167,125,182,2021-07-26,4118
207,2027,194,103,65,119,2021-07-27,2389
208,2651,242,137,71,129,2021-07-28,3101
209,2442,213,119,52,156,2021-07-29,2826
210,2739,277,95,73,161,2021-07-30,3184
211,2011,167,84,67,83,2021-07-31,2329
212,1011,157,70,10,95,2021-08-01,1248
213,825,164,55,27,40,2021-08-02,1071
214,2582,348,98,62,130,2021-08-03,3090
215,2383,268,78,40,135,2021-08-04,2769
216,2497,201,133,99,125,2021-08-05,2930
217,3575,306,170,134,185,2021-08-06,4185
218,3042,243,163,121,177,2021-08-07,3569
219,3161,296,112,57,160,2021-08-08,3626
220,4353,380,229,161,208,2021-08-09,5123
221,2561,244,95,55,120,2021-08-10,2955
222,3795,408,132,46,172,2021-08-11,4381
223,3163,333,105,50,154,2021-08-12,3651
224,3559,287,173,87,143,2021-08-13,4106
225,5682,417,197,140,248,2021-08-14,6436
226,6764,461,297,179,335,2021-08-15,7701
227,4561,275,261,160,223,2021-08-16,5257
228,3327,312,183,114,186,2021-08-17,3936
229,4802,324,204,121,219,2021-08-18,5451
230,4697,390,216,107,233,2021-08-19,5410
231,4300,305,227,136,178,2021-08-20,4968
232,5250,377,231,163,224,2021-08-21,6021
233,6137,433,211,192,277,2021-08-22,6973
234,4844,380,229,111,241,2021-08-23,5564
235,3157,325,136,66,384,2021-08-24,3684
236,2485,237,125,74,139,2021-08-25,2921
237,2983,287,104,21,132,2021-08-26,3395
238,9,9,0,0,0,2021-08-27,18
239,83,26,8,0,16,2021-08-28,117
240,61,20,3,0,4,2021-08-29,84
241,3313,295,139,95,174,2021-08-30,3842
242,5424,533,180,129,229,2021-08-31,6266
243,7161,629,194,62,333,2021-09-01,8046
244,9559,892,280,129,452,2021-09-02,10860
245,9948,933,404,145,455,2021-09-03,11430
246,8443,688,306,112,392,2021-09-04,9549
247,9088,820,457,181,413,2021-09-05,10546
248,8459,614,376,207,366,2021-09-06,9656
249,6685,539,273,150,314,2021-09-07,7647
250,5455,493,208,106,281,2021-09-08,6262
251,7339,570,248,113,306,2021-09-09,8270
252,7517,617,275,176,329,2021-09-10,8585
253,7646,740,353,136,332,2021-09-11,8875
254,8573,656,245,118,372,2021-09-12,9592
255,6268,636,250,90,307,2021-09-13,7244
256,6216,504,206,72,291,2021-09-14,6998
257,6149,601,202,75,301,2021-09-15,7027
258,5814,499,146,68,260,2021-09-16,6527
259,6109,434,139,61,262,2021-09-17,6743
260,4307,281,137,41,240,2021-09-18,4766
261,4179,375,140,48,202,2021-09-19,4742
262,4746,471,132,52,259,2021-09-20,5401
263,3369,628,98,28,191,2021-09-21,4123
264,4464,444,154,56,249,2021-09-22,5118
265,3284,312,86,30,150,2021-09-23,3712
266,3531,324,80,67,174,2021-09-24,4002
267,3909,338,64,46,157,2021-09-25,4357
268,4297,418,132,82,206,2021-09-26,4929
269,1642,192,74,22,76,2021-09-27,1930
270,1611,190,66,22,98,2021-09-28,1889
271,1497,242,110,49,98,2021-09-29,1898
272,627,62,30,23,30,2021-09-30,742
273,1451,128,63,21,114,2021-10-01,1663
274,1810,195,65,39,110,2021-10-02,2109
275,2836,225,87,47,162,2021-10-03,3195
276,1448,108,59,51,76,2021-10-04,1666
277,1863,205,85,24,124,2021-10-05,2177
278,1803,210,29,16,88,2021-10-06,2058
279,1475,356,79,17,106,2021-10-07,1927
280,1962,314,91,20,126,2021-10-08,2387
281,2143,231,64,29,119,2021-10-09,2467
282,2454,288,65,32,152,2021-10-10,2839
283,2332,228,68,20,161,2021-10-11,2648
284,1898,160,67,31,89,2021-10-12,2156
285,1781,221,69,26,100,2021-10-13,2097
286,1791,223,28,17,86,2021-10-14,2059
287,2521,524,71,32,161,2021-10-15,3148
288,1522,226,77,24,93,2021-10-16,1849
289,2183,295,68,41,144,2021-10-17,2587
290,1515,198,56,16,109,2021-10-18,1785
291,1652,133,49,17,109,2021-10-19,1851
292,1781,149,63,27,88,2021-10-20,2020
293,2035,237,59,18,105,2021-10-21,2349
294,3010,373,89,50,154,2021-10-22,3522
295,3995,675,120,45,214,2021-10-23,4835
296,2689,381,97,44,138,2021-10-24,3211
297,2613,351,101,40,138,2021-10-25,3105
298,1883,236,42,33,87,2021-10-26,2194
299,3008,442,84,41,170,2021-10-27,3575
300,2802,387,67,33,111,2021-10-28,3289
301,3896,494,100,33,199,2021-10-29,4523
302,3692,364,72,38,180,2021-10-30,4166
303,3053,590,92,37,171,2021-10-31,3772
304,1494,181,40,24,68,2021-11-01,1739
305,1502,176,57,29,76,2021-11-02,1764
306,1153,168,27,26,53,2021-11-03,1374
307,1622,162,27,24,59,2021-11-04,1835
308,1556,99,43,15,45,2021-11-05,1713
309,2309,266,59,22,110,2021-11-06,2656
