,date,measurements,anomalies,error,ratio
0,2022-07-03,1672881,24827,0,0.01484086435317276
1,2022-07-06,1154460,13885,0,0.012027268160005544
2,2022-07-08,558436,9486,0,0.016986727216726717
3,2022-07-14,2276204,36771,0,0.016154527450087955
4,2022-07-18,1252397,19157,0,0.015296267876719602
5,2022-07-19,1087499,17348,0,0.015952198576734324
6,2022-07-27,1129838,17724,0,0.015687204714304175
7,2022-07-28,1175827,18778,0,0.015970036408417224
8,2022-07-31,2338577,37725,0,0.016131604817801595
9,2022-08-03,2325875,40662,0,0.01748245284032891
10,2022-08-07,2350790,40862,0,0.01738224171448747
11,2022-08-10,2313322,42927,0,0.01855643096810561
12,2022-08-14,2290964,34903,0,0.01523507134987717
13,2022-08-17,2279289,36785,0,0.0161388046886551
14,2022-08-21,2272395,36225,0,0.015941330622537015
15,2022-08-24,2317815,40969,0,0.017675698880195358
16,2022-08-28,2289533,40110,0,0.017518856465488813
17,2022-08-31,2263425,40844,0,0.018045219081701404
18,2022-09-04,2308193,60254,0,0.02610440288138817
19,2022-09-07,2230901,31826,0,0.014265984909236223
20,2022-09-11,2306040,33793,0,0.01465412568732546
21,2022-09-14,2235765,30537,0,0.013658412221320219
22,2022-09-18,2290314,32443,0,0.014165306591148638
23,2022-09-21,2254893,33037,0,0.014651249527139426
24,2022-09-25,2251871,33083,0,0.014691338891082126
25,2022-09-28,2274545,36824,0,0.016189611548683362
26,2022-10-02,2308182,27450,0,0.011892476416504419
27,2022-10-05,2264497,31085,0,0.013727110258922842
28,2022-10-09,2295846,30353,0,0.01322083449848117
29,2022-10-12,2298674,32165,0,0.013992849790792431
30,2022-10-17,1310408,18412,0,0.014050585771759634
31,2022-10-18,1052175,16077,0,0.015279777603535534
32,2022-10-19,2294256,34474,0,0.015026222008354777
33,2022-10-23,2349691,33500,0,0.014257193818250996
34,2022-10-26,2344955,34805,0,0.014842502308146639
35,2022-10-30,2384402,31502,0,0.013211698362943832
36,2022-11-02,2379217,28957,0,0.012170810817172204
37,2022-11-06,2426929,25036,0,0.01031591777097723
38,2022-11-09,2409833,27690,0,0.01149042278033374
39,2022-11-13,2483816,31144,0,0.012538770987867057
40,2022-11-16,2412685,26586,0,0.011019258626799602
41,2022-11-20,2533442,25646,0,0.010122986829775459
42,2022-11-23,2522432,27493,0,0.010899401847106284
43,2022-11-27,2559287,32799,0,0.012815678741774564
44,2022-11-30,2547626,32861,0,0.012898675080251183
45,2022-12-04,2503676,30327,0,0.012112989060884875
46,2022-12-07,2496650,32139,0,0.012872849618488775
47,2022-12-11,2532286,36369,0,0.014362121814044702
48,2022-12-14,2530894,35585,0,0.014060249066140265
49,2022-12-18,2541892,34359,0,0.013517096713786423
50,2022-12-21,2523252,33501,0,0.013276914077547546
51,2022-12-25,2560474,33662,0,0.01314678454067489
52,2022-12-28,2572539,32700,0,0.012711177556491855
53,2023-01-01,2550710,34243,0,0.013424889540559296
54,2023-01-04,2542555,30270,0,0.011905347180296984
55,2023-01-08,2593640,35385,0,0.013642988232753967
56,2023-01-11,2565006,32313,0,0.012597631350569941
57,2023-01-15,2586999,34452,0,0.013317361158624337
58,2023-01-18,2582785,36953,0,0.014307423962892769
59,2023-01-22,2615411,29580,0,0.011309885903209858
60,2023-01-29,2667981,32548,0,0.012199487177757262
61,2023-02-01,2648131,33544,0,0.01266704706073831
62,2023-02-05,2639069,42196,0,0.01598897186848847
63,2023-02-08,2622384,35240,0,0.013438153985076175
64,2023-02-12,2638177,33728,0,0.012784585719608653
65,2023-02-15,2616125,34192,0,0.013069711883033111
66,2023-02-19,58810,1047,0,0.01780309471178371
67,2023-02-22,2665237,29071,0,0.010907472768838194
68,2023-02-26,2688194,31528,0,0.01172832020308058
69,2023-03-01,2663057,28672,0,0.01076657390360026
70,2023-03-05,2691363,29287,0,0.0108818468560354
71,2023-03-08,2671451,31374,0,0.011744179474001207
72,2023-03-12,2677004,32111,0,0.011995125894470087
73,2023-03-15,2658881,31216,0,0.011740277206840021
74,2023-03-19,2657348,28237,0,0.010626007583500543
75,2023-03-22,2665586,30006,0,0.011256811822991267
76,2023-03-26,2691171,29175,0,0.010841005644011473
77,2023-03-29,2672140,33983,0,0.012717522285508993
