,date,measurements,anomalies,error,ratio
0,2022-07-03,2454200,64920,0,0.026452611849075054
1,2022-07-06,1617658,41048,0,0.02537495564575454
2,2022-07-08,763716,22426,0,0.02936431867343358
3,2022-07-14,3171740,89922,0,0.028350999766689578
5,2022-07-18,1723748,46856,0,0.02718262762306323
6,2022-07-19,1631154,46069,0,0.028243194695289346
7,2022-07-27,1625244,45778,0,0.028166847562581372
8,2022-07-28,1566893,44294,0,0.02826868203508472
9,2022-07-31,3443442,96959,0,0.028157581861404955
10,2022-08-03,3235317,94856,0,0.02931891990800283
11,2022-08-07,3388213,98412,0,0.029045399448027618
12,2022-08-10,3225142,98151,0,0.030433078605531166
13,2022-08-14,3334680,93971,0,0.028179915314213058
14,2022-08-17,3208383,95711,0,0.02983153819229188
15,2022-08-21,3364872,102572,0,0.030483180340886668
16,2022-08-24,3238766,99149,0,0.030613202682750158
17,2022-08-28,3320892,99888,0,0.030078665611528468
18,2022-08-31,3183438,100696,0,0.031631211287922054
19,2022-09-04,3219484,119744,0,0.0371935378464375
20,2022-09-07,3186605,90652,0,0.028447830841914826
21,2022-09-11,3212665,91514,0,0.028485385186441788
22,2022-09-14,3127164,89285,0,0.02855142870664922
23,2022-09-18,3266799,95471,0,0.029224632430706634
24,2022-09-21,3121551,91301,0,0.029248601096057696
25,2022-09-25,3227924,96393,0,0.02986222723955087
26,2022-09-28,3140793,92984,0,0.029605262110556155
0,2022-10-02,3204862,88271,0,0.027542839598085657
1,2022-10-05,3152096,91415,0,0.029001337522715043
2,2022-10-09,3300842,91256,0,0.027646279343270595
3,2022-10-12,3088197,86464,0,0.027998213844518338
4,2022-10-17,1591823,46683,0,0.02932675303724095
5,2022-10-18,1588721,44478,0,0.02799610504298741
6,2022-10-19,3110613,93164,0,0.029950366696210682
7,2022-10-23,3263595,94785,0,0.02904312575549356
8,2022-10-26,3194515,96244,0,0.03012789108831857
9,2022-10-30,3276086,88183,0,0.026917181050802697
10,2022-11-02,3107943,80157,0,0.025791013541754143
11,2022-11-06,3245712,77340,0,0.02382836185095905
12,2022-11-09,3449012,84325,0,0.02444903062094304
13,2022-11-13,3132550,81525,0,0.026025123302102122
14,2022-11-16,2915159,75934,0,0.02604797885810002
15,2022-11-20,3265702,80144,0,0.024541124695394743
16,2022-11-23,3138577,78115,0,0.02488866769876922
17,2022-11-27,3325603,87013,0,0.026164578273474015
18,2022-11-30,3195869,88245,0,0.027612208134939198
19,2022-12-04,3215900,85102,0,0.02646288752759725
20,2022-12-07,3094226,89020,0,0.028769714946484195
21,2022-12-11,3214367,88473,0,0.02752423727595511
22,2022-12-14,3165591,89185,0,0.028173254220144044
23,2022-12-18,3273105,90079,0,0.027520962511132396
24,2022-12-21,3086905,82757,0,0.026809053080674657
25,2022-12-25,3232095,82963,0,0.025668490561075712
26,2022-12-28,3161122,82928,0,0.026233723342534706
0,2023-01-01,3180305,85893,0,0.027007786988983762
1,2023-01-04,3244491,78531,0,0.02420441295722503
2,2023-01-08,3319110,89396,0,0.026933726209736948
3,2023-01-11,3190938,85217,0,0.026705940384927566
4,2023-01-15,3320656,91793,0,0.02764303197922338
5,2023-01-18,3130890,84767,0,0.027074410151745987
6,2023-01-22,3288054,77535,0,0.02358081710336874
7,2023-01-29,3298126,95868,0,0.02906741585979432
8,2023-02-01,3182576,91651,0,0.028797741200838566
9,2023-02-05,3334226,103898,0,0.031161055069452402
10,2023-02-08,3197312,96036,0,0.030036480643740742
11,2023-02-12,3344161,93551,0,0.0279744306568972
12,2023-02-15,3195713,96077,0,0.030064339319582203
13,2023-02-19,2974466,86869,0,0.02920490602346774
14,2023-02-22,3197762,84159,0,0.02631809371679318
15,2023-02-26,3375445,94643,0,0.02803867341935656
16,2023-03-01,3270372,92191,0,0.028189759452441496
17,2023-03-05,3238688,86125,0,0.026592558468120423
18,2023-03-08,3222330,86544,0,0.026857584418728063
19,2023-03-12,3268718,91301,0,0.027931745718046037
20,2023-03-15,3151659,88167,0,0.02797479041990266
21,2023-03-19,3317716,91732,0,0.027649141758969122
22,2023-03-22,3230036,90842,0,0.028124144746374345
23,2023-03-26,3359026,95931,0,0.028559171617010406
24,2023-03-29,3275148,98659,0,0.03012352418883055
