,date,measurements,anomalies,error,ratio
13,2022-07-03,418519,8050,0,0.019234491146160628
14,2022-07-06,276838,5193,0,0.018758262955230136
15,2022-07-08,129754,2309,0,0.01779521247899872
16,2022-07-14,480044,8900,0,0.018539967169676114
17,2022-07-18,234357,4461,0,0.019035061892753363
18,2022-07-19,274108,5068,0,0.018489062705211085
19,2022-07-27,307622,6070,0,0.019732008764002575
20,2022-07-28,205668,4409,0,0.021437462317910418
21,2022-07-31,503779,9987,0,0.019824168931217856
22,2022-08-03,517881,11517,0,0.022238699624044907
23,2022-08-07,531290,12359,0,0.023262248489525496
24,2022-08-10,529921,11781,0,0.022231615655918524
25,2022-08-14,511674,10746,0,0.02100165339649855
26,2022-08-17,512223,9943,0,0.019411467271090912
27,2022-08-21,504670,11390,0,0.022569203638020886
28,2022-08-24,515548,11443,0,0.022195799421198415
29,2022-08-28,511760,11045,0,0.021582382366734407
30,2022-08-31,532478,12100,0,0.0227239435244273
31,2022-09-04,500563,14618,0,0.029203117289931538
32,2022-09-07,477867,8705,0,0.01821636564148602
33,2022-09-11,466877,8490,0,0.01818466105633818
34,2022-09-14,471334,8613,0,0.018273665808110597
35,2022-09-18,497864,9306,0,0.018691851589992446
36,2022-09-21,455848,8761,0,0.019219125673470103
37,2022-09-25,452666,8995,0,0.019871163285954764
38,2022-09-28,483827,8781,0,0.01814904914359885
39,2022-10-02,488814,8081,0,0.016531850560744986
40,2022-10-05,466814,7929,0,0.0169853517675134
41,2022-10-09,482906,8276,0,0.017137910897773067
42,2022-10-12,459819,7946,0,0.017280712628229805
43,2022-10-17,198739,3575,0,0.01798841696898948
44,2022-10-18,257545,4296,0,0.016680580092799317
45,2022-10-19,478134,7845,0,0.016407534289550628
46,2022-10-23,479245,9180,0,0.019155129422320526
47,2022-10-26,429535,8247,0,0.019199832376872665
48,2022-10-30,440952,7561,0,0.017146991055715814
49,2022-11-02,474402,7155,0,0.0150821455221521
50,2022-11-06,430936,6430,0,0.014921009152171087
51,2022-11-09,442921,6666,0,0.015050087938932677
52,2022-11-13,441621,6860,0,0.015533681595757447
53,2022-11-16,420664,6198,0,0.014733849342943537
54,2022-11-20,458646,6363,0,0.01387344487905705
55,2022-11-23,462782,5857,0,0.012656067003470316
56,2022-11-27,493540,8066,0,0.01634315354378571
57,2022-11-30,550361,8596,0,0.015618839270951248
58,2022-12-04,543035,7456,0,0.013730238382424705
59,2022-12-07,586423,8852,0,0.015094905895573673
60,2022-12-11,622631,9088,0,0.014596125152779095
61,2022-12-14,643693,9196,0,0.014286313506593982
62,2022-12-18,661304,9550,0,0.014441164729080726
63,2022-12-21,595739,8142,0,0.013667058896597336
64,2022-12-25,630007,8778,0,0.013933178520238664
65,2022-12-28,653328,9136,0,0.013983787622756105
66,2023-01-01,663243,9019,0,0.013598334245517856
67,2023-01-04,670621,8392,0,0.012513774546278748
68,2023-01-08,563126,8914,0,0.01582949464240685
69,2023-01-11,593191,8591,0,0.01448268770092601
70,2023-01-15,514703,9097,0,0.017674270404485694
71,2023-01-18,591322,9308,0,0.01574100067306814
72,2023-01-22,543558,7793,0,0.01433701647294309
73,2023-01-29,590174,9081,0,0.015386987566378728
74,2023-02-01,499608,8650,0,0.017313573841892044
75,2023-02-05,564453,10725,0,0.019000696249289135
76,2023-02-08,550307,8899,0,0.016170973656522633
77,2023-02-12,560709,8859,0,0.015799639385135605
78,2023-02-15,463278,7942,0,0.017143054494277735
79,2023-02-19,531692,9194,0,0.017291966025443303
80,2023-02-22,522650,7527,0,0.014401607194106955
81,2023-02-26,534222,8138,0,0.015233367401567138
82,2023-03-01,524584,7120,0,0.013572659478748875
83,2023-03-05,660842,9145,0,0.0138384061545725
84,2023-03-08,608569,8688,0,0.01427611330843339
85,2023-03-12,503267,9406,0,0.01868988032197621
86,2023-03-15,478365,8063,0,0.0168553301349388
87,2023-03-19,497499,8081,0,0.0162432487301482
88,2023-03-22,499740,7190,0,0.014387481490374995
89,2023-03-26,494393,8153,0,0.016490929280956648
90,2023-03-29,517758,8882,0,0.017154732519825865
