,date,country,users,lower,upper,frac
0,2021-01-01,cn,2004,113.0,5106.0,86
1,2021-01-02,cn,2133,1104.0,3812.0,83
2,2021-01-03,cn,2151,1508.0,3188.0,83
3,2021-01-04,cn,2072,1463.0,3064.0,84
4,2021-01-05,cn,2058,355.0,4731.0,83
5,2021-01-07,cn,2382,249.0,4252.0,84
6,2021-01-08,cn,2024,499.0,4025.0,81
7,2021-01-09,cn,1478,0.0,4276.0,98
8,2021-01-11,cn,4738,0.0,11063.0,105
9,2021-01-12,cn,1738,0.0,8204.0,101
10,2021-01-13,cn,1433,,,83
11,2021-01-14,cn,1427,789.0,4361.0,83
12,2021-01-15,cn,1427,567.0,3782.0,81
13,2021-01-16,cn,1379,0.0,4123.0,82
14,2021-01-17,cn,1404,,,79
15,2021-01-18,cn,1536,0.0,17464.0,78
16,2021-01-19,cn,1548,0.0,5447.0,75
17,2021-01-21,cn,2135,0.0,3450.0,84
18,2021-01-22,cn,1430,532.0,2401.0,84
19,2021-01-23,cn,1336,774.0,1995.0,84
20,2021-01-24,cn,1269,695.0,2121.0,85
21,2021-01-25,cn,1230,900.0,2150.0,86
22,2021-01-26,cn,1212,156.0,2877.0,88
23,2021-01-27,cn,1739,,,98
24,2021-01-28,cn,1373,0.0,9348.0,90
25,2021-01-29,cn,1232,789.0,1953.0,90
26,2021-01-30,cn,1135,595.0,1936.0,90
27,2021-01-31,cn,1176,631.0,1781.0,90
28,2021-02-01,cn,1297,728.0,1788.0,83
29,2021-02-02,cn,1349,686.0,1728.0,81
30,2021-02-03,cn,1401,0.0,3838.0,80
31,2021-02-04,cn,1430,0.0,3257.0,80
32,2021-02-05,cn,1428,786.0,1901.0,79
33,2021-02-06,cn,1366,740.0,1793.0,80
34,2021-02-07,cn,1263,670.0,1813.0,87
35,2021-02-08,cn,1262,747.0,1953.0,84
36,2021-02-09,cn,1335,901.0,2084.0,76
37,2021-02-10,cn,1238,775.0,2211.0,77
38,2021-02-11,cn,1126,701.0,2144.0,84
39,2021-02-12,cn,1119,381.0,2538.0,84
40,2021-02-13,cn,1060,645.0,2098.0,84
41,2021-02-14,cn,1065,556.0,2182.0,85
42,2021-02-15,cn,1063,571.0,1994.0,86
43,2021-02-16,cn,1143,764.0,1884.0,81
44,2021-02-17,cn,1602,721.0,1766.0,83
45,2021-02-18,cn,2810,760.0,1672.0,82
46,2021-02-19,cn,1225,761.0,1600.0,83
47,2021-02-20,cn,1310,682.0,1511.0,82
