,date,country,users,lower,upper,frac
0,2021-01-01,ir,35889,563.0,23278.0,86
1,2021-01-02,ir,39051,8125.0,25539.0,83
2,2021-01-03,ir,38424,19804.0,37435.0,83
3,2021-01-04,ir,36631,24065.0,44713.0,84
4,2021-01-05,ir,37868,6292.0,74313.0,83
5,2021-01-07,ir,36119,4708.0,70610.0,84
6,2021-01-08,ir,36337,9545.0,67786.0,81
7,2021-01-09,ir,29655,0.0,73756.0,98
8,2021-01-11,ir,26065,0.0,184197.0,105
9,2021-01-12,ir,29685,0.0,142061.0,101
10,2021-01-13,ir,36441,,,83
11,2021-01-14,ir,35213,12686.0,62600.0,83
12,2021-01-15,ir,36222,10883.0,63893.0,81
13,2021-01-16,ir,36807,0.0,76973.0,82
14,2021-01-17,ir,37665,,,79
15,2021-01-18,ir,39424,0.0,93225.0,78
16,2021-01-19,ir,42263,0.0,87184.0,75
17,2021-01-21,ir,36149,0.0,78929.0,84
18,2021-01-22,ir,35911,14666.0,56481.0,84
19,2021-01-23,ir,38110,22484.0,49295.0,84
20,2021-01-24,ir,38060,20276.0,52719.0,85
21,2021-01-25,ir,37816,25015.0,51290.0,86
22,2021-01-26,ir,36692,4614.0,73014.0,88
23,2021-01-27,ir,32149,,,98
24,2021-01-28,ir,33714,0.0,149228.0,90
25,2021-01-29,ir,32804,21501.0,45487.0,90
26,2021-01-30,ir,35250,18528.0,51019.0,90
27,2021-01-31,ir,35810,20689.0,49213.0,90
28,2021-02-01,ir,37975,24518.0,50568.0,83
29,2021-02-02,ir,37990,22779.0,48114.0,81
30,2021-02-03,ir,38880,0.0,66433.0,80
31,2021-02-04,ir,37321,0.0,74058.0,80
32,2021-02-05,ir,37428,22906.0,46641.0,79
33,2021-02-06,ir,38923,25299.0,51100.0,80
34,2021-02-07,ir,35306,22401.0,50697.0,87
35,2021-02-08,ir,36675,23888.0,52752.0,84
36,2021-02-09,ir,37476,27662.0,54228.0,76
37,2021-02-10,ir,34405,23395.0,56812.0,77
38,2021-02-11,ir,32612,19865.0,51863.0,84
39,2021-02-12,ir,33855,10850.0,61645.0,84
40,2021-02-13,ir,35697,20033.0,55260.0,84
41,2021-02-14,ir,34733,16988.0,56241.0,85
42,2021-02-15,ir,34577,18168.0,53420.0,86
43,2021-02-16,ir,34298,23413.0,48857.0,81
44,2021-02-17,ir,34368,21936.0,45220.0,83
45,2021-02-18,ir,35251,24231.0,44441.0,82
46,2021-02-19,ir,34728,25343.0,44378.0,83
47,2021-02-20,ir,36364,25366.0,46504.0,82
48,2021-02-21,ir,37257,24466.0,46658.0,81
49,2021-02-22,ir,35454,25182.0,46315.0,85
50,2021-02-23,ir,33783,24859.0,43089.0,89
51,2021-02-24,ir,32450,23153.0,42451.0,93
52,2021-02-25,ir,30936,20408.0,46054.0,93
53,2021-02-26,ir,30621,24259.0,40837.0,93
54,2021-02-27,ir,32014,21485.0,46967.0,93
55,2021-02-28,ir,32109,19955.0,49448.0,94
56,2021-03-01,ir,33590,22513.0,48039.0,89
