,date,country,users,lower,upper,frac
0,2021-01-01,pk,7154,307.0,13021.0,86
1,2021-01-02,pk,7185,3599.0,11634.0,83
2,2021-01-03,pk,7117,4762.0,9415.0,83
3,2021-01-04,pk,6832,4536.0,8878.0,84
4,2021-01-05,pk,7497,1052.0,13135.0,83
5,2021-01-07,pk,7009,984.0,15463.0,84
6,2021-01-08,pk,6838,1856.0,13838.0,81
7,2021-01-09,pk,5164,0.0,13906.0,98
8,2021-01-11,pk,7291,0.0,35226.0,105
9,2021-01-12,pk,8955,0.0,28788.0,101
10,2021-01-13,pk,7319,,,83
11,2021-01-14,pk,6454,2400.0,12446.0,83
12,2021-01-15,pk,5986,1995.0,12327.0,81
13,2021-01-16,pk,5893,0.0,13802.0,82
14,2021-01-17,pk,6022,,,79
15,2021-01-18,pk,6316,0.0,26606.0,78
16,2021-01-19,pk,6199,0.0,26760.0,75
17,2021-01-21,pk,5933,0.0,14846.0,84
18,2021-01-22,pk,5789,2353.0,9598.0,84
19,2021-01-23,pk,5747,3494.0,8120.0,84
20,2021-01-24,pk,5451,3148.0,8669.0,85
21,2021-01-25,pk,5497,3894.0,8446.0,86
22,2021-01-26,pk,5541,656.0,11019.0,88
23,2021-01-27,pk,5113,,,98
24,2021-01-28,pk,5989,0.0,25191.0,90
25,2021-01-29,pk,4870,3363.0,7545.0,90
26,2021-01-30,pk,4899,2709.0,7922.0,90
27,2021-01-31,pk,4395,2869.0,7267.0,90
28,2021-02-01,pk,4792,3452.0,7577.0,83
29,2021-02-02,pk,4414,3333.0,7485.0,81
30,2021-02-03,pk,4564,0.0,10892.0,80
31,2021-02-04,pk,4422,0.0,13518.0,80
32,2021-02-05,pk,4373,3288.0,7149.0,79
33,2021-02-06,pk,4793,3398.0,7336.0,80
34,2021-02-07,pk,4413,2648.0,6447.0,87
35,2021-02-08,pk,4997,2909.0,6886.0,84
36,2021-02-09,pk,5637,3094.0,6531.0,76
37,2021-02-10,pk,6099,2646.0,6908.0,77
38,2021-02-11,pk,5590,2266.0,6368.0,84
39,2021-02-12,pk,5332,1220.0,7467.0,84
40,2021-02-13,pk,5680,2380.0,7040.0,84
41,2021-02-14,pk,6416,2045.0,7281.0,85
42,2021-02-15,pk,6060,2392.0,7518.0,86
43,2021-02-16,pk,5692,3414.0,7569.0,81
44,2021-02-17,pk,5612,3780.0,8235.0,83
45,2021-02-18,pk,5737,4031.0,7837.0,82
46,2021-02-19,pk,5353,3867.0,7202.0,83
47,2021-02-20,pk,5169,3915.0,7616.0,82
48,2021-02-21,pk,4801,4398.0,8844.0,81
49,2021-02-22,pk,4754,4289.0,8340.0,85
50,2021-02-23,pk,4854,4004.0,7358.0,89
51,2021-02-24,pk,5324,3668.0,7135.0,93
52,2021-02-25,pk,5179,3222.0,7713.0,93
53,2021-02-26,pk,4955,3622.0,6487.0,93
54,2021-02-27,pk,4866,2955.0,6890.0,93
55,2021-02-28,pk,4923,2482.0,6589.0,94
56,2021-03-01,pk,4832,2914.0,6660.0,89
57,2021-03-02,pk,5130,3428.0,6738.0,84
58,2021-03-03,pk,5371,3804.0,7215.0,90
59,2021-03-04,pk,5071,3343.0,7284.0,89
60,2021-03-05,pk,5166,3503.0,6893.0,87
61,2021-03-06,pk,4611,3070.0,7496.0,87
62,2021-03-07,pk,4264,2751.0,8006.0,87
63,2021-03-08,pk,4511,2677.0,7362.0,85
64,2021-03-09,pk,4858,3518.0,7260.0,83
65,2021-03-10,pk,4936,3869.0,7454.0,86
66,2021-03-11,pk,4703,3953.0,6609.0,85
67,2021-03-12,pk,4671,3396.0,7399.0,86
68,2021-03-13,pk,4562,3179.0,6163.0,86
69,2021-03-14,pk,4667,2858.0,5816.0,86
70,2021-03-15,pk,5082,2912.0,6460.0,87
71,2021-03-16,pk,4940,3143.0,6488.0,82
72,2021-03-17,pk,4970,3175.0,6739.0,81
73,2021-03-18,pk,4775,2874.0,6392.0,85
74,2021-03-19,pk,4790,2536.0,6845.0,85
75,2021-03-20,pk,4702,2530.0,6688.0,85
76,2021-03-21,pk,4457,2352.0,7085.0,83
77,2021-03-22,pk,4536,2090.0,8181.0,81
78,2021-03-23,pk,4675,1930.0,8325.0,82
79,2021-03-24,pk,5109,2481.0,7928.0,82
80,2021-03-25,pk,4851,3120.0,6839.0,80
81,2021-03-26,pk,4600,3108.0,6703.0,81
82,2021-03-27,pk,4340,3013.0,6238.0,87
83,2021-03-28,pk,4140,2717.0,6036.0,84
84,2021-03-29,pk,4195,2365.0,5987.0,87
85,2021-03-30,pk,4356,2271.0,5957.0,88
86,2021-03-31,pk,4786,1954.0,7248.0,84
87,2021-04-01,pk,4827,1653.0,7275.0,82
88,2021-04-02,pk,4816,1911.0,6478.0,83
89,2021-04-03,pk,4671,2123.0,6461.0,83
90,2021-04-04,pk,4515,2097.0,6234.0,83
91,2021-04-05,pk,4768,2613.0,6166.0,83
92,2021-04-06,pk,5297,2091.0,7714.0,83
93,2021-04-07,pk,6752,2541.0,8320.0,82
94,2021-04-08,pk,5832,2869.0,7709.0,84
95,2021-04-09,pk,5038,3172.0,7238.0,84
96,2021-04-10,pk,4887,2358.0,7664.0,83
97,2021-04-11,pk,4791,2263.0,7373.0,83
98,2021-04-12,pk,5162,2427.0,7893.0,83
99,2021-04-13,pk,5046,3050.0,7859.0,83
100,2021-04-14,pk,5246,4299.0,9125.0,82
101,2021-04-15,pk,5935,3968.0,8061.0,83
102,2021-04-16,pk,5487,2769.0,7874.0,83
103,2021-04-17,pk,4737,2538.0,7703.0,83
104,2021-04-18,pk,4536,2315.0,7391.0,84
105,2021-04-19,pk,5012,2634.0,8005.0,85
106,2021-04-20,pk,4967,3160.0,6923.0,85
107,2021-04-21,pk,5631,3391.0,7321.0,84
108,2021-04-22,pk,7619,3164.0,8928.0,86
109,2021-04-23,pk,7270,2919.0,8190.0,88
110,2021-04-24,pk,6978,2753.0,6649.0,87
111,2021-04-25,pk,7139,2592.0,6658.0,86
112,2021-04-26,pk,8368,2670.0,7096.0,87
113,2021-04-27,pk,7104,3109.0,7065.0,86
114,2021-04-28,pk,6670,3483.0,7749.0,89
115,2021-04-29,pk,7009,4594.0,10257.0,90
116,2021-04-30,pk,6635,3543.0,10770.0,90
117,2021-05-01,pk,6631,3958.0,10716.0,85
118,2021-05-02,pk,6629,4282.0,10017.0,85
119,2021-05-03,pk,8079,4881.0,12093.0,84
120,2021-05-04,pk,7176,4577.0,10341.0,81
121,2021-05-05,pk,7362,4844.0,9598.0,85
122,2021-05-06,pk,6923,4689.0,10277.0,87
123,2021-05-07,pk,6294,3477.0,10790.0,87
124,2021-05-08,pk,6039,2795.0,10828.0,86
125,2021-05-09,pk,5491,3565.0,9659.0,84
126,2021-05-10,pk,5373,3246.0,12456.0,85
127,2021-05-11,pk,5731,3311.0,10985.0,83
128,2021-05-12,pk,5480,2845.0,11347.0,83
129,2021-05-13,pk,4935,3739.0,9913.0,85
130,2021-05-14,pk,5153,4095.0,8153.0,86
131,2021-05-15,pk,5604,3241.0,8958.0,86
132,2021-05-16,pk,6075,3034.0,8530.0,86
133,2021-05-17,pk,7526,2429.0,9707.0,86
134,2021-05-18,pk,7709,3371.0,8551.0,85
135,2021-05-19,pk,7202,2585.0,8812.0,83
136,2021-05-20,pk,7718,2758.0,7900.0,84
137,2021-05-21,pk,7321,3165.0,7779.0,84
138,2021-05-22,pk,6720,2743.0,9524.0,86
139,2021-05-23,pk,6736,3589.0,9355.0,87
140,2021-05-24,pk,8177,4576.0,10924.0,85
141,2021-05-25,pk,8118,5557.0,10142.0,85
142,2021-05-26,pk,9608,3490.0,11593.0,85
143,2021-05-27,pk,8522,5037.0,10473.0,86
144,2021-05-28,pk,6923,4190.0,10034.0,91
145,2021-05-29,pk,6298,4289.0,8594.0,91
146,2021-05-30,pk,6347,4657.0,8601.0,91
147,2021-05-31,pk,7279,5572.0,10036.0,91
148,2021-06-01,pk,7935,5350.0,10623.0,86
149,2021-06-02,pk,8186,6004.0,12874.0,87
150,2021-06-03,pk,7408,5021.0,12100.0,84
151,2021-06-04,pk,6570,3351.0,10778.0,84
152,2021-06-05,pk,5956,3239.0,9815.0,86
153,2021-06-06,pk,5682,4321.0,8646.0,84
154,2021-06-07,pk,5868,4848.0,10235.0,85
155,2021-06-08,pk,5776,4519.0,11698.0,86
156,2021-06-09,pk,5751,4995.0,11558.0,85
157,2021-06-10,pk,5843,4241.0,10744.0,85
158,2021-06-11,pk,5763,4333.0,8843.0,86
159,2021-06-12,pk,5840,3735.0,8167.0,86
160,2021-06-13,pk,5636,3650.0,7309.0,86
161,2021-06-14,pk,6795,3997.0,7979.0,84
162,2021-06-15,pk,8290,2818.0,9670.0,85
163,2021-06-16,pk,7975,2813.0,9103.0,85
164,2021-06-17,pk,7045,3128.0,8626.0,84
165,2021-06-18,pk,6763,3461.0,8440.0,79
166,2021-06-19,pk,6154,3834.0,7869.0,83
167,2021-06-20,pk,5607,3695.0,7858.0,83
168,2021-06-21,pk,5891,4057.0,8941.0,84
169,2021-06-22,pk,5877,4410.0,11183.0,86
170,2021-06-23,pk,6170,4072.0,11325.0,87
171,2021-06-24,pk,6143,4312.0,9761.0,87
172,2021-06-25,pk,5979,4676.0,8688.0,87
173,2021-06-26,pk,5733,4308.0,7788.0,90
174,2021-06-27,pk,5558,3788.0,7254.0,89
175,2021-06-28,pk,6114,4196.0,7526.0,89
176,2021-06-29,pk,6561,3799.0,7708.0,90
177,2021-06-30,pk,7036,4115.0,7716.0,89
178,2021-07-01,pk,7739,3989.0,8270.0,87
179,2021-07-02,pk,7293,3960.0,8167.0,86
