,date,country,users,lower,upper,frac
0,2021-01-01,ru,313827,17796.0,694224.0,86
1,2021-01-02,ru,328676,171296.0,514919.0,83
2,2021-01-03,ru,328030,239858.0,439315.0,83
3,2021-01-04,ru,342207,252820.0,456701.0,84
4,2021-01-05,ru,367822,59601.0,685741.0,83
5,2021-01-07,ru,365376,43369.0,633157.0,84
6,2021-01-08,ru,374044,84568.0,585162.0,81
7,2021-01-09,ru,306479,0.0,613232.0,98
8,2021-01-11,ru,314452,0.0,1698620.0,105
9,2021-01-12,ru,355265,0.0,1362233.0,101
10,2021-01-13,ru,404182,,,83
11,2021-01-14,ru,381460,130084.0,624895.0,83
12,2021-01-15,ru,386179,113564.0,649011.0,81
13,2021-01-16,ru,366665,0.0,783855.0,82
14,2021-01-17,ru,362676,,,79
15,2021-01-18,ru,348925,0.0,1106556.0,78
16,2021-01-19,ru,370616,0.0,1027672.0,75
17,2021-01-21,ru,356876,0.0,843423.0,84
18,2021-01-22,ru,336671,158520.0,594138.0,84
19,2021-01-23,ru,320996,226999.0,484666.0,84
20,2021-01-24,ru,323952,197815.0,501137.0,85
21,2021-01-25,ru,337886,224195.0,448383.0,86
22,2021-01-26,ru,333595,40961.0,632714.0,88
23,2021-01-27,ru,319916,,,98
24,2021-01-28,ru,388969,0.0,1453907.0,90
25,2021-01-29,ru,341018,204290.0,420898.0,90
26,2021-01-30,ru,317807,158041.0,424444.0,90
27,2021-01-31,ru,325041,178342.0,413713.0,90
28,2021-02-01,ru,360160,221903.0,446170.0,83
29,2021-02-02,ru,346396,209835.0,431850.0,81
30,2021-02-03,ru,345434,0.0,651868.0,80
31,2021-02-04,ru,351343,0.0,842420.0,80
32,2021-02-05,ru,350601,241551.0,478108.0,79
33,2021-02-06,ru,344703,231159.0,454724.0,80
34,2021-02-07,ru,315568,206051.0,454218.0,87
35,2021-02-08,ru,372146,229530.0,493962.0,84
36,2021-02-09,ru,392833,255496.0,488243.0,76
37,2021-02-10,ru,371526,210501.0,498527.0,77
38,2021-02-11,ru,351755,189482.0,482006.0,84
39,2021-02-12,ru,347086,102976.0,570091.0,84
40,2021-02-13,ru,314437,179670.0,483354.0,84
41,2021-02-14,ru,312854,153880.0,496171.0,85
42,2021-02-15,ru,325732,186847.0,534960.0,86
43,2021-02-16,ru,327223,248732.0,505437.0,81
44,2021-02-17,ru,332289,240239.0,481617.0,83
45,2021-02-18,ru,341878,265165.0,472589.0,82
46,2021-02-19,ru,341260,263490.0,448760.0,83
47,2021-02-20,ru,336006,226410.0,404365.0,82
48,2021-02-21,ru,323055,223357.0,414770.0,81
49,2021-02-22,ru,316677,240480.0,430516.0,85
50,2021-02-23,ru,302759,240446.0,405600.0,89
