,date,country,users,lower,upper,frac
0,2021-01-01,tr,78362,4706.0,185777.0,86
1,2021-01-02,tr,76707,37273.0,113655.0,83
2,2021-01-03,tr,73091,59302.0,110028.0,83
3,2021-01-04,tr,96428,80178.0,146259.0,84
4,2021-01-05,tr,79560,17261.0,200761.0,83
5,2021-01-07,tr,65910,13412.0,197894.0,84
6,2021-01-08,tr,60309,20975.0,147081.0,81
7,2021-01-09,tr,52236,0.0,144107.0,98
8,2021-01-11,tr,40366,0.0,481321.0,105
9,2021-01-12,tr,41476,0.0,296722.0,101
10,2021-01-13,tr,62786,,,83
11,2021-01-14,tr,62913,23269.0,113661.0,83
12,2021-01-15,tr,58605,18144.0,105588.0,81
13,2021-01-16,tr,76795,0.0,134871.0,82
14,2021-01-17,tr,87421,,,79
15,2021-01-18,tr,93087,0.0,143729.0,78
16,2021-01-19,tr,94713,0.0,121417.0,75
17,2021-01-21,tr,91339,0.0,140324.0,84
18,2021-01-22,tr,78779,23830.0,91006.0,84
19,2021-01-23,tr,79078,47196.0,102246.0,84
20,2021-01-24,tr,73734,47376.0,121567.0,85
21,2021-01-25,tr,73294,59457.0,120323.0,86
22,2021-01-26,tr,61520,10405.0,162657.0,88
23,2021-01-27,tr,51633,,,98
24,2021-01-28,tr,47162,0.0,374367.0,90
25,2021-01-29,tr,56114,47474.0,99159.0,90
26,2021-01-30,tr,51247,38673.0,105256.0,90
27,2021-01-31,tr,58650,40300.0,94836.0,90
28,2021-02-01,tr,97491,47780.0,97490.0,83
29,2021-02-02,tr,103447,38364.0,80319.0,81
30,2021-02-03,tr,98883,0.0,106235.0,80
31,2021-02-04,tr,93559,0.0,103280.0,80
32,2021-02-05,tr,84978,39374.0,79403.0,79
33,2021-02-06,tr,87171,36907.0,74043.0,80
34,2021-02-07,tr,93281,36849.0,82680.0,87
35,2021-02-08,tr,110494,61774.0,134470.0,84
36,2021-02-09,tr,130510,75899.0,146569.0,76
37,2021-02-10,tr,130301,59925.0,143489.0,77
38,2021-02-11,tr,113486,50159.0,129106.0,84
39,2021-02-12,tr,94389,24797.0,139069.0,84
40,2021-02-13,tr,84194,45150.0,122996.0,84
41,2021-02-14,tr,97278,45232.0,147478.0,85
42,2021-02-15,tr,209555,55193.0,159640.0,86
43,2021-02-16,tr,152962,82274.0,168650.0,81
44,2021-02-17,tr,105288,83901.0,169619.0,83
45,2021-02-18,tr,96140,85140.0,153195.0,82
46,2021-02-19,tr,89082,71239.0,122744.0,83
47,2021-02-20,tr,74641,60247.0,108940.0,82
48,2021-02-21,tr,121687,69082.0,129645.0,81
49,2021-02-22,tr,262706,154460.0,277410.0,85
50,2021-02-23,tr,119048,112058.0,190167.0,89
51,2021-02-24,tr,79514,71551.0,128950.0,93
52,2021-02-25,tr,77130,56100.0,124639.0,93
53,2021-02-26,tr,73774,62703.0,103980.0,93
54,2021-02-27,tr,65645,44365.0,95847.0,93
55,2021-02-28,tr,68817,65748.0,160136.0,94
56,2021-03-01,tr,75746,168940.0,351584.0,89
57,2021-03-02,tr,66127,87821.0,158537.0,84
58,2021-03-03,tr,65623,59053.0,103867.0,90
59,2021-03-04,tr,69901,51783.0,104499.0,89
60,2021-03-05,tr,65571,54301.0,98774.0,87
61,2021-03-06,tr,68496,43094.0,97360.0,87
62,2021-03-07,tr,68933,40028.0,107754.0,87
63,2021-03-08,tr,70931,43729.0,110987.0,85
64,2021-03-09,tr,68933,47121.0,90237.0,83
65,2021-03-10,tr,68818,49052.0,87901.0,86
66,2021-03-11,tr,69510,56674.0,87765.0,85
67,2021-03-12,tr,67690,44778.0,90576.0,86
68,2021-03-13,tr,62047,49224.0,87992.0,86
69,2021-03-14,tr,61904,48281.0,90182.0,86
70,2021-03-15,tr,60518,47791.0,97556.0,87
71,2021-03-16,tr,61011,46426.0,88609.0,82
72,2021-03-17,tr,62313,46061.0,90471.0,81
73,2021-03-18,tr,56455,44269.0,90857.0,85
74,2021-03-19,tr,58970,38307.0,95392.0,85
75,2021-03-20,tr,60051,35864.0,87475.0,85
76,2021-03-21,tr,55994,32497.0,90431.0,83
77,2021-03-22,tr,49926,25856.0,93970.0,81
78,2021-03-23,tr,65740,24787.0,99075.0,82
79,2021-03-24,tr,84543,32345.0,95797.0,82
80,2021-03-25,tr,81075,38370.0,77902.0,80
81,2021-03-26,tr,69829,39805.0,79474.0,81
82,2021-03-27,tr,63859,40066.0,76691.0,87
83,2021-03-28,tr,55493,35564.0,72938.0,84
84,2021-03-29,tr,60318,27088.0,63462.0,87
85,2021-03-30,tr,60809,33266.0,80573.0,88
86,2021-03-31,tr,61155,33671.0,115424.0,84
87,2021-04-01,tr,64213,28792.0,116897.0,82
