,Signal Start,Signal End,Type,Country,Dataset
0,2022-04-28,2022-05-04,MK Increasing,cn,http
1,2023-01-08,2023-01-09,MK Decreasing,cn,http
2,2021-12-05,2021-12-08,MK Increasing,ir,http
3,2022-08-22,2022-09-19,MK Increasing,ir,http
4,2022-09-29,2022-10-03,MK Increasing,ir,http
5,2021-04-06,2021-04-19,MK Decreasing,ir,http
6,2022-04-29,2022-05-04,MK Decreasing,ir,http
7,2023-02-08,2023-02-12,MK Decreasing,ir,http
8,2021-05-03,2021-05-17,CC Below,ir,http
9,2021-12-05,2021-12-12,CC Below,ir,http
10,2022-05-08,2022-06-08,CC Below,ir,http
11,2023-01-25,2023-01-29,CC Below,ir,http
12,2023-02-15,2023-03-15,CC Below,ir,http
13,2021-05-13,2021-05-23,MK Increasing,mm,http
14,2021-12-23,2021-12-26,MK Increasing,mm,http
15,2021-02-08,2021-02-11,MK Decreasing,mm,http
16,2022-08-11,2022-08-14,CC Above,mm,http
17,2021-11-14,2021-11-17,MK Increasing,pk,http
18,2021-02-24,2021-02-25,MK Decreasing,pk,http
19,2021-04-11,2021-04-12,MK Decreasing,pk,http
20,2021-12-26,2021-12-27,MK Decreasing,pk,http
21,2021-07-14,2021-08-15,CC Above,pk,http
22,2021-08-22,2021-08-29,CC Above,pk,http
23,2022-02-28,2022-03-07,CC Above,pk,http
24,2021-10-04,2021-10-14,CC Below,pk,http
25,2021-05-13,2021-05-19,MK Increasing,ru,http
26,2021-07-11,2021-07-15,MK Increasing,ru,http
27,2021-11-21,2021-12-08,MK Increasing,ru,http
28,2022-11-20,2022-11-21,MK Increasing,ru,http
29,2021-08-23,2021-08-25,MK Decreasing,ru,http
30,2022-03-21,2022-03-23,MK Decreasing,ru,http
31,2023-02-15,2023-02-16,CC Above,ru,http
32,2021-01-03,2021-01-07,MK Increasing,tr,http
33,2021-05-09,2021-05-10,MK Increasing,tr,http
34,2021-02-01,2021-02-04,MK Decreasing,tr,http
35,2021-11-04,2021-11-08,MK Decreasing,tr,http
36,2022-04-21,2022-04-24,MK Decreasing,tr,http
37,2021-12-16,2022-04-28,CC Above,tr,http
38,2021-01-12,2021-01-15,MK Increasing,cn,https
39,2021-11-22,2021-12-03,MK Increasing,cn,https
40,2021-12-19,2021-12-20,MK Increasing,cn,https
41,2022-02-21,2022-02-23,MK Increasing,cn,https
42,2022-03-14,2022-03-16,MK Increasing,cn,https
