,Start Date,End Date,MK Signal,Control Limit Signal,Current Mean,Current UCL,Current LCL
0,2021-01-01,2021-02-18,decreasing,Waiting,0,0,0
1,2021-01-07,2021-02-23,no trend,Waiting,0,0,0
2,2021-01-13,2021-02-28,no trend,Waiting,0,0,0
3,2021-01-18,2021-03-05,no trend,Waiting,0,0,0
4,2021-01-24,2021-03-10,no trend,Waiting,0,0,0
5,2021-01-29,2021-03-15,no trend,Waiting,0,0,0
6,2021-02-03,2021-03-20,no trend,Waiting,0,0,0
7,2021-02-08,2021-03-25,no trend,Waiting,0,0,0
8,2021-02-13,2021-03-30,no trend,Waiting,0,0,0
9,2021-02-18,2021-04-04,decreasing,Waiting,0,0,0
10,2021-02-23,2021-04-09,decreasing,Waiting,0,0,0
11,2021-02-28,2021-04-14,decreasing,Waiting,0,0,0
12,2021-03-05,2021-04-19,no trend,Waiting,0,0,0
13,2021-03-10,2021-04-24,no trend,Waiting,0,0,0
14,2021-03-15,2021-04-29,no trend,Waiting,0,0,0
15,2021-03-20,2021-05-04,no trend,Waiting,0,0,0
16,2021-03-25,2021-05-09,increasing,Waiting,0,0,0
17,2021-03-30,2021-05-14,increasing,Waiting,0,0,0
18,2021-04-04,2021-05-19,increasing,Waiting,0,0,0
19,2021-04-09,2021-05-24,increasing,Waiting,0,0,0
20,2021-04-14,2021-05-29,increasing,Waiting,0,0,0
21,2021-04-19,2021-06-03,increasing,Waiting,0,0,0
22,2021-04-24,2021-06-08,increasing,Waiting,0,0,0
23,2021-04-29,2021-06-13,no trend,Waiting,0,0,0
24,2021-05-04,2021-06-18,no trend,Waiting,0,0,0
25,2021-05-09,2021-06-23,no trend,Waiting,0,0,0
26,2021-05-14,2021-06-28,decreasing,Waiting,0,0,0
27,2021-05-19,2021-07-03,decreasing,Waiting,0,0,0
28,2021-05-24,2021-07-08,no trend,Waiting,0,0,0
29,2021-05-29,2021-07-13,no trend,Waiting,0,0,0
30,2021-06-03,2021-07-18,no trend,Waiting,0,0,0
31,2021-06-08,2021-07-23,no trend,Waiting,0,0,0
32,2021-06-13,2021-07-28,increasing,Waiting,0,0,0
33,2021-06-18,2021-08-02,no trend,Waiting,0,0,0
34,2021-06-23,2021-08-07,no trend,Waiting,0,0,0
35,2021-06-28,2021-08-12,no trend,Waiting,0,0,0
36,2021-07-03,2021-08-17,no trend,Waiting,0,0,0
37,2021-07-08,2021-08-22,decreasing,Waiting,0,0,0
38,2021-07-13,2021-08-27,decreasing,Waiting,0,0,0
39,2021-07-18,2021-09-01,no trend,Waiting,0,0,0
40,2021-07-23,2021-09-06,no trend,Waiting,0,0,0
41,2021-07-28,2021-09-11,no trend,Waiting,0,0,0
42,2021-08-02,2021-09-16,no trend,Waiting,0,0,0
43,2021-08-07,2021-09-21,no trend,Waiting,0,0,0
44,2021-08-12,2021-09-26,increasing,Waiting,0,0,0
45,2021-08-17,2021-10-01,no trend,Waiting,0,0,0
46,2021-08-22,2021-10-06,no trend,Waiting,0,0,0
47,2021-08-27,2021-10-11,no trend,Waiting,0,0,0
48,2021-09-01,2021-10-16,no trend,Waiting,0,0,0
49,2021-09-06,2021-10-21,no trend,Waiting,0,0,0
50,2021-09-11,2021-10-26,no trend,Waiting,0,0,0
51,2021-09-16,2021-10-31,no trend,Waiting,0,0,0
52,2021-09-21,2021-11-05,no trend,Waiting,0,0,0
53,2021-09-26,2021-11-10,no trend,Waiting,0,0,0
54,2021-10-01,2021-11-15,no trend,Waiting,0,0,0
55,2021-10-06,2021-11-20,no trend,Waiting,0,0,0
56,2021-10-11,2021-11-25,no trend,Waiting,0,0,0
57,2021-10-16,2021-11-30,no trend,Waiting,0,0,0
58,2021-10-21,2021-12-05,increasing,Waiting,0,0,0
59,2021-10-26,2021-12-10,no trend,Waiting,0,0,0
60,2021-10-31,2021-12-15,no trend,Waiting,0,0,0
61,2021-11-05,2021-12-20,no trend,Waiting,0,0,0
62,2021-11-10,2021-12-25,no trend,Waiting,0,0,0
63,2021-11-15,2021-12-30,decreasing,Waiting,0,0,0
64,2021-11-20,2022-01-04,decreasing,Waiting,0,0,0
65,2021-11-25,2022-01-09,decreasing,Waiting,0,0,0
66,2021-11-30,2022-01-14,decreasing,Waiting,0,0,0
67,2021-12-05,2022-01-19,decreasing,Waiting,0,0,0
68,2021-12-10,2022-01-25,decreasing,Waiting,0,0,0
69,2021-12-15,2022-01-30,decreasing,Waiting,0,0,0
70,2021-12-20,2022-02-04,decreasing,Waiting,0,0,0
71,2021-12-25,2022-02-09,decreasing,Waiting,0,0,0
