,Start Date,End Date,MK Signal,Control Limit Signal,Current Mean,Current UCL,Current LCL
0,2021-01-01,2021-01-21,no trend,Waiting,0,0,0
1,2021-01-04,2021-01-22,no trend,Waiting,0,0,0
2,2021-01-05,2021-01-26,no trend,Waiting,0,0,0
3,2021-01-07,2021-01-27,no trend,Waiting,0,0,0
4,2021-01-08,2021-01-29,no trend,Waiting,0,0,0
5,2021-01-14,2021-01-30,no trend,Waiting,0,0,0
6,2021-01-15,2021-02-01,no trend,Waiting,0,0,0
7,2021-01-18,2021-02-02,no trend,Waiting,0,0,0
8,2021-01-19,2021-02-04,no trend,Waiting,0,0,0
9,2021-01-21,2021-02-05,no trend,Waiting,0,0,0
10,2021-01-22,2021-02-09,no trend,Waiting,0,0,0
11,2021-01-26,2021-02-12,no trend,Waiting,0,0,0
12,2021-01-27,2021-02-15,no trend,Waiting,0,0,0
13,2021-01-29,2021-02-16,no trend,Waiting,0,0,0
14,2021-01-30,2021-02-18,no trend,Waiting,0,0,0
15,2021-02-01,2021-02-19,no trend,Waiting,0,0,0
16,2021-02-02,2021-02-22,no trend,Waiting,0,0,0
17,2021-02-04,2021-02-23,no trend,Waiting,0,0,0
18,2021-02-05,2021-02-25,no trend,Waiting,0,0,0
19,2021-02-09,2021-02-26,no trend,within limits,0.23973998451936773,0.40159654982099846,0.07788341921773698
20,2021-02-12,2021-03-01,no trend,within limits,0.23973998451936773,0.40159654982099846,0.07788341921773698
21,2021-02-15,2021-03-02,no trend,within limits,0.23973998451936773,0.40159654982099846,0.07788341921773698
22,2021-02-16,2021-03-18,no trend,within limits,0.23973998451936773,0.40159654982099846,0.07788341921773698
23,2021-02-18,2021-03-19,no trend,within limits,0.23973998451936773,0.40159654982099846,0.07788341921773698
24,2021-02-19,2021-03-23,no trend,within limits,0.23973998451936773,0.40159654982099846,0.07788341921773698
25,2021-02-22,2021-03-25,no trend,within limits,0.23973998451936773,0.40159654982099846,0.07788341921773698
26,2021-02-23,2021-03-26,no trend,within limits,0.23973998451936773,0.40159654982099846,0.07788341921773698
27,2021-02-25,2021-03-30,no trend,within limits,0.23973998451936773,0.40159654982099846,0.07788341921773698
28,2021-02-26,2021-04-02,no trend,within limits,0.23973998451936773,0.40159654982099846,0.07788341921773698
29,2021-03-01,2021-04-06,no trend,within limits,0.23973998451936773,0.40159654982099846,0.07788341921773698
30,2021-03-02,2021-04-08,no trend,within limits,0.23973998451936773,0.40159654982099846,0.07788341921773698
31,2021-03-18,2021-04-09,no trend,within limits,0.23973998451936773,0.40159654982099846,0.07788341921773698
32,2021-03-19,2021-04-12,no trend,within limits,0.23973998451936773,0.40159654982099846,0.07788341921773698
33,2021-03-23,2021-04-13,no trend,within limits,0.23973998451936773,0.40159654982099846,0.07788341921773698
34,2021-03-25,2021-04-15,no trend,within limits,0.23973998451936773,0.40159654982099846,0.07788341921773698
35,2021-03-26,2021-04-16,decreasing,within limits,0.23973998451936773,0.40159654982099846,0.07788341921773698
36,2021-03-30,2021-04-19,no trend,within limits,0.23973998451936773,0.40159654982099846,0.07788341921773698
37,2021-04-02,2021-04-20,no trend,within limits,0.23973998451936773,0.40159654982099846,0.07788341921773698
38,2021-04-06,2021-04-22,no trend,within limits,0.23973998451936773,0.40159654982099846,0.07788341921773698
39,2021-04-08,2021-04-23,no trend,within limits,0.23973998451936773,0.40159654982099846,0.07788341921773698
40,2021-04-09,2021-04-26,no trend,within limits,0.23973998451936773,0.40159654982099846,0.07788341921773698
41,2021-04-12,2021-04-27,no trend,within limits,0.23973998451936773,0.40159654982099846,0.07788341921773698
42,2021-04-13,2021-04-29,no trend,within limits,0.23973998451936773,0.40159654982099846,0.07788341921773698
43,2021-04-15,2021-04-30,no trend,within limits,0.23973998451936773,0.40159654982099846,0.07788341921773698
44,2021-04-16,2021-05-03,no trend,within limits,0.23973998451936773,0.40159654982099846,0.07788341921773698
45,2021-04-19,2021-05-04,no trend,within limits,0.23973998451936773,0.40159654982099846,0.07788341921773698
46,2021-04-20,2021-05-06,no trend,within limits,0.23973998451936773,0.40159654982099846,0.07788341921773698
47,2021-04-22,2021-05-07,no trend,within limits,0.23973998451936773,0.40159654982099846,0.07788341921773698
48,2021-04-23,2021-05-10,no trend,within limits,0.23973998451936773,0.40159654982099846,0.07788341921773698
49,2021-04-26,2021-05-11,no trend,within limits,0.23973998451936773,0.40159654982099846,0.07788341921773698
50,2021-04-27,2021-05-13,no trend,within limits,0.23973998451936773,0.40159654982099846,0.07788341921773698
51,2021-04-29,2021-05-14,no trend,within limits,0.23973998451936773,0.40159654982099846,0.07788341921773698
52,2021-04-30,2021-05-17,no trend,within limits,0.23973998451936773,0.40159654982099846,0.07788341921773698
53,2021-05-03,2021-05-18,no trend,within limits,0.23973998451936773,0.40159654982099846,0.07788341921773698
54,2021-05-04,2021-05-20,no trend,within limits,0.23973998451936773,0.40159654982099846,0.07788341921773698
55,2021-05-06,2021-05-21,no trend,within limits,0.23973998451936773,0.40159654982099846,0.07788341921773698
56,2021-05-07,2021-05-24,no trend,within limits,0.23973998451936773,0.40159654982099846,0.07788341921773698
57,2021-05-10,2021-05-25,no trend,within limits,0.23973998451936773,0.40159654982099846,0.07788341921773698
58,2021-05-11,2021-05-27,no trend,within limits,0.23973998451936773,0.40159654982099846,0.07788341921773698
59,2021-05-13,2021-05-28,no trend,within limits,0.23973998451936773,0.40159654982099846,0.07788341921773698
60,2021-05-14,2021-06-04,no trend,within limits,0.23973998451936773,0.40159654982099846,0.07788341921773698
61,2021-05-17,2021-06-07,no trend,within limits,0.23973998451936773,0.40159654982099846,0.07788341921773698
62,2021-05-18,2021-06-08,no trend,within limits,0.23973998451936773,0.40159654982099846,0.07788341921773698
63,2021-05-20,2021-06-10,no trend,within limits,0.23973998451936773,0.40159654982099846,0.07788341921773698
64,2021-05-21,2021-06-11,no trend,within limits,0.23973998451936773,0.40159654982099846,0.07788341921773698
65,2021-05-24,2021-06-14,no trend,within limits,0.23973998451936773,0.40159654982099846,0.07788341921773698
66,2021-05-25,2021-06-15,no trend,within limits,0.23973998451936773,0.40159654982099846,0.07788341921773698
67,2021-05-27,2021-06-17,no trend,within limits,0.23973998451936773,0.40159654982099846,0.07788341921773698
68,2021-05-28,2021-06-18,no trend,within limits,0.23973998451936773,0.40159654982099846,0.07788341921773698
69,2021-06-04,2021-06-21,no trend,within limits,0.23973998451936773,0.40159654982099846,0.07788341921773698
70,2021-06-07,2021-06-22,no trend,within limits,0.23973998451936773,0.40159654982099846,0.07788341921773698
71,2021-06-08,2021-06-24,no trend,within limits,0.23973998451936773,0.40159654982099846,0.07788341921773698
72,2021-06-10,2021-06-25,no trend,within limits,0.23973998451936773,0.40159654982099846,0.07788341921773698
73,2021-06-11,2021-06-28,no trend,within limits,0.23973998451936773,0.40159654982099846,0.07788341921773698
74,2021-06-14,2021-06-29,no trend,within limits,0.23973998451936773,0.40159654982099846,0.07788341921773698
75,2021-06-15,2021-07-01,no trend,within limits,0.23973998451936773,0.40159654982099846,0.07788341921773698
76,2021-06-17,2021-07-02,no trend,within limits,0.23973998451936773,0.40159654982099846,0.07788341921773698
77,2021-06-18,2021-07-05,no trend,within limits,0.23973998451936773,0.40159654982099846,0.07788341921773698
78,2021-06-21,2021-07-06,no trend,within limits,0.23973998451936773,0.40159654982099846,0.07788341921773698
79,2021-06-22,2021-07-07,no trend,within limits,0.23973998451936773,0.40159654982099846,0.07788341921773698
80,2021-06-24,2021-07-08,no trend,within limits,0.23973998451936773,0.40159654982099846,0.07788341921773698
81,2021-06-25,2021-07-09,no trend,within limits,0.23973998451936773,0.40159654982099846,0.07788341921773698
82,2021-06-28,2021-07-12,no trend,within limits,0.23973998451936773,0.40159654982099846,0.07788341921773698
83,2021-06-29,2021-07-13,no trend,within limits,0.23973998451936773,0.40159654982099846,0.07788341921773698
84,2021-07-01,2021-07-15,no trend,within limits,0.23973998451936773,0.40159654982099846,0.07788341921773698
85,2021-07-02,2021-07-16,no trend,within limits,0.23973998451936773,0.40159654982099846,0.07788341921773698
86,2021-07-05,2021-07-19,no trend,within limits,0.23973998451936773,0.40159654982099846,0.07788341921773698
87,2021-07-06,2021-07-20,no trend,within limits,0.23973998451936773,0.40159654982099846,0.07788341921773698
88,2021-07-07,2021-07-22,no trend,within limits,0.23973998451936773,0.40159654982099846,0.07788341921773698
89,2021-07-08,2021-07-23,no trend,within limits,0.23973998451936773,0.40159654982099846,0.07788341921773698
90,2021-07-09,2021-07-26,no trend,within limits,0.23973998451936773,0.40159654982099846,0.07788341921773698
91,2021-07-12,2021-07-27,no trend,within limits,0.23973998451936773,0.40159654982099846,0.07788341921773698
92,2021-07-13,2021-07-29,no trend,within limits,0.23973998451936773,0.40159654982099846,0.07788341921773698
93,2021-07-15,2021-07-30,no trend,within limits,0.23973998451936773,0.40159654982099846,0.07788341921773698
94,2021-07-16,2021-08-02,no trend,within limits,0.23973998451936773,0.40159654982099846,0.07788341921773698
95,2021-07-19,2021-08-03,no trend,within limits,0.23973998451936773,0.40159654982099846,0.07788341921773698
96,2021-07-20,2021-08-05,no trend,above limits,0.23973998451936773,0.40159654982099846,0.07788341921773698
97,2021-07-22,2021-08-06,no trend,within limits,0.23973998451936773,0.40159654982099846,0.07788341921773698
98,2021-07-23,2021-08-09,no trend,within limits,0.23973998451936773,0.40159654982099846,0.07788341921773698
99,2021-07-26,2021-08-10,no trend,within limits,0.23973998451936773,0.40159654982099846,0.07788341921773698
