,Start Date,End Date,MK Signal,Control Limit Signal,Current Mean,Current UCL,Current LCL
0,2021-01-01,2021-02-15,no trend,Waiting,0,0,0
1,2021-01-06,2021-02-20,no trend,Waiting,0,0,0
2,2021-01-11,2021-02-25,no trend,Waiting,0,0,0
3,2021-01-16,2021-03-03,no trend,Waiting,0,0,0
4,2021-01-21,2021-03-08,no trend,Waiting,0,0,0
5,2021-01-26,2021-03-13,no trend,Waiting,0,0,0
6,2021-01-31,2021-03-18,no trend,Waiting,0,0,0
7,2021-02-05,2021-03-23,no trend,Waiting,0,0,0
8,2021-02-10,2021-03-28,no trend,Waiting,0,0,0
9,2021-02-15,2021-04-02,no trend,Waiting,0,0,0
10,2021-02-20,2021-04-07,no trend,Waiting,0,0,0
11,2021-02-25,2021-04-12,no trend,Waiting,0,0,0
12,2021-03-03,2021-04-17,no trend,Waiting,0,0,0
13,2021-03-08,2021-04-22,no trend,Waiting,0,0,0
14,2021-03-13,2021-04-27,no trend,Waiting,0,0,0
15,2021-03-18,2021-05-02,no trend,Waiting,0,0,0
16,2021-03-23,2021-05-07,no trend,Waiting,0,0,0
17,2021-03-28,2021-05-12,no trend,Waiting,0,0,0
18,2021-04-02,2021-05-17,no trend,Waiting,0,0,0
19,2021-04-07,2021-05-22,no trend,within limits,1552.26,2487.7523552106186,616.7676447893812
20,2021-04-12,2021-05-27,no trend,above limits,1552.26,2487.7523552106186,616.7676447893812
21,2021-04-17,2021-06-01,no trend,above limits,1552.26,2487.7523552106186,616.7676447893812
22,2021-04-22,2021-06-06,no trend,above limits,1552.26,2487.7523552106186,616.7676447893812
23,2021-04-27,2021-06-11,no trend,within limits,1552.26,2487.7523552106186,616.7676447893812
24,2021-05-02,2021-06-16,no trend,within limits,1552.26,2487.7523552106186,616.7676447893812
25,2021-05-07,2021-06-21,no trend,within limits,1552.26,2487.7523552106186,616.7676447893812
26,2021-05-12,2021-06-26,no trend,within limits,1552.26,2487.7523552106186,616.7676447893812
27,2021-05-17,2021-07-01,no trend,within limits,1552.26,2487.7523552106186,616.7676447893812
28,2021-05-22,2021-07-06,no trend,above limits,1552.26,2487.7523552106186,616.7676447893812
29,2021-05-27,2021-07-11,no trend,within limits,1552.26,2487.7523552106186,616.7676447893812
30,2021-06-01,2021-07-16,increasing,within limits,1552.26,2487.7523552106186,616.7676447893812
31,2021-06-06,2021-07-21,increasing,above limits,1552.26,2487.7523552106186,616.7676447893812
