,Start Date,End Date,MK Signal,Control Limit Signal,Current Mean,Current UCL,Current LCL
0,2021-01-01,2021-03-14,increasing,Waiting,0,0,0
1,2021-01-23,2021-03-19,no trend,Waiting,0,0,0
2,2021-02-04,2021-03-24,no trend,Waiting,0,0,0
3,2021-02-09,2021-03-29,decreasing,Waiting,0,0,0
4,2021-02-14,2021-04-03,decreasing,Waiting,0,0,0
5,2021-02-19,2021-04-08,decreasing,Waiting,0,0,0
6,2021-02-27,2021-04-13,decreasing,Waiting,0,0,0
7,2021-03-04,2021-04-18,decreasing,Waiting,0,0,0
8,2021-03-09,2021-04-23,no trend,Waiting,0,0,0
9,2021-03-14,2021-04-28,no trend,Waiting,0,0,0
10,2021-03-19,2021-05-03,no trend,Waiting,0,0,0
11,2021-03-24,2021-05-08,no trend,Waiting,0,0,0
12,2021-03-29,2021-05-13,no trend,Waiting,0,0,0
13,2021-04-03,2021-05-18,no trend,Waiting,0,0,0
14,2021-04-08,2021-05-23,no trend,Waiting,0,0,0
15,2021-04-13,2021-05-28,no trend,Waiting,0,0,0
16,2021-04-18,2021-06-02,no trend,Waiting,0,0,0
17,2021-04-23,2021-06-07,no trend,Waiting,0,0,0
18,2021-04-28,2021-06-12,no trend,Waiting,0,0,0
19,2021-05-03,2021-06-17,no trend,Waiting,0,0,0
20,2021-05-08,2021-06-22,no trend,Waiting,0,0,0
21,2021-05-13,2021-06-27,no trend,Waiting,0,0,0
22,2021-05-18,2021-07-02,no trend,Waiting,0,0,0
23,2021-05-23,2021-07-07,no trend,Waiting,0,0,0
24,2021-05-28,2021-07-12,no trend,Waiting,0,0,0
25,2021-06-02,2021-07-17,no trend,Waiting,0,0,0
26,2021-06-07,2021-07-22,no trend,Waiting,0,0,0
27,2021-06-12,2021-07-27,no trend,within limits,2826.71,4022.7577362725783,1630.6622637274218
28,2021-06-17,2021-08-01,no trend,within limits,2826.71,4022.7577362725783,1630.6622637274218
29,2021-06-22,2021-08-06,no trend,within limits,2826.71,4022.7577362725783,1630.6622637274218
30,2021-06-27,2021-08-11,no trend,within limits,2826.71,4022.7577362725783,1630.6622637274218
31,2021-07-02,2021-08-16,no trend,within limits,2826.71,4022.7577362725783,1630.6622637274218
32,2021-07-07,2021-08-21,decreasing,within limits,2826.71,4022.7577362725783,1630.6622637274218
33,2021-07-12,2021-08-26,no trend,within limits,2826.71,4022.7577362725783,1630.6622637274218
34,2021-07-17,2021-08-31,no trend,within limits,2826.71,4022.7577362725783,1630.6622637274218
35,2021-07-22,2021-09-05,no trend,within limits,2826.71,4022.7577362725783,1630.6622637274218
36,2021-07-27,2021-09-10,no trend,below limits,2826.71,4022.7577362725783,1630.6622637274218
37,2021-08-01,2021-09-15,no trend,below limits,2826.71,4022.7577362725783,1630.6622637274218
38,2021-08-06,2021-09-20,no trend,below limits,2826.71,4022.7577362725783,1630.6622637274218
39,2021-08-11,2021-09-25,no trend,below limits,2826.71,4022.7577362725783,1630.6622637274218
40,2021-08-16,2021-09-30,no trend,below limits,2826.71,4022.7577362725783,1630.6622637274218
41,2021-08-21,2021-10-05,no trend,Waiting,2826.71,4022.7577362725783,1630.6622637274218
42,2021-08-26,2021-10-10,increasing,Waiting,2826.71,4022.7577362725783,1630.6622637274218
43,2021-08-31,2021-10-15,increasing,Waiting,2826.71,4022.7577362725783,1630.6622637274218
44,2021-09-05,2021-10-20,increasing,Waiting,2826.71,4022.7577362725783,1630.6622637274218
45,2021-09-10,2021-10-25,increasing,Waiting,2826.71,4022.7577362725783,1630.6622637274218
46,2021-09-15,2021-10-30,no trend,Waiting,2826.71,4022.7577362725783,1630.6622637274218
47,2021-09-20,2021-11-04,no trend,Waiting,2826.71,4022.7577362725783,1630.6622637274218
48,2021-09-25,2021-11-09,no trend,Waiting,2826.71,4022.7577362725783,1630.6622637274218
49,2021-09-30,2021-11-14,no trend,Waiting,2826.71,4022.7577362725783,1630.6622637274218
50,2021-10-05,2021-11-19,decreasing,Waiting,2826.71,4022.7577362725783,1630.6622637274218
51,2021-10-10,2021-11-24,decreasing,Waiting,2826.71,4022.7577362725783,1630.6622637274218
52,2021-10-15,2021-11-29,no trend,Waiting,2826.71,4022.7577362725783,1630.6622637274218
53,2021-10-20,2021-12-04,no trend,Waiting,2826.71,4022.7577362725783,1630.6622637274218
54,2021-10-25,2021-12-09,no trend,Waiting,2826.71,4022.7577362725783,1630.6622637274218
55,2021-10-30,2021-12-14,no trend,Waiting,2826.71,4022.7577362725783,1630.6622637274218
56,2021-11-04,2021-12-19,increasing,Waiting,2826.71,4022.7577362725783,1630.6622637274218
57,2021-11-09,2021-12-24,increasing,Waiting,2826.71,4022.7577362725783,1630.6622637274218
58,2021-11-14,2021-12-29,increasing,Waiting,2826.71,4022.7577362725783,1630.6622637274218
59,2021-11-19,2022-01-03,no trend,Waiting,2826.71,4022.7577362725783,1630.6622637274218
60,2021-11-24,2022-01-08,no trend,Waiting,2826.71,4022.7577362725783,1630.6622637274218
61,2021-11-29,2022-01-13,no trend,Waiting,2826.71,4022.7577362725783,1630.6622637274218
62,2021-12-04,2022-01-18,no trend,Waiting,2826.71,4022.7577362725783,1630.6622637274218
63,2021-12-09,2022-01-23,no trend,Waiting,2826.71,4022.7577362725783,1630.6622637274218
64,2021-12-14,2022-01-28,no trend,Waiting,2826.71,4022.7577362725783,1630.6622637274218
65,2021-12-19,2022-02-02,no trend,Waiting,2826.71,4022.7577362725783,1630.6622637274218
66,2021-12-24,2022-02-07,increasing,Waiting,2826.71,4022.7577362725783,1630.6622637274218
67,2021-12-29,2022-02-12,increasing,Waiting,2826.71,4022.7577362725783,1630.6622637274218
68,2022-01-03,2022-02-17,increasing,Waiting,2826.71,4022.7577362725783,1630.6622637274218
69,2022-01-08,2022-02-22,increasing,Waiting,2826.71,4022.7577362725783,1630.6622637274218
70,2022-01-13,2022-02-27,no trend,Waiting,2826.71,4022.7577362725783,1630.6622637274218
71,2022-01-18,2022-03-04,no trend,Waiting,2826.71,4022.7577362725783,1630.6622637274218
72,2022-01-23,2022-03-09,no trend,Waiting,2826.71,4022.7577362725783,1630.6622637274218
73,2022-01-28,2022-03-14,decreasing,Waiting,2826.71,4022.7577362725783,1630.6622637274218
74,2022-02-02,2022-03-19,decreasing,Waiting,2826.71,4022.7577362725783,1630.6622637274218
75,2022-02-07,2022-03-24,decreasing,Waiting,2826.71,4022.7577362725783,1630.6622637274218
76,2022-02-12,2022-03-29,decreasing,Waiting,2826.71,4022.7577362725783,1630.6622637274218
77,2022-02-17,2022-04-03,decreasing,Waiting,2826.71,4022.7577362725783,1630.6622637274218
78,2022-02-22,2022-04-08,decreasing,Waiting,2826.71,4022.7577362725783,1630.6622637274218
79,2022-02-27,2022-04-13,decreasing,Waiting,2826.71,4022.7577362725783,1630.6622637274218
80,2022-03-04,2022-04-18,decreasing,Waiting,2826.71,4022.7577362725783,1630.6622637274218
81,2022-03-09,2022-04-23,no trend,Waiting,2826.71,4022.7577362725783,1630.6622637274218
82,2022-03-14,2022-04-28,no trend,Waiting,2826.71,4022.7577362725783,1630.6622637274218
83,2022-03-19,2022-05-03,no trend,Waiting,2826.71,4022.7577362725783,1630.6622637274218
84,2022-03-24,2022-05-08,no trend,Waiting,2826.71,4022.7577362725783,1630.6622637274218
85,2022-03-29,2022-05-13,no trend,Waiting,2826.71,4022.7577362725783,1630.6622637274218
86,2022-04-03,2022-05-18,no trend,Waiting,2826.71,4022.7577362725783,1630.6622637274218
87,2022-04-08,2022-05-23,increasing,Waiting,2826.71,4022.7577362725783,1630.6622637274218
88,2022-04-13,2022-05-28,increasing,Waiting,2826.71,4022.7577362725783,1630.6622637274218
89,2022-04-18,2022-06-02,no trend,Waiting,2826.71,4022.7577362725783,1630.6622637274218
90,2022-04-23,2022-06-07,increasing,Waiting,2826.71,4022.7577362725783,1630.6622637274218
91,2022-04-28,2022-06-12,increasing,Waiting,2826.71,4022.7577362725783,1630.6622637274218
92,2022-05-03,2022-06-17,increasing,Waiting,2826.71,4022.7577362725783,1630.6622637274218
93,2022-05-08,2022-06-22,increasing,Waiting,2826.71,4022.7577362725783,1630.6622637274218
94,2022-05-13,2022-06-27,increasing,Waiting,2826.71,4022.7577362725783,1630.6622637274218
95,2022-05-18,2022-07-02,increasing,Waiting,2826.71,4022.7577362725783,1630.6622637274218
96,2022-05-23,2022-07-07,no trend,Waiting,2826.71,4022.7577362725783,1630.6622637274218
97,2022-05-28,2022-07-12,no trend,Waiting,2826.71,4022.7577362725783,1630.6622637274218
98,2022-06-02,2022-07-17,no trend,Waiting,2826.71,4022.7577362725783,1630.6622637274218
99,2022-06-07,2022-07-22,no trend,Waiting,2826.71,4022.7577362725783,1630.6622637274218
100,2022-06-12,2022-07-27,no trend,Waiting,2826.71,4022.7577362725783,1630.6622637274218
101,2022-06-17,2022-08-01,no trend,Waiting,2826.71,4022.7577362725783,1630.6622637274218
102,2022-06-22,2022-08-06,no trend,Waiting,2826.71,4022.7577362725783,1630.6622637274218
103,2022-06-27,2022-08-11,no trend,Waiting,2826.71,4022.7577362725783,1630.6622637274218
104,2022-07-02,2022-08-16,no trend,Waiting,2826.71,4022.7577362725783,1630.6622637274218
105,2022-07-07,2022-08-21,increasing,Waiting,2826.71,4022.7577362725783,1630.6622637274218
106,2022-07-12,2022-08-26,no trend,Waiting,2826.71,4022.7577362725783,1630.6622637274218
107,2022-07-17,2022-08-31,no trend,Waiting,2826.71,4022.7577362725783,1630.6622637274218
108,2022-07-22,2022-09-05,no trend,Waiting,2826.71,4022.7577362725783,1630.6622637274218
109,2022-07-27,2022-09-10,no trend,Waiting,2826.71,4022.7577362725783,1630.6622637274218
110,2022-08-01,2022-09-15,no trend,Waiting,2826.71,4022.7577362725783,1630.6622637274218
111,2022-08-06,2022-09-20,no trend,Waiting,2826.71,4022.7577362725783,1630.6622637274218
112,2022-08-11,2022-09-25,no trend,Waiting,2826.71,4022.7577362725783,1630.6622637274218
113,2022-08-16,2022-09-30,no trend,Waiting,2826.71,4022.7577362725783,1630.6622637274218
114,2022-08-21,2022-10-05,decreasing,Waiting,2826.71,4022.7577362725783,1630.6622637274218
115,2022-08-26,2022-10-10,decreasing,Waiting,2826.71,4022.7577362725783,1630.6622637274218
116,2022-08-31,2022-10-15,decreasing,Waiting,2826.71,4022.7577362725783,1630.6622637274218
117,2022-09-05,2022-10-20,decreasing,Waiting,2826.71,4022.7577362725783,1630.6622637274218
118,2022-09-10,2022-10-25,decreasing,Waiting,2826.71,4022.7577362725783,1630.6622637274218
119,2022-09-15,2022-10-30,no trend,Waiting,2826.71,4022.7577362725783,1630.6622637274218
120,2022-09-20,2022-11-04,no trend,Waiting,2826.71,4022.7577362725783,1630.6622637274218
121,2022-09-25,2022-11-09,no trend,Waiting,2826.71,4022.7577362725783,1630.6622637274218
122,2022-09-30,2022-11-14,no trend,Waiting,2826.71,4022.7577362725783,1630.6622637274218
123,2022-10-05,2022-11-19,no trend,Waiting,2826.71,4022.7577362725783,1630.6622637274218
124,2022-10-10,2022-11-24,no trend,Waiting,2826.71,4022.7577362725783,1630.6622637274218
125,2022-10-15,2022-11-29,no trend,Waiting,2826.71,4022.7577362725783,1630.6622637274218
126,2022-10-20,2022-12-04,no trend,Waiting,2826.71,4022.7577362725783,1630.6622637274218
127,2022-10-25,2022-12-09,no trend,Waiting,2826.71,4022.7577362725783,1630.6622637274218
128,2022-10-30,2022-12-14,no trend,Waiting,2826.71,4022.7577362725783,1630.6622637274218
129,2022-11-04,2022-12-19,no trend,Waiting,2826.71,4022.7577362725783,1630.6622637274218
130,2022-11-09,2022-12-24,no trend,Waiting,2826.71,4022.7577362725783,1630.6622637274218
131,2022-11-14,2022-12-29,no trend,Waiting,2826.71,4022.7577362725783,1630.6622637274218
132,2022-11-19,2023-01-03,no trend,Waiting,2826.71,4022.7577362725783,1630.6622637274218
133,2022-11-24,2023-01-08,decreasing,Waiting,2826.71,4022.7577362725783,1630.6622637274218
134,2022-11-29,2023-01-13,no trend,Waiting,2826.71,4022.7577362725783,1630.6622637274218
135,2022-12-04,2023-01-18,no trend,Waiting,2826.71,4022.7577362725783,1630.6622637274218
136,2022-12-09,2023-01-23,no trend,Waiting,2826.71,4022.7577362725783,1630.6622637274218
137,2022-12-14,2023-01-28,no trend,Waiting,2826.71,4022.7577362725783,1630.6622637274218
138,2022-12-19,2023-02-02,no trend,Waiting,2826.71,4022.7577362725783,1630.6622637274218
139,2022-12-24,2023-02-07,increasing,Waiting,2826.71,4022.7577362725783,1630.6622637274218
140,2022-12-29,2023-02-12,no trend,Waiting,2826.71,4022.7577362725783,1630.6622637274218
141,2023-01-03,2023-02-17,no trend,Waiting,2826.71,4022.7577362725783,1630.6622637274218
142,2023-01-08,2023-02-22,no trend,Waiting,2826.71,4022.7577362725783,1630.6622637274218
143,2023-01-13,2023-02-27,no trend,Waiting,2826.71,4022.7577362725783,1630.6622637274218
144,2023-01-18,2023-03-04,no trend,Waiting,2826.71,4022.7577362725783,1630.6622637274218
145,2023-01-23,2023-03-09,no trend,Waiting,2826.71,4022.7577362725783,1630.6622637274218
146,2023-01-28,2023-03-14,no trend,Waiting,2826.71,4022.7577362725783,1630.6622637274218
147,2023-02-02,2023-03-19,no trend,Waiting,2826.71,4022.7577362725783,1630.6622637274218
148,2023-02-07,2023-03-24,no trend,Waiting,2826.71,4022.7577362725783,1630.6622637274218
149,2023-02-12,2023-03-29,increasing,Waiting,2826.71,4022.7577362725783,1630.6622637274218
