,Start Date,End Date,MK Signal,Control Limit Signal,Current Mean,Current UCL,Current LCL
0,2022-07-03,2022-08-03,increasing,Waiting,0,0,0
1,2022-07-06,2022-08-07,increasing,Waiting,0,0,0
2,2022-07-08,2022-08-10,increasing,Waiting,0,0,0
3,2022-07-14,2022-08-14,no trend,Waiting,0,0,0
4,2022-07-18,2022-08-17,no trend,Waiting,0,0,0
5,2022-07-19,2022-08-21,no trend,Waiting,0,0,0
6,2022-07-27,2022-08-24,no trend,Waiting,0,0,0
7,2022-07-28,2022-08-28,no trend,Waiting,0,0,0
8,2022-07-31,2022-08-31,no trend,Waiting,0,0,0
9,2022-08-03,2022-09-04,no trend,Waiting,0,0,0
10,2022-08-07,2022-09-07,no trend,Waiting,0,0,0
11,2022-08-10,2022-09-11,no trend,Waiting,0,0,0
12,2022-08-14,2022-09-14,no trend,Waiting,0,0,0
13,2022-08-17,2022-09-18,no trend,Waiting,0,0,0
14,2022-08-21,2022-09-21,no trend,Waiting,0,0,0
15,2022-08-24,2022-09-25,no trend,Waiting,0,0,0
16,2022-08-28,2022-09-28,no trend,Waiting,0,0,0
17,2022-08-31,2022-10-02,no trend,Waiting,0,0,0
18,2022-09-04,2022-10-05,no trend,Waiting,0,0,0
19,2022-09-07,2022-10-09,no trend,Waiting,0,0,0
20,2022-09-11,2022-10-12,no trend,Waiting,0,0,0
21,2022-09-14,2022-10-17,no trend,Waiting,0,0,0
22,2022-09-18,2022-10-18,no trend,within limits,0.01647074675955553,0.021787414947866113,0.011154078571244948
23,2022-09-21,2022-10-19,no trend,within limits,0.01647074675955553,0.021787414947866113,0.011154078571244948
24,2022-09-25,2022-10-23,no trend,within limits,0.01647074675955553,0.021787414947866113,0.011154078571244948
25,2022-09-28,2022-10-26,increasing,within limits,0.01647074675955553,0.021787414947866113,0.011154078571244948
26,2022-10-02,2022-10-30,increasing,within limits,0.01647074675955553,0.021787414947866113,0.011154078571244948
27,2022-10-05,2022-11-02,no trend,within limits,0.01647074675955553,0.021787414947866113,0.011154078571244948
28,2022-10-09,2022-11-06,no trend,within limits,0.01647074675955553,0.021787414947866113,0.011154078571244948
29,2022-10-12,2022-11-09,no trend,within limits,0.01647074675955553,0.021787414947866113,0.011154078571244948
30,2022-10-17,2022-11-13,no trend,within limits,0.01647074675955553,0.021787414947866113,0.011154078571244948
31,2022-10-18,2022-11-16,no trend,within limits,0.01647074675955553,0.021787414947866113,0.011154078571244948
32,2022-10-19,2022-11-20,no trend,within limits,0.01647074675955553,0.021787414947866113,0.011154078571244948
33,2022-10-23,2022-11-23,decreasing,within limits,0.01647074675955553,0.021787414947866113,0.011154078571244948
34,2022-10-26,2022-11-27,decreasing,within limits,0.01647074675955553,0.021787414947866113,0.011154078571244948
35,2022-10-30,2022-11-30,no trend,within limits,0.01647074675955553,0.021787414947866113,0.011154078571244948
36,2022-11-02,2022-12-04,no trend,within limits,0.01647074675955553,0.021787414947866113,0.011154078571244948
37,2022-11-06,2022-12-07,no trend,within limits,0.01647074675955553,0.021787414947866113,0.011154078571244948
38,2022-11-09,2022-12-11,no trend,within limits,0.01647074675955553,0.021787414947866113,0.011154078571244948
39,2022-11-13,2022-12-14,no trend,within limits,0.01647074675955553,0.021787414947866113,0.011154078571244948
40,2022-11-16,2022-12-18,no trend,within limits,0.01647074675955553,0.021787414947866113,0.011154078571244948
41,2022-11-20,2022-12-21,no trend,within limits,0.01647074675955553,0.021787414947866113,0.011154078571244948
42,2022-11-23,2022-12-25,increasing,below limits,0.01647074675955553,0.021787414947866113,0.011154078571244948
43,2022-11-27,2022-12-28,no trend,within limits,0.01647074675955553,0.021787414947866113,0.011154078571244948
44,2022-11-30,2023-01-01,no trend,within limits,0.01647074675955553,0.021787414947866113,0.011154078571244948
45,2022-12-04,2023-01-04,no trend,within limits,0.01647074675955553,0.021787414947866113,0.011154078571244948
46,2022-12-07,2023-01-08,no trend,within limits,0.01647074675955553,0.021787414947866113,0.011154078571244948
47,2022-12-11,2023-01-11,no trend,within limits,0.01647074675955553,0.021787414947866113,0.011154078571244948
48,2022-12-14,2023-01-15,no trend,within limits,0.01647074675955553,0.021787414947866113,0.011154078571244948
49,2022-12-18,2023-01-18,no trend,within limits,0.01647074675955553,0.021787414947866113,0.011154078571244948
50,2022-12-21,2023-01-22,no trend,within limits,0.01647074675955553,0.021787414947866113,0.011154078571244948
51,2022-12-25,2023-01-29,no trend,within limits,0.01647074675955553,0.021787414947866113,0.011154078571244948
52,2022-12-28,2023-02-01,no trend,within limits,0.01647074675955553,0.021787414947866113,0.011154078571244948
53,2023-01-01,2023-02-05,no trend,within limits,0.01647074675955553,0.021787414947866113,0.011154078571244948
54,2023-01-04,2023-02-08,no trend,within limits,0.01647074675955553,0.021787414947866113,0.011154078571244948
55,2023-01-08,2023-02-12,no trend,within limits,0.01647074675955553,0.021787414947866113,0.011154078571244948
56,2023-01-11,2023-02-15,no trend,within limits,0.01647074675955553,0.021787414947866113,0.011154078571244948
57,2023-01-15,2023-02-19,decreasing,within limits,0.01647074675955553,0.021787414947866113,0.011154078571244948
58,2023-01-18,2023-02-22,decreasing,within limits,0.01647074675955553,0.021787414947866113,0.011154078571244948
59,2023-01-22,2023-02-26,decreasing,within limits,0.01647074675955553,0.021787414947866113,0.011154078571244948
60,2023-01-29,2023-03-01,no trend,within limits,0.01647074675955553,0.021787414947866113,0.011154078571244948
61,2023-02-01,2023-03-05,no trend,within limits,0.01647074675955553,0.021787414947866113,0.011154078571244948
62,2023-02-05,2023-03-08,no trend,within limits,0.01647074675955553,0.021787414947866113,0.011154078571244948
63,2023-02-08,2023-03-12,no trend,within limits,0.01647074675955553,0.021787414947866113,0.011154078571244948
64,2023-02-12,2023-03-15,no trend,within limits,0.01647074675955553,0.021787414947866113,0.011154078571244948
65,2023-02-15,2023-03-19,no trend,within limits,0.01647074675955553,0.021787414947866113,0.011154078571244948
66,2023-02-19,2023-03-22,no trend,below limits,0.01647074675955553,0.021787414947866113,0.011154078571244948
67,2023-02-22,2023-03-26,no trend,below limits,0.01647074675955553,0.021787414947866113,0.011154078571244948
68,2023-02-26,2023-03-29,no trend,within limits,0.01647074675955553,0.021787414947866113,0.011154078571244948
