,Start Date,End Date,MK Signal,Control Limit Signal,Current Mean,Current UCL,Current LCL
0,2021-01-02,2021-02-21,no trend,Waiting,0,0,0
1,2021-01-08,2021-02-26,no trend,Waiting,0,0,0
2,2021-01-15,2021-03-04,no trend,Waiting,0,0,0
3,2021-01-22,2021-03-09,no trend,Waiting,0,0,0
4,2021-01-27,2021-03-14,no trend,Waiting,0,0,0
5,2021-02-01,2021-03-19,no trend,Waiting,0,0,0
6,2021-02-06,2021-03-25,no trend,Waiting,0,0,0
7,2021-02-11,2021-03-31,no trend,Waiting,0,0,0
8,2021-02-16,2021-04-08,no trend,Waiting,0,0,0
9,2021-02-21,2021-04-15,no trend,Waiting,0,0,0
10,2021-02-26,2021-04-20,no trend,Waiting,0,0,0
11,2021-03-04,2021-04-26,no trend,Waiting,0,0,0
12,2021-03-09,2021-05-01,no trend,Waiting,0,0,0
13,2021-03-14,2021-05-08,no trend,Waiting,0,0,0
14,2021-03-19,2021-05-15,no trend,Waiting,0,0,0
15,2021-03-25,2021-05-22,no trend,Waiting,0,0,0
16,2021-03-31,2021-05-28,no trend,Waiting,0,0,0
17,2021-04-08,2021-06-02,no trend,Waiting,0,0,0
18,2021-04-15,2021-06-09,decreasing,Waiting,0,0,0
19,2021-04-20,2021-06-14,no trend,Waiting,0,0,0
20,2021-04-26,2021-06-21,no trend,Waiting,0,0,0
21,2021-05-01,2021-06-29,no trend,Waiting,0,0,0
22,2021-05-08,2021-07-06,no trend,Waiting,0,0,0
23,2021-05-15,2021-07-12,no trend,Waiting,0,0,0
24,2021-05-22,2021-07-20,increasing,Waiting,0,0,0
25,2021-05-28,2021-07-25,increasing,Waiting,0,0,0
26,2021-06-02,2021-07-31,no trend,Waiting,0,0,0
27,2021-06-09,2021-08-08,no trend,Waiting,0,0,0
28,2021-06-14,2021-08-13,no trend,Waiting,0,0,0
29,2021-06-21,2021-08-19,no trend,Waiting,0,0,0
30,2021-06-29,2021-08-24,no trend,Waiting,0,0,0
31,2021-07-06,2021-09-01,no trend,Waiting,0,0,0
32,2021-07-12,2021-09-07,no trend,Waiting,0,0,0
33,2021-07-20,2021-09-12,no trend,Waiting,0,0,0
34,2021-07-25,2021-09-17,no trend,Waiting,0,0,0
35,2021-07-31,2021-09-23,no trend,Waiting,0,0,0
36,2021-08-08,2021-09-30,decreasing,Waiting,0,0,0
37,2021-08-13,2021-10-06,decreasing,Waiting,0,0,0
38,2021-08-19,2021-10-11,no trend,Waiting,0,0,0
39,2021-08-24,2021-10-16,no trend,Waiting,0,0,0
40,2021-09-01,2021-10-21,no trend,Waiting,0,0,0
41,2021-09-07,2021-10-26,no trend,Waiting,0,0,0
42,2021-09-12,2021-11-01,no trend,Waiting,0,0,0
43,2021-09-17,2021-11-07,no trend,Waiting,0,0,0
44,2021-09-23,2021-11-12,no trend,Waiting,0,0,0
45,2021-09-30,2021-11-18,no trend,Waiting,0,0,0
46,2021-10-06,2021-11-23,no trend,Waiting,0,0,0
47,2021-10-11,2021-11-28,no trend,Waiting,0,0,0
48,2021-10-16,2021-12-04,no trend,Waiting,0,0,0
49,2021-10-21,2021-12-09,no trend,Waiting,0,0,0
50,2021-10-26,2021-12-16,increasing,Waiting,0,0,0
51,2021-11-01,2021-12-21,no trend,Waiting,0,0,0
52,2021-11-07,2021-12-26,no trend,Waiting,0,0,0
