,Start Date,End Date,MK Signal,Control Limit Signal,Current Mean,Current UCL,Current LCL
0,2021-01-03,2021-01-18,increasing,Waiting,0,0,0
1,2021-01-04,2021-01-20,increasing,Waiting,0,0,0
2,2021-01-06,2021-01-21,increasing,Waiting,0,0,0
3,2021-01-07,2021-01-24,increasing,Waiting,0,0,0
4,2021-01-10,2021-01-25,no trend,Waiting,0,0,0
5,2021-01-11,2021-01-27,no trend,Waiting,0,0,0
6,2021-01-13,2021-01-28,no trend,Waiting,0,0,0
7,2021-01-14,2021-01-31,no trend,Waiting,0,0,0
8,2021-01-17,2021-02-01,no trend,Waiting,0,0,0
9,2021-01-18,2021-02-03,no trend,Waiting,0,0,0
10,2021-01-20,2021-02-04,no trend,Waiting,0,0,0
11,2021-01-21,2021-02-07,no trend,Waiting,0,0,0
12,2021-01-24,2021-02-08,increasing,Waiting,0,0,0
13,2021-01-25,2021-02-10,no trend,Waiting,0,0,0
14,2021-01-27,2021-02-11,no trend,Waiting,0,0,0
15,2021-01-28,2021-02-14,no trend,Waiting,0,0,0
16,2021-01-31,2021-02-15,no trend,Waiting,0,0,0
17,2021-02-01,2021-02-17,decreasing,Waiting,0,0,0
18,2021-02-03,2021-02-18,decreasing,Waiting,0,0,0
19,2021-02-04,2021-02-21,decreasing,Waiting,0,0,0
20,2021-02-07,2021-02-22,no trend,Waiting,0,0,0
21,2021-02-08,2021-02-24,no trend,Waiting,0,0,0
22,2021-02-10,2021-02-25,no trend,Waiting,0,0,0
23,2021-02-11,2021-02-28,no trend,Waiting,0,0,0
24,2021-02-14,2021-03-01,no trend,Waiting,0,0,0
25,2021-02-15,2021-03-17,no trend,Waiting,0,0,0
26,2021-02-17,2021-03-18,no trend,Waiting,0,0,0
27,2021-02-18,2021-03-21,no trend,Waiting,0,0,0
28,2021-02-21,2021-03-22,no trend,Waiting,0,0,0
29,2021-02-22,2021-03-24,increasing,Waiting,0,0,0
30,2021-02-24,2021-03-25,no trend,Waiting,0,0,0
31,2021-02-25,2021-03-28,no trend,Waiting,0,0,0
32,2021-02-28,2021-03-29,no trend,Waiting,0,0,0
33,2021-03-01,2021-04-01,no trend,Waiting,0,0,0
34,2021-03-17,2021-04-04,no trend,Waiting,0,0,0
35,2021-03-18,2021-04-05,no trend,Waiting,0,0,0
36,2021-03-21,2021-04-06,no trend,Waiting,0,0,0
37,2021-03-22,2021-04-07,no trend,Waiting,0,0,0
38,2021-03-24,2021-04-08,no trend,Waiting,0,0,0
39,2021-03-25,2021-04-11,no trend,Waiting,0,0,0
40,2021-03-28,2021-04-12,no trend,Waiting,0,0,0
41,2021-03-29,2021-04-14,no trend,Waiting,0,0,0
42,2021-04-01,2021-04-15,no trend,Waiting,0,0,0
43,2021-04-04,2021-04-18,no trend,Waiting,0,0,0
44,2021-04-05,2021-04-19,no trend,Waiting,0,0,0
45,2021-04-06,2021-04-21,no trend,Waiting,0,0,0
46,2021-04-07,2021-04-22,no trend,Waiting,0,0,0
47,2021-04-08,2021-04-25,no trend,Waiting,0,0,0
48,2021-04-11,2021-04-26,decreasing,Waiting,0,0,0
49,2021-04-12,2021-04-28,no trend,Waiting,0,0,0
50,2021-04-14,2021-04-29,no trend,Waiting,0,0,0
51,2021-04-15,2021-05-02,no trend,Waiting,0,0,0
52,2021-04-18,2021-05-03,no trend,Waiting,0,0,0
53,2021-04-19,2021-05-05,no trend,Waiting,0,0,0
54,2021-04-21,2021-05-06,no trend,Waiting,0,0,0
55,2021-04-22,2021-05-09,no trend,Waiting,0,0,0
56,2021-04-25,2021-05-10,no trend,Waiting,0,0,0
57,2021-04-26,2021-05-12,no trend,Waiting,0,0,0
58,2021-04-28,2021-05-13,no trend,Waiting,0,0,0
59,2021-04-29,2021-05-16,decreasing,Waiting,0,0,0
60,2021-05-02,2021-05-17,no trend,Waiting,0,0,0
61,2021-05-03,2021-05-19,no trend,Waiting,0,0,0
62,2021-05-05,2021-05-20,no trend,Waiting,0,0,0
63,2021-05-06,2021-05-23,no trend,Waiting,0,0,0
64,2021-05-09,2021-05-24,increasing,Waiting,0,0,0
65,2021-05-10,2021-05-26,increasing,Waiting,0,0,0
66,2021-05-12,2021-05-27,no trend,Waiting,0,0,0
67,2021-05-13,2021-05-30,no trend,Waiting,0,0,0
68,2021-05-16,2021-06-03,no trend,Waiting,0,0,0
69,2021-05-17,2021-06-06,no trend,Waiting,0,0,0
